,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 03/31/2013,03/31/2012,12/31/2012,12/31/2011,12/31/2010
2, Number of BHCs in Peer Group, 92,88,90,70,70
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.81,2.92,2.90,3.04,3.04
6, + Non-interest Income,1.81,1.72,1.88,1.61,1.89
7, - Overhead Expense, 3.12,3.18,3.34,3.16,3.19
8, - Provision for Losses, 0.22,0.33,0.33,0.49,1.10
9, + Securities Gains (Losses),0.03,0.03,0.04,0.05,0.06
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.42,1.26,1.28,1.12,0.77
12, Net Operating Income, 0.93,0.82,0.88,0.72,0.51
13, Net Income, 0.95,0.82,0.87,0.72,0.51
14, Net Income (Sub S Adjusted),1.73,0.11,0.17, N/A, N/A
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 3.87,4.14,4.07,4.32,4.54
17, Interest Expense, 0.64,0.77,0.74,0.88,1.07
18, Net Interest Income (TE), 3.17,3.31,3.28,3.37,3.39
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.53,0.78,0.74,1.17,2.04
21, Earnings Coverage of Net Losses (X), 16.60,7.53,8.80,3.51,2.53
22, Ln&Ls Allowance/Total Loans & Leases, 1.59,1.84,1.61,2.11,2.63
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,1.91,2.44,1.94,2.74,3.75
24, 30-89 Days Past Due Loans and Leases, 0.79,0.89,0.87,0.96,1.20
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,18.88, 19.81, 19.36, 20.15, 25.33
27, Net ST Noncore Funding Dependence,3.31,4.24,3.45,4.17,6.24
28, Net Loans and Leases/Total Assets, 58.46, 56.51, 57.96, 57.64, 57.51
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.53,9.65,9.37,9.26,9.03
31, Equity Capital/Total Assets, 11.58, 11.08, 11.30, 10.91, 10.66
32, Equity Capital+Minority Int/Total Assets,11.86, 11.37, 11.59, 11.12, 10.80
33, Tier 1 Common Eq Cap / T RWA,11.62, 11.69, 11.46, 11.33, 10.47
34, Net Loans&Ls/Equity Capital (X),5.13,5.11,5.20,5.26,5.41
35, Cash Dividends/Net Income, 24.75, 25.37, 25.15, 24.90, 35.74
36, Cash Dividends/Net Income (Sub S Adjusted), 106.81, 22.12,-19.73, N/A, N/A
37, Retained Earnings/Avg Equity Cap, 6.05,5.41,5.49,4.71,3.00
38, PARENT COMPANY RATIOS: , , , , , 
39,Short-Term Debt/Equity Capital, 2.69,2.64,2.47,3.85,2.78
40, Long-Term Debt/Equity Capital, 12.48, 11.69, 13.81, 14.07, 16.28
41, Equity Investment in Subs/Equity Cap, 105.09,106.91,106.52,107.31,108.44
42, Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 172.21,129.45,159.78,126.35,115.83
43, , , , , , 
44, 2 , , , , , 
45,PERCENT OF AVERAGE ASSETS,03/31/2013,03/31/2012,12/31/2012,12/31/2011,12/31/2010
46, Interest Income (TE), 3.42,3.65,3.59,3.90,4.07
47, Less: Interest Expense, 0.56,0.68,0.65,0.79,0.96
48, Equals: Net Interest Income (TE), 2.81,2.92,2.90,3.04,3.04
49, Plus: Non-Interest Income,1.81,1.72,1.88,1.61,1.89
50, Equals: Adj Operating Income (TE),4.76,4.73,4.89,4.66,4.92
51, Less: Overhead Expense, 3.12,3.18,3.34,3.16,3.19
52, Less: Provision for Loan and Lease Losses,0.22,0.33,0.33,0.49,1.10
53, Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
54, Plus: Realized G/L on AFS Sec,0.03,0.03,0.04,0.05,0.06
55, Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
56, Equals: Pretax Net Oper Inc (TE), 1.42,1.26,1.28,1.12,0.77
57,Less: Applicable Income Taxes (TE), 0.47,0.43,0.42,0.39,0.29
58, Less: Minority Interest,0.00,0.00,0.01,0.01,0.00
59, Equals: Net Operating Income, 0.93,0.82,0.88,0.72,0.51
60,Plus: Net Extraordinary Items,0.00,0.00,0.00,0.00,0.00
61, Equals: Net Income, 0.95,0.82,0.87,0.72,0.51
62, Memo: Net Income (Last Four Qtrs),0.90,0.75,0.86,0.72,0.52
63, MARGIN ANALYSIS: , , , , , 
64,Avg Earning Assets / Avg Assets, 90.07, 89.96, 89.87, 90.30, 89.93
65, Avg Int-Bearing Funds / Avg Assets,68.14, 69.23, 68.65, 70.86, 72.85
66, Int Income (TE) / Avg Earning Assets, 3.87,4.14,4.07,4.32,4.54
67, Int Expense / Avg Earning Assets, 0.64,0.77,0.74,0.88,1.07
68, Net Int Inc (TE) / Avg Earn Assets, 3.17,3.31,3.28,3.37,3.39
69,YIELD OR COST: , , , , , 
70,Total Loans and Leases (TE),4.79,5.11,5.06,5.34,5.44
71, Interest-Bearing Bank Balances, 0.31,0.33,0.31,0.34,0.35
72, Fed Funds Sold & Reverse Repos, 0.40,0.35,0.40,0.38,0.45
73, Trading Assets, 1.22,1.47,1.25,1.43,1.37
74, Total Earning Assets, 3.81,4.09,4.03,4.26,4.46
75,Investment Securities (TE), 2.44,2.81,2.65,2.99,3.49
76, U.S. Treasury & Agency Sec (excl MBS),1.40,1.72,1.48,1.74,2.23
77, Mortgage-Backed Securities, 2.36,2.81,2.69,3.16,3.82
78, All Other Securities, 3.84,4.04,4.27,4.73,4.79
79,Interest-Bearing Deposits,0.45,0.56,0.53,0.67,0.88
80, Time Deposits of $100K or More, 0.98,1.21,1.12,1.30,1.55
81, Time Deposits < $100K,1.03,1.27,1.23,1.47,1.76
82, Other Domestic Deposits,0.25,0.31,0.28,0.38,0.53
83, Foreign Deposits, 0.39,0.43,0.45,0.50,0.48
84,Fed Funds Purchased and Repos,0.77,0.89,0.91,0.86,0.82
85, Other Borrowed Funds & Trading Liab,2.11,2.52,2.36,2.41,2.48
86, All Interest-Bearing Funds, 0.72,0.93,0.85,1.11,1.31
87, , , , , , 
88, 3 , , , , , 
89, , 03/31/2013,03/31/2012,12/31/2012,12/31/2011,12/31/2010
90, Avg Personnel Exp Per Employee ($000),25,24,97,90,89
91, Avg Assets per Employee ($000),"7,148"," 6,999"," 7,080"," 6,503"," 6,303"
92, ANALYSIS RATIOS , , , , , 
93,Mutual Fund Fee Inc / Non-Int Income, 2.90,3.24,2.84,3.12,2.86
94,Overhead Exp / NII + Non-Int Income, 66.79, 68.01, 69.10, 68.44, 65.92
95,PERCENT OF AVERAGE ASSETS: , , , , , 
96,Total Overhead Expense, 3.12,3.18,3.34,3.16,3.19
97, Personnel Expense,1.52,1.52,1.49,1.51,1.53
98, Net Occupancy Expense,0.34,0.34,0.34,0.36,0.38
99, Other Operating Expenses, 1.26,1.30,1.50,1.23,1.24
100,Overhead Less Non-Interest Income,1.23,1.36,1.37,1.49,1.28
101,PERCENT OF ADJUSTED OPERATING INCOME (TE): , , , , , 
102,Total Overhead Expense,66.10, 67.34, 68.49, 67.63, 65.03
103, Personnel Expense, 32.41, 32.71, 31.26, 32.51, 31.04
104, Net Occupancy Expense,7.46,7.68,7.39,7.92,7.84
105, Other Operating Expenses,25.26, 26.38, 29.42, 26.22, 25.37
106,Total Non-Interest Income, 36.69, 34.87, 36.31, 33.59, 36.35
107, Fiduciary Activities Income,2.36,2.27,2.18,2.81,3.28
108, Serv Charges on Deposit Accts - Domestic, 4.68,4.74,4.62,5.74,6.22
109, Trading Revenue,1.34,1.47,1.35,1.58,1.80
110, Investment Banking Fees & Commissions,2.71,3.17,2.80,2.86,3.07
111, Venture Capital Revenue,0.03,0.13,0.11,0.12,0.12
112, Net Servicing Fees, 1.07,1.09,0.63,0.65,0.92
113, Net Securitization Income,0.01,0.00,0.01,0.01,0.00
114, Insurance Activities Revenue, 1.17,1.22,1.11,1.03,1.00
115," Net Gain (Loss) - Sales Loans, OREO, Oth", 3.00,1.44,2.05,0.42,0.49
116, Other Non-Interest Income, 10.69, 10.40, 12.06, 12.04, 12.94
117,Overhead Less Non-Interest Income, 28.84, 31.64, 31.82, 33.69, 28.72
118, TAX RATIOS: , , , , , 
119,Appl Inc Taxes/Pretax NOI (TE),29.65, 29.09, 27.20, 27.79, 21.65
120, Appl Inc Tax+TE/Pretax NOI+TE, 33.09, 33.30, 30.97, 32.84, 29.75
121, , , , , , 
122, 4 , , , , , 
123,PERCENT OF TOTAL ASSETS,03/31/2013,03/31/2012,12/31/2012,12/31/2011,12/31/2010
