,Column1,Value1,Value2,Value3,Value4,Value5
0, , 06/30/2011,06/30/2010,12/31/2010,12/31/2009,12/31/2008
1,Number of BHCs in Peer Group, 71,72,70,73,69EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.05,3.03,3.04,2.85,2.91
4,+ Non-interest Income,1.72,1.82,1.89,1.92,1.58
5,- Overhead Expense, 3.18,3.14,3.19,3.28,3.29
6,- Provision for Losses, 0.52,1.32,1.10,1.96,1.20
7,+ Securities Gains (Losses),0.05,0.05,0.06,0.02, -0.12
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.17,0.59,0.77, -0.39, -0.16
10,Net Operating Income, 0.76,0.36,0.51, -0.40, -0.26
11,Net Income, 0.75,0.36,0.51, -0.38, -0.27
12,Interest Expense, 0.94,1.13,1.07,1.52,2.41
13,Net Interest Income (TE), 3.38,3.37,3.39,3.16,3.25
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,1.31,2.09,2.04,2.33,1.10
16,Earnings Coverage of Net Losses (X),3.36,2.48,2.54,1.67,2.24
17,Ln&Ls Allowance/Total Loans & Leases, 2.39,2.84,2.63,2.80,1.84
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,3.15,4.00,3.75,4.24,2.45
19,30-89 Days Past Due Loans and Leases, 0.95,1.29,1.20,1.51,1.58
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,22.54, 26.24, 25.40, 30.25, 37.21
22,Net ST Noncore Funding Dependence,3.28,5.94,5.84,9.84, 22.32
23,Net Loans and Leases/Total Assets, 56.84, 58.75, 57.51, 59.71, 63.39
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,9.37,9.12,9.03,8.69,8.43
26,Equity Capital/Total Assets, 10.85, 10.85, 10.66, 10.01,9.42
27,Equity Capital+Minority Int/Total Assets,11.06, 10.98, 10.80, 10.22,9.70
28,Tier 1 Common Eq Cap / T RWA,11.15,9.88, 10.47,8.37, N/A
29,Net Loans&Ls/Equity Capital (X),5.21,5.47,5.41,6.29,7.08
30,Cash Dividends/Net Income, 24.19, 34.06, 35.73, 59.69, 74.27
31,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
32,Retained Earnings/Avg Equity Cap, 5.17,1.62,3.13, -7.11, -8.15
33,PARENT COMPANY RATIOS:, , , , , 
34,Short-Term Debt/Equity Capital, 3.37,3.18,2.77,3.30,3.22
35,Long-Term Debt/Equity Capital, 14.54, 15.49, 16.08, 15.74, 11.65
36,Equity Investment in Subs/Equity Cap, 107.55,107.05,108.41,108.82,105.00
37,Cash FR Oper+Noncash+Op Exp/Op Exp+Div,89.95, 74.20,115.72, 99.52, 96.96
38,PERCENT OF AVERAGE ASSETS,06/30/2011,06/30/2010,12/31/2010,12/31/2009,12/31/2008
39,Interest Income (TE), 3.94,4.12,4.07,4.26,5.11
40,Less: Interest Expense, 0.85,1.02,0.96,1.38,2.16
41,Equals: Net Interest Income (TE), 3.05,3.03,3.04,2.85,2.91
42,Plus: Non-Interest Income,1.72,1.82,1.89,1.92,1.58
43,Equals: Adj Operating Income (TE),4.78,4.86,4.93,4.75,4.55
44,Less: Overhead Expense, 3.18,3.14,3.19,3.28,3.29
45,Less: Provision for Loan and Lease Losses,0.52,1.32,1.10,1.96,1.20
46,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
47,Plus: Realized G/L on AFS Sec,0.05,0.06,0.06,0.03, -0.10
48,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
49,Memo: Net Income (Last Four Qtrs),0.71,0.13,0.53, -0.38, -0.27
50,MARGIN ANALYSIS:, , , , , 
51,Avg Earning Assets / Avg Assets, 90.27, 90.20, 89.93, 90.59, 89.81
52,Avg Int-Bearing Funds / Avg Assets,71.85, 73.51, 72.84, 75.26, 77.63
53,Int Income (TE) / Avg Earning Assets, 4.38,4.58,4.54,4.70,5.70
54,Int Expense / Avg Earning Assets, 0.94,1.13,1.07,1.52,2.41
55,Interest-Bearing Bank Balances, 0.34,0.31,0.35,0.46,2.18
56,Fed Funds Sold & Reverse Repos, 0.42,0.50,0.45,0.50,2.41
57,Trading Assets, 1.44,1.15,1.37,1.42,2.55
58,Mortgage-Backed Securities, 3.44,4.06,3.82,4.53,4.84
59,Time Deposits < $100K,1.55,1.85,1.76,2.58,3.53
60,Other Domestic Deposits,0.41,0.57,0.53,0.75,1.46
61,All Interest-Bearing Funds, 1.17,1.38,1.31,1.82,2.81
62, , 06/30/2011,06/30/2010,12/31/2010,12/31/2009,12/31/2008
63,Avg Personnel Exp Per Employee ($000),46,43,89,82,76
64,Avg Assets per Employee ($000),"6,397"," 6,269"," 6,313"," 6,201"," 5,749"
65,ANALYSIS RATIOS, , , , , 
66,Personnel Expense,1.56,1.50,1.53,1.45,1.46
67,Net Occupancy Expense,0.37,0.38,0.38,0.38,0.39
68,Personnel Expense, 32.81, 31.17, 31.04, 31.45, 32.35
69,Net Occupancy Expense,7.80,7.96,7.84,8.41,8.80
70,Serv Charges on Deposit Accts - Domestic, 5.72,6.76,6.22,7.38,7.75
71,Trading Revenue,1.60,1.90,1.80,1.69,0.31
72,Investment Banking Fees & Commissions,3.30,2.65,3.07,3.00,3.10
73,Venture Capital Revenue,0.14,0.10,0.15, -0.06, -0.02
74,Net Servicing Fees, 0.96,0.98,0.96,1.75,0.71
75,Net Securitization Income,0.01,0.00,0.00,0.13,0.17
76,Insurance Activities Revenue, 0.94,1.00,1.00,1.08,0.98
77,"Net Gain (Loss) - Sales Loans, OREO, Oth", 0.52, -0.16,0.49, -0.18,0.25
78,Appl Inc Taxes/Pretax NOI (TE),27.50, 17.16, 21.66, 23.39, 24.01
79,Appl Inc Tax+TE/Pretax NOI+TE, 32.79, 28.59, 29.75, 30.98, 31.44
80,PERCENT OF TOTAL ASSETS,06/30/2011,06/30/2010,12/31/2010,12/31/2009,12/31/2008
81,Real Estate Loans, 32.85, 36.01, 34.18, 37.26, 40.98
82,Commercial and Industrial Loans, 11.40, 11.74, 11.82, 12.18, 13.26
83,Loans to Individuals, 6.10,5.86,5.73,5.35,4.89
84,Loans to Depository Institutions, 0.09,0.05,0.07,0.05,0.08
85,Agricultural Loans, 0.16,0.16,0.17,0.17,0.19
86,Other Loans and Leases, 3.23,3.16,3.30,3.20,3.01
87, Net Loans and Leases, 56.84, 58.75, 57.51, 59.71, 63.39
88,Debt Securities Over 1 Year, 15.77, 15.25, 16.23, 15.06, 13.34
89,Mutual Funds and Equity Securities, 0.16,0.15,0.18,0.19,0.17
90, Subtotal, 74.11, 74.89, 75.08, 75.77, 77.57
91,Interest-Bearing Bank Balances, 4.69,4.78,3.99,4.51,2.92
92,Federal Funds Sold & Reverse Repos, 1.41,0.82,1.27,0.78,0.80
93,Debt Securities 1 Year or Less, 3.31,2.90,3.03,3.02,3.10
94,Trading Assets, 1.37,1.10,1.43,0.95,1.33
95, Total Earning Assets, 87.73, 87.23, 87.61, 87.54, 87.74
96,Non-Int Cash and Due From Dep Inst, 1.49,1.50,1.33,1.72,1.92
97,Other Real Estate Owned,0.34,0.35,0.37,0.32,0.22
98,U.S. Treasury Securities, 0.84,0.71,0.85,0.63,0.13
99,U.S. Agency Securities (excl MBS),1.94,1.93,1.99,1.70,1.85
100,Municipal Securities, 1.41,1.30,1.36,1.26,1.18
101,Mortgage-Backed Securities,11.91, 11.36, 11.86, 11.59, 10.52
102,Asset-Backed Securities,0.59,0.49,0.51,0.62,0.39
103,Other Debt Securities,1.05,0.83,1.13,0.84,0.56
104,RE Loans Secured by 1-4 Family,14.52, 14.86, 14.73, 15.14, 15.77
105,Revolving,3.89,4.31,4.05,4.21,4.04
106,"Closed-End, Sec by First Liens", 9.52,9.15,9.35,9.38,9.83
107,"Closed-End, Sec by Junior Liens",0.92,1.18,1.02,1.30,1.48
108,Commercial Real Estate Loans,16.74, 19.09, 17.75, 19.88, 22.89
109,Construction and Land Dev,2.79,4.30,3.37,5.28,7.50
110,Multifamily,1.62,1.65,1.59,1.62,1.57
111,Nonfarm Nonresidential,11.56, 12.35, 11.99, 12.28, 13.00
112,RE Loans Secured by Farmland, 0.32,0.33,0.32,0.34,0.31
113,"LOAN MIX, % OF GROSS LOANS & LEASES:", , , , , 
114,Real Estate Loans, 56.18, 58.60, 57.40, 59.49, 62.22
115,RE Loans Secured by 1-4 Family,25.66, 25.09, 25.51, 25.20, 24.64
116,Revolving,6.76,7.08,6.92,6.85,6.18
117,Closed-End,18.19, 17.47, 17.91, 17.81, 17.87
118,Commercial Real Estate Loans,27.55, 30.11, 28.90, 30.65, 34.15
119,Construction and Land Dev,4.64,6.67,5.52,8.02, 11.06
120,Multifamily,2.75,2.68,2.63,2.58,2.40
121,Nonfarm Nonresidential,18.90, 19.53, 19.38, 18.99, 19.31
122,RE Loans Secured by Farmland, 0.56,0.54,0.55,0.54,0.46
123,Loans to Depository Institutions, 0.23,0.11,0.17,0.10,0.15
124,Commercial and Industrial Loans, 19.60, 19.73, 19.95, 19.90, 20.85
125,Loans to Individuals,10.72, 10.08,9.96,9.03,7.80
126,Credit Card Loans,3.03,2.38,2.54,1.52,1.21
127,Agricultural Loans, 0.27,0.26,0.28,0.27,0.29
128,Loans to Foreign Govts and Inst,0.01,0.00,0.01,0.01,0.00
129,Other Loans and Leases, 6.57,6.10,6.53,6.22,5.08
130,PERCENT OF TOTAL ASSETS,06/30/2011,06/30/2010,12/31/2010,12/31/2009,12/31/2008
131,Short-Term Investments,11.29, 10.14, 10.19,9.62,7.95
132,Liquid Assets, 26.83, 24.65, 25.95, 24.18, 21.51
133,Investment Securities, 20.31, 19.08, 20.42, 19.11, 17.16
134,Net Loans and Leases,56.84, 58.75, 57.51, 59.71, 63.39
135,"Net Lns, Ls & Stdby Ltrs of Credit",59.20, 61.32, 60.00, 62.43, 66.40
136,Core Deposits, 54.67, 53.06, 53.81, 51.08, 46.50
137,Noncore Funding, 27.62, 29.47, 28.80, 32.59, 37.61
138,Time Deposits of $100K or More, 6.42,7.35,6.69,7.50,9.21
139,Foreign Deposits, 1.81,1.77,1.96,2.14,2.28
140,Fed Funds Purchased and Repos,4.02,3.88,4.09,4.43,5.81
141,Net Fed Funds Purchased (Sold), 2.67,2.65,2.58,3.36,4.62
142,Int-Bearing Liab Repr in 1 Year, 14.33, 16.23, 14.96, 19.48, 23.53
143,Long-Term Debt Repr in 1 Year,1.83,2.31,2.03,1.96,2.02
144,Net ST Noncore Funding Dependence,3.28,5.94,5.84,9.84, 22.32
145,Short-Term Inv/ST Noncore Funding, 88.96, 66.93, 67.65, 55.57, 31.65
146,Liq Asts-ST Noncore Fndg/Nonliq Asts,18.83, 12.98, 15.75,8.41, -3.84
147,Net Loans and Leases/Total Deposits, 87.70, 89.11, 88.15, 89.66, 99.38
148,Net Loans and Leases/Core Deposits, 115.87,125.39,120.03,140.58,150.98
149,Held-To-Mat Sec Appr(Depr)/T1 Cap,0.63,0.65,0.28,0.11, -0.66
150,Avail-For-Sale Sec Appr(Depr)/T1 Cap, 3.41,3.92,2.05,0.97, -4.29
151,Available-For-Sale Securities, 94.13, 94.39, 94.78, 94.65, 94.46
152,U.S. Treasury Securities, 5.10,4.24,4.71,3.48,1.09
153,U.S. Agency Securities (excl MBS), 10.59, 12.03, 11.25, 10.28, 11.58
154,Municipal Securities, 7.06,7.02,6.92,6.77,7.25
155,Mortgage-Backed Securities,57.68, 57.58, 57.24, 59.41, 63.84
156,Asset-Backed Securities,3.60,3.74,3.48,3.88,2.89
157,Other Debt Securities,6.60,5.38,6.78,5.16,3.86
158,Debt Securities Over 5 Years,51.45, 50.67, 50.65, 52.85, 59.42
159,Pledged Securities,48.47, 52.79, 50.95, 54.10, 66.91
160,"Structured Notes, Fair Value", 0.40,0.61,0.47,0.31,0.27
161,ANALYSIS RATIOS,06/30/2011,06/30/2010,12/31/2010,12/31/2009,12/31/2008
162,Provision for Ln&Ls Losses/Avg Assets,0.52,1.32,1.10,1.96,1.20
163,Provision for Ln&Ls Losses/Avg Lns&Ls,0.86,2.10,1.80,3.07,1.79
164,ALLL/Nonaccrual Assets, 107.65, 95.23, 99.32, 92.12,115.68
165,Net Losses/Avg Loans and Leases,1.31,2.09,2.04,2.33,1.10
166,"Write-downs, Trans Lns HFS/Avg Lns&Ls",0.01,0.01,0.05,0.02,0.03
167,Recoveries/Prior Year-End Losses, 6.05,4.45,9.74, 13.00, 21.90
168,Earnings Coverage of Net Losses (X),3.36,2.48,2.54,1.67,2.24NET LOAN AND LEASE LOSSES BY TYPE---------------------------------
169,Real Estate Loans,1.40,2.05,2.17,2.21,0.97
170,RE Loans Secured By 1-4 Family, 1.10,1.42,1.43,1.41,0.61
171,Revolving,1.18,1.33,1.31,1.65,0.72
172,Closed-End, 1.08,1.42,1.45,1.42,0.54
173,Commercial Real Estate Loans, 1.40,2.42,2.64,2.81,1.13
174,Construction and Land Dev,3.45,5.82,6.60,6.64,2.87
175,Multifamily,0.84,1.00,1.21,1.09,0.36
176,Nonfarm Nonresidential, 0.83,1.28,1.38,1.00,0.23
177,Other Loans and Leases, 0.41,0.66,0.72,1.44,0.54
178,PERCENT OF LOANS AND LEASES,06/30/2011,06/30/2010,12/31/2010,12/31/2009,12/31/2008
179,30-89 Days PD Loans and Leases, 0.95,1.29,1.20,1.51,1.58
180,90+ Days PD Loans and Leases, 0.66,0.79,0.78,0.66,0.35
181,Nonaccrual Restructured,0.52,0.38,0.46,0.31,0.09PERCENT OF LNS&LS + OTHER ASSETS30+ DAYS PAST DUE AND NONACCRUAL
182,30-89 Days Past Due Assets, 0.96,1.30,1.21,1.52,1.58
183,90+ Days Past Due Assets, 0.66,0.80,0.79,0.67,0.35
184,Nonaccrual Assets,2.58,3.42,3.14,3.80,2.18
185,30+ Days PD & Nonaccrual Assets,4.36,5.70,5.38,6.16,4.24PERCENT OF TOTAL ASSETS-----------------------
186,90+ Days PD and Nonaccrual Assets,1.93,2.66,2.40,2.83,1.71
187,90+ PD & Nonaccrual Assets + OREO,2.28,3.04,2.79,3.16,1.97RESTRUCTURED & NONACCRUAL LNS&LS+ REAL ESTATE ACQUIRED AS PERCENT OF:
188,Total Assets, 2.54,2.90,2.80,3.04,1.72
189,Allowance for Loan & Lease Losses,203.96,184.65,204.15,180.34,141.96
190,Equity Cap + ALLL, 21.50, 23.04, 23.73, 27.89, 17.33
191,Tier 1 Cap + ALLL, 25.00, 27.02, 26.98, 30.58, 18.49
192,Loans & Leases + RE Acquired, 4.33,4.66,4.72,4.78,2.61
193, - 90+ Days Past Due, 0.76,1.05,0.95,0.74,0.36
194, - Nonaccrual,4.39,5.21,5.21,5.49,2.85
195, - 90+ Days Past Due, 0.17,0.21,0.24,0.16,0.11
196, - Nonaccrual,1.41,2.19,1.91,2.48,1.15
197, - 90+ Days Past Due, 0.53,0.62,0.62,0.62,0.41
198, - Nonaccrual,0.33,0.40,0.44,0.63,0.37
199,Dep Inst Lns - 30-89 Days PD, 0.00,0.03,0.00,0.09,0.02
200, - 90+ Days Past Due, 0.00,0.01,0.00,0.00,0.00
201, - Nonaccrual,0.00,0.05,0.00,0.17,0.02
202,Agricultural - 30-89 Days PD, 0.27,0.65,0.37,0.77,0.47
203, - 90+ Days Past Due, 0.03,0.06,0.04,0.04,0.02
204, - Nonaccrual,1.74,1.75,2.34,1.61,0.78
205,Foreign Govts- 30-89 Days PD, 0.00,0.25,0.00,7.14,0.18
206, - 90+ Days Past Due, 0.00,0.00,0.00,0.39,0.00
207, - Nonaccrual,2.01,1.00,0.62,0.00,0.07
