,Column1,Value1,Value2,Value3,Value4,Value5
0, , 09/30/2011,09/30/2010,12/31/2010,12/31/2009,12/31/2008
1,Number of BHCs in Peer Group, 69,72,70,73,69EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.04,3.05,3.04,2.85,2.91
4,+ Non-interest Income,1.67,1.83,1.89,1.92,1.58
5,- Overhead Expense, 3.16,3.12,3.19,3.28,3.29
6,- Provision for Losses, 0.50,1.23,1.10,1.96,1.20
7,+ Securities Gains (Losses),0.06,0.06,0.06,0.02, -0.12
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.18,0.68,0.77, -0.39, -0.16
10,Net Operating Income, 0.76,0.43,0.51, -0.40, -0.26
11,Net Income, 0.77,0.44,0.51, -0.38, -0.27
12,Interest Expense, 0.92,1.11,1.07,1.52,2.41
13,Net Interest Income (TE), 3.38,3.39,3.39,3.16,3.25
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,1.22,2.10,2.04,2.33,1.10
16,Earnings Coverage of Net Losses (X),3.76,2.50,2.54,1.67,2.24
17,Ln&Ls Allowance/Total Loans & Leases, 2.23,2.81,2.63,2.80,1.84
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,2.93,4.10,3.75,4.24,2.45
19,30-89 Days Past Due Loans and Leases, 0.97,1.24,1.20,1.51,1.58
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,19.87, 25.40, 25.40, 30.25, 37.21
22,Net ST Noncore Funding Dependence,2.06,5.69,5.84,9.84, 22.32
23,Net Loans and Leases/Total Assets, 56.77, 58.28, 57.51, 59.71, 63.39
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,9.20,9.23,9.03,8.69,8.43
26,Equity Capital/Total Assets, 10.80, 10.86, 10.66, 10.01,9.42
27,Equity Capital+Minority Int/Total Assets,11.02, 11.00, 10.80, 10.22,9.70
28,Tier 1 Common Eq Cap / T RWA,11.12, 10.18, 10.47,8.37, N/A
29,Net Loans&Ls/Equity Capital (X),5.19,5.38,5.41,6.29,7.08
30,Cash Dividends/Net Income, 24.36, 32.80, 35.73, 59.69, 74.27
31,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
32,Retained Earnings/Avg Equity Cap, 5.26,2.32,3.13, -7.11, -8.15
33,PARENT COMPANY RATIOS:, , , , , 
34,Short-Term Debt/Equity Capital, 3.27,3.29,2.77,3.30,3.22
35,Long-Term Debt/Equity Capital, 14.33, 16.29, 16.08, 15.74, 11.65
36,Equity Investment in Subs/Equity Cap, 108.23,107.84,108.43,108.82,105.00
37,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 110.69, 93.75,115.72, 99.52, 96.96
38,PERCENT OF AVERAGE ASSETS,09/30/2011,09/30/2010,12/31/2010,12/31/2009,12/31/2008
39,Interest Income (TE), 3.91,4.12,4.07,4.26,5.11
40,Less: Interest Expense, 0.83,1.00,0.96,1.38,2.16
41,Equals: Net Interest Income (TE), 3.04,3.05,3.04,2.85,2.91
42,Plus: Non-Interest Income,1.67,1.83,1.89,1.92,1.58
43,Equals: Adj Operating Income (TE),4.74,4.88,4.93,4.75,4.55
44,Less: Overhead Expense, 3.16,3.12,3.19,3.28,3.29
45,Less: Provision for Loan and Lease Losses,0.50,1.23,1.10,1.96,1.20
46,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
47,Plus: Realized G/L on AFS Sec,0.06,0.06,0.06,0.03, -0.10
48,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
49,Memo: Net Income (Last Four Qtrs),0.70,0.27,0.53, -0.38, -0.27
50,MARGIN ANALYSIS:, , , , , 
51,Avg Earning Assets / Avg Assets, 90.20, 90.20, 89.92, 90.59, 89.81
52,Avg Int-Bearing Funds / Avg Assets,71.11, 73.44, 72.84, 75.26, 77.63
53,Int Income (TE) / Avg Earning Assets, 4.35,4.58,4.54,4.70,5.70
54,Int Expense / Avg Earning Assets, 0.92,1.11,1.07,1.52,2.41
55,Interest-Bearing Bank Balances, 0.35,0.33,0.35,0.46,2.18
56,Fed Funds Sold & Reverse Repos, 0.39,0.50,0.45,0.50,2.41
57,Trading Assets, 1.47,1.17,1.37,1.42,2.55
58,Mortgage-Backed Securities, 3.31,3.93,3.82,4.53,4.84
59,Time Deposits < $100K,1.52,1.80,1.76,2.58,3.53
60,Other Domestic Deposits,0.40,0.55,0.53,0.75,1.46
61,All Interest-Bearing Funds, 1.15,1.36,1.31,1.82,2.81
