,Column1,Value1,Value2,Value3,Value4,Value5
0, , 12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
1,Number of BHCs in Peer Group, 68,69,66,69,67EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.08,3.08,3.16,3.18,3.48
4,+ Non-interest Income,1.92,2.04,2.13,2.30,2.32
5,- Overhead Expense, 2.97,3.06,3.24,3.29,3.48
6,- Provision for Losses, 0.15,0.15,0.18,0.30,0.42
7,+ Securities Gains (Losses), -0.01,0.01,0.03,0.06,0.06
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.83,1.93,1.94,1.97,2.05
10,Net Operating Income, 1.18,1.25,1.26,1.26,1.30
11,Net Income, 1.21,1.26,1.28,1.26,1.30
12,Interest Expense, 3.16,2.21,1.48,1.58,2.11
13,Net Interest Income (TE), 3.41,3.44,3.54,3.55,3.90
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.23,0.28,0.35,0.53,0.68
16,Earnings Coverage of Net Losses (X), 33.34, 22.75, 18.87, 10.06, 10.16
17,Ln&Ls Allowance/Total Loans & Leases, 1.11,1.13,1.28,1.45,1.57
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.57,0.48,0.58,0.77,0.94
19,30-89 Days Past Due Loans and Leases, 0.81,0.69,0.64,0.79,0.93
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,37.56, 37.80, 35.51, 35.42, 32.92
22,Net ST Noncore Funding Dependence, 23.42, 23.48, 19.41, 19.82, 18.74
23,Net Loans and Leases/Total Assets, 62.64, 60.09, 59.70, 58.53, 59.29
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.89,7.44,7.57,7.55,7.44
26,Equity Capital/Total Assets,9.22,8.88,9.05,8.60,8.59
27,Net Loans&Ls/Equity Capital (X),6.97,6.97,6.80,6.98,7.05
28,Cash Dividends/Net Income, 36.77, 39.51, 33.11, 32.28, 29.50
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 8.60,8.47,9.27,9.60, 10.04
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 3.02,2.55,3.47,4.00,4.41
33,Long-Term Debt/Equity Capital, 11.88, 12.45, 12.04, 15.42, 13.73
34,Equity Investment in Subs/Equity Cap, 110.24,108.78,109.21,110.51,110.41
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 134.43,147.51,136.30,149.23,180.46
36,PERCENT OF AVERAGE ASSETS,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
37,Interest Income (TE), 5.94,5.07,4.46,4.62,5.36
38,Less: Interest Expense, 2.85,1.98,1.32,1.42,1.88
39,Equals: Net Interest Income (TE), 3.08,3.08,3.16,3.18,3.48
40,Plus: Non-Interest Income,1.92,2.04,2.13,2.30,2.32
41,Equals: Adj Operating Income (TE),4.98,5.14,5.31,5.49,5.81
42,Less: Overhead Expense, 2.97,3.06,3.24,3.29,3.48
43,Less: Provision for Loan and Lease Losses,0.15,0.15,0.18,0.30,0.42
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec, -0.01,0.01,0.03,0.06,0.06
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),1.21,1.26,1.30,1.28,1.30
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 90.18, 89.84, 89.69, 89.80, 89.35
50,Avg Int-Bearing Funds / Avg Assets,75.81, 74.48, 73.85, 74.79, 75.57
51,Int Income (TE) / Avg Earning Assets, 6.59,5.65,5.01,5.17,6.01
52,Int Expense / Avg Earning Assets, 3.16,2.21,1.48,1.58,2.11
53,Interest-Bearing Bank Balances, 5.07,3.49,2.01,2.04,2.31
54,Fed Funds Sold & Reverse Repos, 5.08,3.24,1.49,1.36,1.91
55,Trading Assets, 3.02,2.47,3.33,2.60,2.73
56,Mortgage-Backed Securities, 4.70,4.31,4.17,4.20,5.25
57,Time Deposits < $100K,3.99,2.90,2.42,2.66,3.54
58,Other Domestic Deposits,2.25,1.41,0.79,0.87,1.29
59,All Interest-Bearing Funds, 3.77,2.64,1.82,1.90,2.49
60, , 12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
61,Avg Personnel Exp Per Employee ($000),74,73,68,66,62
62,Avg Assets per Employee ($000),"5,056"," 4,727"," 4,581"," 4,348"," 3,770"
63,ANALYSIS RATIOS, , , , , 
