,Column1,Value1,Value2,Value3,Value4,Value5
0, , 03/31/2009,03/31/2008,12/31/2008,12/31/2007,12/31/2006
1,Number of BHCs in Peer Group, 74,69,71,66,68EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 2.71,2.87,2.88,3.00,3.09
4,+ Non-interest Income,1.79,1.78,1.60,1.64,1.91
5,- Overhead Expense, 3.09,2.83,3.29,2.96,2.97
6,- Provision for Losses, 1.66,0.72,1.16,0.36,0.15
7,+ Securities Gains (Losses),0.03,0.05, -0.12, -0.02, -0.01
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE), -0.12,1.15, -0.13,1.31,1.83
10,Net Operating Income,-0.08,0.76, -0.23,0.86,1.18
11,Net Income,-0.08,0.76, -0.25,0.87,1.21
12,Interest Expense, 1.80,2.90,2.41,3.44,3.16
13,Net Interest Income (TE), 3.02,3.24,3.24,3.34,3.42
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,1.68,0.61,1.10,0.38,0.23
16,Earnings Coverage of Net Losses (X),2.33,7.88,2.64, 13.40, 33.33
17,Ln&Ls Allowance/Total Loans & Leases, 2.20,1.31,1.81,1.22,1.11
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,3.13,1.35,2.40,1.08,0.57
19,30-89 Days Past Due Loans and Leases, 1.73,1.10,1.60,1.03,0.81
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,36.93, 42.59, 37.51, 40.68, 37.63
22,Net ST Noncore Funding Dependence, 18.26, 26.56, 22.51, 26.17, 23.42
23,Net Loans and Leases/Total Assets, 62.53, 62.28, 61.92, 63.85, 62.66
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,8.56,7.26,8.29,7.42,7.79
26,Equity Capital/Total Assets,9.86,8.99,9.24,9.31,9.22
27,Equity Capital+Minority Int/Total Assets,10.11,9.30,9.53,9.42,9.34
28,Net Loans&Ls/Equity Capital (X),6.60,7.15,6.96,7.17,6.97
29,Cash Dividends/Net Income, 68.95, 52.94, 70.15, 50.49, 36.79
30,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
31,Retained Earnings/Avg Equity Cap,-4.37,3.65, -7.55,3.67,8.58
32,PARENT COMPANY RATIOS:, , , , , 
33,Short-Term Debt/Equity Capital, 4.41,4.64,3.65,3.73,3.12
34,Long-Term Debt/Equity Capital, 15.91, 11.78, 11.95, 11.89, 11.77
35,Equity Investment in Subs/Equity Cap, 104.56,113.71,105.96,112.58,110.24
36,Cash FR Oper+Noncash+Op Exp/Op Exp+Div,70.52,108.68, 95.72,138.88,134.43
37,PERCENT OF AVERAGE ASSETS,03/31/2009,03/31/2008,12/31/2008,12/31/2007,12/31/2006
38,Interest Income (TE), 4.35,5.47,5.07,6.13,5.95
39,Less: Interest Expense, 1.62,2.60,2.16,3.08,2.85
40,Equals: Net Interest Income (TE), 2.71,2.87,2.88,3.00,3.09
41,Plus: Non-Interest Income,1.79,1.78,1.60,1.64,1.91
42,Equals: Adj Operating Income (TE),4.49,4.68,4.55,4.68,4.97
43,Less: Overhead Expense, 3.09,2.83,3.29,2.96,2.97
44,Less: Provision for Loan and Lease Losses,1.66,0.72,1.16,0.36,0.15
45,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
46,Plus: Realized G/L on AFS Sec,0.03,0.05, -0.10, -0.02, -0.01
47,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
48,Memo: Net Income (Last Four Qtrs), -0.53,0.76, -0.25,0.85,1.21
49,MARGIN ANALYSIS:, , , , , 
50,Avg Earning Assets / Avg Assets, 89.78, 89.37, 89.65, 89.70, 90.22
51,Avg Int-Bearing Funds / Avg Assets,75.76, 76.94, 77.39, 76.48, 75.80
52,Int Income (TE) / Avg Earning Assets, 4.86,6.14,5.67,6.82,6.60
53,Int Expense / Avg Earning Assets, 1.80,2.90,2.41,3.44,3.16
54,Interest-Bearing Bank Balances, 0.73,4.05,2.23,5.42,5.07
55,Fed Funds Sold & Reverse Repos, 0.77,3.35,2.40,5.20,5.08
56,Trading Assets, 1.94,2.67,2.64,3.45,2.87
57,Mortgage-Backed Securities, 4.99,4.86,4.84,4.89,4.71
58,Time Deposits < $100K,2.93,4.20,3.54,4.47,3.96
59,Other Domestic Deposits,0.89,1.86,1.47,2.50,2.26
60,All Interest-Bearing Funds, 2.12,3.43,2.83,4.04,3.77
61, , 03/31/2009,03/31/2008,12/31/2008,12/31/2007,12/31/2006
62,Avg Personnel Exp Per Employee ($000),21,20,77,75,74
63,Avg Assets per Employee ($000),"6,261"," 5,828"," 5,926"," 5,301"," 5,057"
64,ANALYSIS RATIOS, , , , , 
65,Personnel Expense,1.45,1.47,1.43,1.52,1.61
66,Net Occupancy Expense,0.38,0.38,0.38,0.39,0.40
67,Personnel Expense, 33.30, 32.30, 32.08, 32.37, 32.03
68,Net Occupancy Expense,9.01,8.40,8.66,8.55,8.03
69,Serv Charges on Deposit Accts - Domestic, 7.09,6.96,7.52,7.59,6.77
70,Trading Revenue,1.96, -0.19,0.00,0.20,1.15
71,Investment Banking Fees & Commissions,2.70,3.57,3.27,3.28,3.04
72,Venture Capital Revenue, -0.21,0.06, -0.02,0.23,0.19
73,Net Servicing Fees, 1.28,0.80,0.77,0.82,0.68
74,Net Securitization Income,0.18,0.18,0.16,0.31,0.37
75,Insurance Activities Revenue, 1.06,1.24,1.04,1.21,1.24
76,"Net Gain (Loss) - Sales Loans, OREO, Oth", 1.11,0.62,0.30,0.97,1.36
77,Appl Inc Taxes/Pretax NOI (TE),26.10, 28.73, 24.76, 28.98, 30.50
78,Appl Inc Tax+TE/Pretax NOI+TE, 33.77, 33.53, 31.86, 32.86, 34.13
79,PERCENT OF TOTAL ASSETS,03/31/2009,03/31/2008,12/31/2008,12/31/2007,12/31/2006
80,Real Estate Loans, 38.78, 39.95, 39.94, 40.85, 39.85
81,Commercial and Industrial Loans, 13.13, 12.44, 12.88, 12.72, 11.89
82,Loans to Individuals, 5.52,5.03,4.82,5.33,5.36
83,Loans to Depository Institutions, 0.06,0.10,0.07,0.09,0.11
84,Agricultural Loans, 0.17,0.19,0.19,0.21,0.21
85,Other Loans and Leases, 3.15,3.16,2.95,3.26,3.17
86, Net Loans and Leases, 62.53, 62.28, 61.92, 63.85, 62.66
87,Debt Securities Over 1 Year, 13.19, 12.86, 13.43, 13.05, 13.87
88,Mutual Funds and Equity Securities, 0.23,0.21,0.17,0.24,0.26
89, Subtotal, 76.90, 76.42, 76.41, 77.94, 77.54
90,Interest-Bearing Bank Balances, 3.35,0.70,2.87,0.50,0.55
91,Federal Funds Sold & Reverse Repos, 0.73,2.27,0.98,2.24,2.68
92,Debt Securities 1 Year or Less, 3.21,3.16,3.11,3.17,3.12
93,Trading Assets, 1.28,1.78,1.60,1.34,1.15
94, Total Earning Assets, 87.64, 87.25, 87.67, 87.60, 88.10
95,Non-Int Cash and Due From Dep Inst, 1.64,2.11,1.90,2.28,2.38
96,Other Real Estate Owned,0.27,0.14,0.23,0.10,0.06
97,U.S. Treasury Securities, 0.30,0.12,0.19,0.14,0.32
98,U.S. Agency Securities (excl MBS),1.72,2.03,1.81,2.38,3.46
99,Municipal Securities, 1.19,1.08,1.16,1.13,1.07
100,Mortgage-Backed Securities,10.17, 10.05, 10.36,9.64,9.68
101,Asset-Backed Securities,0.45,0.40,0.40,0.35,0.22
102,Other Debt Securities,0.78,0.80,0.69,0.75,0.60
103,RE Loans Secured by 1-4 Family,15.19, 15.91, 15.33, 16.28, 16.64
104,Revolving,4.03,3.63,3.98,3.71,3.86
105,"Closed-End, Sec by First Liens", 9.59, 10.36,9.57, 10.54, 10.76
106,"Closed-End, Sec by Junior Liens",1.34,1.65,1.43,1.76,1.67
107,Commercial Real Estate Loans,21.37, 21.70, 22.32, 22.22, 20.91
108,Construction and Land Dev,6.95,7.80,7.26,8.05,7.45
109,Multifamily,1.58,1.32,1.52,1.35,1.55
110,Nonfarm Nonresidential,12.37, 11.64, 12.76, 11.82, 11.02
111,RE Loans Secured by Farmland, 0.32,0.27,0.33,0.27,0.23
112,"LOAN MIX, % OF GROSS LOANS & LEASES:", , , , , 
113,Real Estate Loans, 59.56, 62.66, 62.33, 62.08, 61.98
114,RE Loans Secured by 1-4 Family,23.94, 25.30, 24.29, 25.69, 26.62
115,Revolving,6.19,5.52,6.08,5.64,5.88
116,Closed-End,17.34, 19.38, 17.70, 19.66, 20.25
117,Commercial Real Estate Loans,31.97, 33.57, 34.36, 33.44, 31.92
118,Construction and Land Dev, 10.24, 11.54, 10.71, 11.93, 11.10
119,Multifamily,2.42,1.99,2.31,2.05,2.44
120,Nonfarm Nonresidential,18.41, 18.40, 19.89, 17.83, 16.60
121,RE Loans Secured by Farmland, 0.48,0.40,0.49,0.40,0.34
122,Loans to Depository Institutions, 0.11,0.21,0.15,0.20,0.18
123,Commercial and Industrial Loans, 20.68, 19.52, 20.30, 19.89, 18.82
124,Loans to Individuals, 8.87,8.24,8.00,8.39,8.68
125,Credit Card Loans,1.45,1.35,1.39,1.26,1.18
126,Agricultural Loans, 0.26,0.28,0.29,0.31,0.33
127,Loans to Foreign Govts and Inst,0.00,0.00,0.00,0.00,0.01
128,Other Loans and Leases, 5.86,5.61,5.21,5.48,6.21
129,PERCENT OF TOTAL ASSETS,03/31/2009,03/31/2008,12/31/2008,12/31/2007,12/31/2006
130,Short-Term Investments, 8.49,7.62,8.53,6.96,8.04
131,Liquid Assets, 21.24, 20.21, 21.88, 19.49, 22.35
132,Investment Securities, 17.53, 16.90, 17.40, 17.00, 18.55
133,Net Loans and Leases,62.53, 62.28, 61.92, 63.85, 62.66
134,"Net Lns, Ls & Stdby Ltrs of Credit",65.49, 65.23, 64.94, 66.91, 65.82
135,Core Deposits, 46.01, 43.91, 45.35, 46.67, 48.23
136,Noncore Funding, 37.25, 39.19, 37.85, 37.67, 36.10
137,Time Deposits of $100K or More, 8.81,9.80,8.98, 10.08, 11.73
138,Foreign Deposits, 2.06,2.65,2.21,3.12,2.70
139,Fed Funds Purchased and Repos,5.09,7.68,6.00,7.30,7.72
140,Net Fed Funds Purchased (Sold), 3.60,5.26,4.75,4.96,4.92
141,Int-Bearing Liab Repr in 1 Year, 22.98, 21.41, 22.25, 22.78, 22.38
142,Long-Term Debt Repr in 1 Year,2.51,2.19,2.01,2.17,2.14
143,Net ST Noncore Funding Dependence, 18.26, 26.56, 22.51, 26.17, 23.42
144,Short-Term Inv/ST Noncore Funding, 39.27, 25.40, 33.81, 25.06, 26.53
145,Liq Asts-ST Noncore Fndg/Nonliq Asts,-2.47, -7.21, -3.38, -8.26, -3.40
146,Net Loans and Leases/Total Deposits, 99.28,107.35,101.86,101.89, 97.38
147,Net Loans and Leases/Core Deposits, 157.39,163.42,155.02,150.40,156.68
148,Held-To-Mat Sec Appr(Depr)/T1 Cap, -0.69,0.04, -0.65, -0.09, -0.59
149,Avail-For-Sale Sec Appr(Depr)/T1 Cap,-3.70, -2.25, -4.71, -1.37, -1.93
150,Available-For-Sale Securities, 94.32, 95.48, 94.62, 93.93, 92.47
151,U.S. Treasury Securities, 1.59,0.89,1.21,1.15,2.12
152,U.S. Agency Securities (excl MBS), 10.83, 12.04, 11.52, 14.07, 17.97
153,Municipal Securities, 6.94,6.40,7.08,6.70,5.90
154,Mortgage-Backed Securities,60.23, 62.10, 62.36, 60.58, 59.23
155,Asset-Backed Securities,2.95,2.99,2.87,2.79,1.59
156,Other Debt Securities,5.62,5.38,4.46,5.41,3.89
157,Debt Securities Over 5 Years,54.75, 58.65, 59.01, 57.87, 56.17
158,Pledged Securities,58.88, 64.66, 65.54, 63.70, 61.87
159,"Structured Notes, Fair Value", 0.33,0.28,0.26,0.32,0.20
160,ANALYSIS RATIOS,03/31/2009,03/31/2008,12/31/2008,12/31/2007,12/31/2006
161,Provision for Ln&Ls Losses/Avg Assets,1.66,0.72,1.16,0.36,0.15
162,Provision for Ln&Ls Losses/Avg Lns&Ls,2.62,1.11,1.77,0.56,0.25
163,ALLL/Nonaccrual Assets, 100.86,173.62,123.14,193.95,330.96
164,Net Losses/Avg Loans and Leases,1.68,0.61,1.10,0.38,0.23
165,"Write-downs, Trans Lns HFS/Avg Lns&Ls",0.00,0.00,0.03,0.00,0.00
166,Recoveries/Prior Year-End Losses, 2.27,4.65, 21.65, 30.58, 31.81
167,Earnings Coverage of Net Losses (X),2.33,7.88,2.64, 13.40, 33.33NET LOAN AND LEASE LOSSES BY TYPE---------------------------------
168,Real Estate Loans,1.41,0.47,0.95,0.18,0.08
169,RE Loans Secured By 1-4 Family, 0.96,0.38,0.61,0.18,0.09
170,Revolving,1.22,0.56,0.72,0.24,0.12
171,Closed-End, 0.98,0.33,0.52,0.15,0.08
172,Commercial Real Estate Loans, 1.47,0.37,1.13,0.14,0.04
173,Construction and Land Dev,3.30,0.83,2.88,0.25,0.03
174,Multifamily,0.44,0.09,0.37,0.07,0.02
175,Nonfarm Nonresidential, 0.38,0.09,0.23,0.06,0.04
176,Other Loans and Leases, 0.66,0.33,0.52,0.27,0.22
177,PERCENT OF LOANS AND LEASES,03/31/2009,03/31/2008,12/31/2008,12/31/2007,12/31/2006
178,30-89 Days PD Loans and Leases, 1.73,1.10,1.60,1.03,0.81
179,90+ Days PD Loans and Leases, 0.50,0.22,0.38,0.21,0.15
180,Nonaccrual Restructured,0.09,0.01,0.09,0.01,0.00PERCENT OF LNS&LS + OTHER ASSETS30+ DAYS PAST DUE AND NONACCRUAL
181,30-89 Days Past Due Assets, 1.73,1.11,1.60,1.03,0.81
182,90+ Days Past Due Assets, 0.50,0.23,0.39,0.21,0.15
183,Nonaccrual Assets,2.81,1.20,2.12,0.95,0.50
184,30+ Days PD & Nonaccrual Assets,5.20,2.66,4.24,2.29,1.50PERCENT OF TOTAL ASSETS-----------------------
185,90+ Days PD and Nonaccrual Assets,2.20,0.97,1.66,0.77,0.42
186,90+ PD & Nonaccrual Assets + OREO,2.50,1.14,1.93,0.90,0.48RESTRUCTURED & NONACCRUAL LNS&LS+ REAL ESTATE ACQUIRED AS PERCENT OF:
187,Total Assets, 2.19,0.94,1.63,0.73,0.35
188,Allowance for Loan & Lease Losses,159.57,106.62,136.58, 89.33, 50.61
189,Equity Cap + ALLL, 20.60,9.82, 16.52,7.74,3.91
190,Tier 1 Cap + ALLL, 23.53, 11.71, 17.65,8.93,4.32
191,Loans & Leases + RE Acquired, 3.32,1.45,2.51,1.14,0.58
192, - 90+ Days Past Due, 0.48,0.21,0.41,0.20,0.14
193, - Nonaccrual,3.84,1.65,2.79,1.23,0.56
194, - 90+ Days Past Due, 0.21,0.08,0.11,0.08,0.05
195, - Nonaccrual,1.78,0.61,1.13,0.50,0.52
196, - 90+ Days Past Due, 0.52,0.40,0.42,0.29,0.31
197, - Nonaccrual,0.54,0.27,0.40,0.24,0.14
198,Dep Inst Lns - 30-89 Days PD, 0.04,0.01,0.02,0.02,0.00
199, - 90+ Days Past Due, 0.05,0.00,0.00,0.01,0.00
200, - Nonaccrual,0.06,0.00,0.02,0.00,0.00
201,Agricultural - 30-89 Days PD, 0.56,0.35,0.47,0.28,0.27
202, - 90+ Days Past Due, 0.04,0.02,0.02,0.02,0.02
203, - Nonaccrual,0.81,0.46,0.74,0.43,0.36
204,Foreign Govts- 30-89 Days PD, 0.00,0.00,0.18,0.29,1.35
205, - 90+ Days Past Due, 0.00,0.00,0.00,0.00,0.00
206, - Nonaccrual,0.02,0.00,0.07,0.00,0.00
207,Other Lns&Ls - 30-89 Days PD, 0.77,0.49,0.67,0.59,0.49
208, - 90+ Days Past Due, 0.09,0.02,0.06,0.03,0.02
209,- 90+ Days Past Due,0.55,0.28,0.50,0.28,0.20
210,- Nonaccrual, 2.58,1.03,1.87,0.87,0.50
211,- 90+ Days Past Due,0.17,0.12,0.17,0.10,0.08
