,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 06/30/2012,06/30/2011,12/31/2011,12/31/2010,12/31/2009
2, Number of BHCs in Peer Group, 88,71,70,70,73
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.94,3.05,3.04,3.04,2.85
6, + Non-interest Income,1.72,1.72,1.61,1.89,1.92
7, - Overhead Expense, 3.21,3.18,3.16,3.19,3.28
8, - Provision for Losses, 0.32,0.52,0.49,1.10,1.96
9, + Securities Gains (Losses),0.03,0.05,0.05,0.06,0.02
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.24,1.17,1.12,0.77, -0.39
12, Net Operating Income, 0.81,0.75,0.72,0.51, -0.40
13, Net Income, 0.81,0.75,0.72,0.51, -0.38
14, Net Income (Sub S Adjusted),0.10, N/A, N/A, N/A, N/A
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 4.14,4.38,4.32,4.54,4.70
17, Interest Expense, 0.75,0.92,0.88,1.07,1.52
18, Net Interest Income (TE), 3.34,3.38,3.37,3.39,3.16
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.77,1.31,1.17,2.04,2.33
21, Earnings Coverage of Net Losses (X),7.94,3.34,3.51,2.53,1.67
22, Ln&Ls Allowance/Total Loans & Leases, 1.74,2.39,2.11,2.63,2.80
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,2.26,3.15,2.74,3.75,4.24
24, 30-89 Days Past Due Loans and Leases, 0.80,0.96,0.96,1.20,1.51
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,19.44, 22.58, 19.68, 25.33, 30.25
27, Net ST Noncore Funding Dependence,3.90,3.64,4.10,6.24, 10.25
28, Net Loans and Leases/Total Assets, 57.34, 56.84, 57.64, 57.51, 59.71
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.54,9.37,9.26,9.03,8.69
31, Equity Capital/Total Assets, 11.22, 10.85, 10.91, 10.66, 10.01
32, Equity Capital+Minority Int/Total Assets,11.51, 11.06, 11.12, 10.80, 10.22
33, Tier 1 Common Eq Cap / T RWA,11.66, 11.15, 11.33, 10.47,8.37
34, Net Loans&Ls/Equity Capital (X),5.10,5.21,5.26,5.41,6.29
35, Cash Dividends/Net Income, 23.53, 24.58, 24.89, 35.74, 59.69
36, Cash Dividends/Net Income (Sub S Adjusted), -32.84, N/A, N/A, N/A, N/A
37, Retained Earnings/Avg Equity Cap, 5.39,5.03,4.72,3.00, -7.11
38, PARENT COMPANY RATIOS: , , , , , 
39,Short-Term Debt/Equity Capital, 1.99,3.39,3.85,2.78,3.30
40, Long-Term Debt/Equity Capital, 11.40, 14.82, 14.07, 16.28, 15.74
41, Equity Investment in Subs/Equity Cap, 106.58,107.55,107.31,108.44,108.82
42, Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 160.51, 89.17,126.32,115.83, 99.52
43, , , , , , 
44, 2 , , , , , 
45,PERCENT OF AVERAGE ASSETS,06/30/2012,06/30/2011,12/31/2011,12/31/2010,12/31/2009
46, Interest Income (TE), 3.65,3.94,3.90,4.07,4.26
47, Less: Interest Expense, 0.66,0.83,0.79,0.96,1.38
48, Equals: Net Interest Income (TE), 2.94,3.05,3.04,3.04,2.85
49, Plus: Non-Interest Income,1.72,1.72,1.61,1.89,1.92
50, Equals: Adj Operating Income (TE),4.71,4.78,4.66,4.92,4.75
51, Less: Overhead Expense, 3.21,3.18,3.16,3.19,3.28
52, Less: Provision for Loan and Lease Losses,0.32,0.52,0.49,1.10,1.96
53, Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
54, Plus: Realized G/L on AFS Sec,0.03,0.05,0.05,0.06,0.03
55, Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
56, Equals: Pretax Net Oper Inc (TE), 1.24,1.17,1.12,0.77, -0.39
57,Less: Applicable Income Taxes (TE), 0.43,0.40,0.39,0.29,0.03
58, Less: Minority Interest,0.00,0.01,0.01,0.00,0.00
59, Equals: Net Operating Income, 0.81,0.75,0.72,0.51, -0.40
60,Plus: Net Extraordinary Items,0.00,0.00,0.00,0.00,0.00
61, Equals: Net Income, 0.81,0.75,0.72,0.51, -0.38
62, Memo: Net Income (Last Four Qtrs),0.75,0.70,0.72,0.52, -0.38
63, MARGIN ANALYSIS: , , , , , 
64,Avg Earning Assets / Avg Assets, 90.02, 90.28, 90.30, 89.93, 90.59
65, Avg Int-Bearing Funds / Avg Assets,69.03, 71.81, 70.86, 72.85, 75.28
66, Int Income (TE) / Avg Earning Assets, 4.14,4.38,4.32,4.54,4.70
67, Int Expense / Avg Earning Assets, 0.75,0.92,0.88,1.07,1.52
68, Net Int Inc (TE) / Avg Earn Assets, 3.34,3.38,3.37,3.39,3.16
69,YIELD OR COST: , , , , , 
70,Total Loans and Leases (TE),5.12,5.39,5.34,5.44,5.29
71, Interest-Bearing Bank Balances, 0.32,0.34,0.34,0.35,0.46
72, Fed Funds Sold & Reverse Repos, 0.37,0.42,0.38,0.45,0.50
73, Trading Assets, 1.58,1.44,1.43,1.37,1.42
74, Total Earning Assets, 4.08,4.31,4.26,4.46,4.64
75,Investment Securities (TE), 2.75,3.07,2.98,3.49,4.18
76, U.S. Treasury & Agency Sec (excl MBS),1.63,1.72,1.72,2.23,2.52
77, Mortgage-Backed Securities, 2.79,3.43,3.16,3.82,4.53
78, All Other Securities, 4.18,4.70,4.77,4.79,5.72
79,Interest-Bearing Deposits,0.54,0.72,0.67,0.88,1.48
80, Time Deposits of $100K or More, 1.18,1.37,1.30,1.55,2.36
81, Time Deposits < $100K,1.26,1.53,1.47,1.76,2.58
82, Other Domestic Deposits,0.30,0.41,0.38,0.53,0.75
83, Foreign Deposits, 0.47,0.51,0.50,0.48,0.72
84,Fed Funds Purchased and Repos,0.89,0.81,0.86,0.82,1.09
85, Other Borrowed Funds & Trading Liab,2.49,2.53,2.41,2.48,2.45
86, All Interest-Bearing Funds, 0.90,1.15,1.11,1.31,1.82
87, , , , , , 
88, 3 , , , , , 
89, , 06/30/2012,06/30/2011,12/31/2011,12/31/2010,12/31/2009
90, Avg Personnel Exp Per Employee ($000),48,46,90,89,82
91, Avg Assets per Employee ($000),"7,051"," 6,390"," 6,503"," 6,303"," 6,201"
92, ANALYSIS RATIOS , , , , , 
93,Mutual Fund Fee Inc / Non-Int Income, 3.21,3.08,3.12,2.86,2.66
94,Overhead Exp / NII + Non-Int Income, 68.46, 67.07, 68.44, 65.92, 73.71
95,PERCENT OF AVERAGE ASSETS: , , , , , 
96,Total Overhead Expense, 3.21,3.18,3.16,3.19,3.28
97, Personnel Expense,1.50,1.56,1.51,1.53,1.45
98, Net Occupancy Expense,0.34,0.37,0.36,0.38,0.38
99, Other Operating Expenses, 1.36,1.21,1.23,1.24,1.40
100,Overhead Less Non-Interest Income,1.40,1.43,1.49,1.28,1.30
101,PERCENT OF ADJUSTED OPERATING INCOME (TE): , , , , , 
102,Total Overhead Expense,67.76, 66.31, 67.63, 65.03, 72.69
103, Personnel Expense, 32.22, 32.81, 32.51, 31.04, 31.47
104, Net Occupancy Expense,7.59,7.80,7.92,7.84,8.42
105, Other Operating Expenses,27.67, 25.36, 26.22, 25.37, 32.61
106,Total Non-Interest Income, 34.88, 34.58, 33.58, 36.35, 36.93
107, Fiduciary Activities Income,2.27,3.02,2.81,3.28,3.21
108, Serv Charges on Deposit Accts - Domestic, 4.70,5.72,5.74,6.22,7.38
109, Trading Revenue,1.43,1.60,1.58,1.80,1.69
110, Investment Banking Fees & Commissions,3.16,3.27,2.84,3.07,3.00
111, Venture Capital Revenue,0.17,0.14,0.12,0.12, -0.06
112, Net Servicing Fees, 0.72,0.93,0.67,0.92,1.75
113, Net Securitization Income,0.00,0.01,0.01,0.00,0.13
114, Insurance Activities Revenue, 1.12,0.94,1.03,1.00,1.08
115," Net Gain (Loss) - Sales Loans, OREO, Oth", 1.55,0.51,0.42,0.49, -0.18
116, Other Non-Interest Income, 11.03, 12.50, 12.03, 12.94, 14.89
117,Overhead Less Non-Interest Income, 32.52, 31.59, 33.69, 28.72, 34.78
118, TAX RATIOS: , , , , , 
119,Appl Inc Taxes/Pretax NOI (TE),29.08, 27.52, 27.79, 21.65, 23.39
120, Appl Inc Tax+TE/Pretax NOI+TE, 32.93, 32.75, 32.83, 29.75, 30.98
121, , , , , , 
122, 4 , , , , , 
123,PERCENT OF TOTAL ASSETS,06/30/2012,06/30/2011,12/31/2011,12/31/2010,12/31/2009
124, Real Estate Loans, 33.48, 32.85, 32.55, 34.18, 37.26
125, Commercial and Industrial Loans, 10.94, 11.37, 11.63, 11.77, 12.18
126, Loans to Individuals, 4.82,6.06,6.06,5.68,5.34
127, Loans to Depository Institutions, 0.10,0.09,0.14,0.07,0.05
128, Agricultural Loans, 0.12,0.16,0.15,0.17,0.17
129, Other Loans and Leases, 3.74,3.29,3.49,3.40,3.20
130,Net Loans and Leases, 57.34, 56.84, 57.64, 57.51, 59.71
131, Debt Securities Over 1 Year, 16.89, 15.77, 16.67, 16.23, 15.06
132, Mutual Funds and Equity Securities, 0.14,0.16,0.12,0.18,0.19
