,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 03/31/2014,03/31/2013,12/31/2013,12/31/2012,12/31/2011
2, Number of BHCs in Peer Group, 88,92,90,90,70
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.85,2.81,2.84,2.90,3.04
6, + Non-interest Income,1.53,1.81,1.74,1.88,1.61
7, - Overhead Expense, 2.88,3.12,3.15,3.34,3.16
8, - Provision for Losses, 0.15,0.22,0.19,0.33,0.49
9, + Securities Gains (Losses),0.02,0.03,0.02,0.04,0.05
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.39,1.42,1.40,1.28,1.12
12, Net Operating Income, 0.92,0.93,0.94,0.88,0.72
13, Net Income, 0.92,0.95,0.94,0.87,0.72
14, Net Income (Sub S Adjusted), N/A,1.73, N/A,0.17, N/A
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 3.69,3.87,3.82,4.08,4.32
17, Interest Expense, 0.49,0.64,0.59,0.74,0.88
18, Net Interest Income (TE), 3.16,3.17,3.17,3.28,3.37
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.33,0.53,0.44,0.74,1.17
21, Earnings Coverage of Net Losses (X), 15.00, 16.60, 19.62,8.80,3.51
22, Ln&Ls Allowance/Total Loans & Leases, 1.37,1.59,1.41,1.61,2.11
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,1.33,1.91,1.42,1.94,2.74
24, 30-89 Days Past Due Loans and Leases, 0.68,0.79,0.68,0.87,0.96
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,16.84, 18.84, 17.84, 19.34, 20.15
27, Net ST Noncore Funding Dependence,3.16,3.10,3.67,3.44,4.17
28, Net Loans and Leases/Total Assets, 60.80, 58.48, 60.16, 57.97, 57.65
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.70,9.53,9.64,9.37,9.27
31, Equity Capital/Total Assets, 11.62, 11.59, 11.59, 11.30, 10.91
32, Equity Capital+Minority Int/Total Assets,11.80, 11.87, 11.78, 11.59, 11.12
33, Tier 1 Common Eq Cap / T RWA,11.97, 11.62, 11.79, 11.43, 11.32
34, Net Loans&Ls/Equity Capital (X),5.28,5.13,5.30,5.20,5.26
35, Cash Dividends/Net Income, 25.35, 24.75, 27.33, 25.15, 24.90
36, Cash Dividends/Net Income (Sub S Adjusted),N/A,106.81, N/A,-19.73, N/A
37, Retained Earnings/Avg Equity Cap, 5.73,6.05,5.84,5.49,4.71
38, PARENT COMPANY RATIOS: , , , , , 
39,Short-Term Debt/Equity Capital, 2.80,2.67,2.95,2.47,3.85
40, Long-Term Debt/Equity Capital, 10.99, 12.50, 12.70, 13.81, 14.07
41, Equity Investment in Subs/Equity Cap, 103.37,105.09,104.36,106.52,107.31
42, Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 132.19,172.21,168.26,160.13,126.35
43, , , , , , 
44, 2 , , , , , 
45,PERCENT OF AVERAGE ASSETS,03/31/2014,03/31/2013,12/31/2013,12/31/2012,12/31/2011
46, Interest Income (TE), 3.33,3.42,3.41,3.59,3.90
47, Less: Interest Expense, 0.44,0.56,0.53,0.65,0.80
48, Equals: Net Interest Income (TE), 2.85,2.81,2.84,2.90,3.04
49, Plus: Non-Interest Income,1.53,1.81,1.74,1.88,1.61
50, Equals: Adj Operating Income (TE),4.51,4.76,4.73,4.89,4.66
51, Less: Overhead Expense, 2.88,3.12,3.15,3.34,3.16
52, Less: Provision for Loan and Lease Losses,0.15,0.22,0.19,0.33,0.49
53, Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
54, Plus: Realized G/L on AFS Sec,0.02,0.03,0.02,0.04,0.05
55, Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
56, Equals: Pretax Net Oper Inc (TE), 1.39,1.42,1.40,1.28,1.12
57,Less: Applicable Income Taxes (TE), 0.46,0.47,0.44,0.42,0.39
58, Less: Minority Interest,0.01,0.00,0.00,0.01,0.01
59, Equals: Net Operating Income, 0.92,0.93,0.94,0.88,0.72
60,Plus: Net Extraordinary Items,0.00,0.00,0.00,0.00,0.00
61, Equals: Net Income, 0.92,0.95,0.94,0.87,0.72
62, Memo: Net Income (Last Four Qtrs),0.94,0.90,0.94,0.86,0.72
63, MARGIN ANALYSIS: , , , , , 
