,Column1,Value1,Value2,Value3,Value4,Value5
0, , 06/30/2004,06/30/2003,12/31/2003,12/31/2002,12/31/2001
1,Number of BHCs in Peer Group, 69,69,69,67,65EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.14,3.26,3.18,3.48,3.34
4,+ Non-interest Income,2.18,2.29,2.31,2.31,2.39
5,- Overhead Expense, 3.20,3.34,3.29,3.48,3.64
6,- Provision for Losses, 0.22,0.32,0.30,0.42,0.42
7,+ Securities Gains (Losses),0.05,0.10,0.06,0.06,0.06
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.97,2.01,1.98,2.04,1.70
10,Net Operating Income, 1.27,1.28,1.26,1.30,1.05
11,Net Income, 1.30,1.28,1.26,1.30,1.01
12,Interest Expense, 1.39,1.66,1.58,2.11,3.43
13,Net Interest Income (TE), 3.49,3.64,3.55,3.90,3.72
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.36,0.52,0.54,0.68,0.58
16,Earnings Coverage of Net Losses (X), 15.50, 10.76, 10.06, 10.14,9.73
17,Ln&Ls Allowance/Total Loans & Leases, 1.38,1.50,1.45,1.57,1.51
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.65,0.90,0.77,0.94,0.94
19,30-89 Days Past Due Loans and Leases, 0.66,0.75,0.79,0.93,1.11
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,37.04, 32.60, 35.57, 32.89, 34.71
22,Net ST Noncore Funding Dependence, 20.42, 18.14, 19.99, 18.72, 20.90
23,Net Loans and Leases/Total Assets, 59.91, 57.85, 58.56, 59.34, 58.93
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.50,7.47,7.55,7.43,7.34
26,Equity Capital/Total Assets,8.41,8.39,8.59,8.58,8.31
27,Net Loans&Ls/Equity Capital (X),7.27,7.10,6.99,7.07,7.23
28,Cash Dividends/Net Income, 33.74, 32.07, 32.23, 29.58, 37.89
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 9.59,9.73,9.62, 10.01,7.00
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 3.37,4.42,4.01,4.41,5.07
33,Long-Term Debt/Equity Capital, 15.04, 14.52, 15.42, 13.73, 14.08
34,Equity Investment in Subs/Equity Cap, 110.90,111.45,110.55,110.46,109.14
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 127.92,135.46,149.30,180.56,166.06
36,PERCENT OF AVERAGE ASSETS,06/30/2004,06/30/2003,12/31/2003,12/31/2002,12/31/2001
37,Interest Income (TE), 4.40,4.76,4.62,5.36,6.43
38,Less: Interest Expense, 1.25,1.49,1.42,1.88,3.09
39,Equals: Net Interest Income (TE), 3.14,3.26,3.18,3.48,3.34
40,Plus: Non-Interest Income,2.18,2.29,2.31,2.31,2.39
41,Equals: Adj Operating Income (TE),5.31,5.56,5.49,5.81,5.74
42,Less: Overhead Expense, 3.20,3.34,3.29,3.48,3.64
43,Less: Provision for Loan and Lease Losses,0.22,0.32,0.30,0.42,0.42
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.05,0.10,0.06,0.06,0.06
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),1.29,1.29,1.28,1.30,1.02
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 90.02, 89.55, 89.81, 89.35, 89.82
50,Avg Int-Bearing Funds / Avg Assets,75.22, 74.58, 74.82, 75.57, 75.19
51,Int Income (TE) / Avg Earning Assets, 4.90,5.34,5.17,6.01,7.19
52,Int Expense / Avg Earning Assets, 1.39,1.66,1.58,2.11,3.43
53,Interest-Bearing Bank Balances, 1.56,2.06,2.04,2.31,4.65
54,Fed Funds Sold & Reverse Repos, 1.16,1.46,1.37,1.91,4.11
55,Trading Assets, 2.48,2.32,2.42,2.35,3.96
56,Mortgage-Backed Securities, 4.20,4.38,4.20,5.25,5.92
57,Time Deposits < $100K,2.30,2.83,2.67,3.55,5.29
58,Other Domestic Deposits,0.72,0.93,0.87,1.29,2.30
59,All Interest-Bearing Funds, 1.66,1.99,1.90,2.49,4.15
60, , 06/30/2004,06/30/2003,12/31/2003,12/31/2002,12/31/2001
61,Avg Personnel Exp Per Employee ($000),34,33,66,62,59
62,Avg Assets per Employee ($000),"4,492"," 4,179"," 4,348"," 3,771"," 3,523"
63,ANALYSIS RATIOS, , , , , 
64,Personnel Expense,1.66,1.74,1.68,1.75,1.78
65,Net Occupancy Expense,0.43,0.46,0.45,0.48,0.48
66,Personnel Expense, 31.43, 31.62, 30.62, 30.38, 30.79
67,Net Occupancy Expense,8.14,8.14,8.17,8.25,8.60
68,Serv Charges on Deposit Accts - Domestic, 8.10,8.07,7.97,8.19,7.85
69,Trading Revenue,1.36,1.58,1.41,1.16,2.15
70,Investment Banking Fees & Commissions,4.14,4.55,4.61,4.68,5.02
71,Venture Capital Revenue,0.12, -0.09,0.02, -0.22, -0.41
72,Net Servicing Fees, 1.16, -0.08,0.58,0.92,1.09
73,Net Securitization Income,0.35,0.45,0.49,0.47,0.54
74,Insurance Activities Revenue, 1.73,1.18,1.17,1.15,1.02
75,"Net Gain (Loss) - Sales Loans, OREO, Oth", 1.95,3.06,2.89,1.73,1.22
76,Appl Inc Taxes/Pretax NOI (TE),31.85, 31.67, 31.45, 31.58, 33.17
77,Appl Inc Tax+TE/Pretax NOI+TE, 34.96, 34.78, 34.73, 34.83, 37.17
78,PERCENT OF TOTAL ASSETS,06/30/2004,06/30/2003,12/31/2003,12/31/2002,12/31/2001
79,Real Estate Loans, 36.88, 34.06, 34.79, 34.29, 32.43
80,Commercial and Industrial Loans, 11.11, 11.42, 11.27, 12.34, 12.89
81,Loans to Individuals, 6.07,5.95,6.16,6.42,6.22
82,Loans to Depository Institutions, 0.11,0.16,0.10,0.14,0.18
83,Agricultural Loans, 0.23,0.21,0.21,0.22,0.21
84,Other Loans and Leases, 3.84,4.25,4.31,4.25,4.92
85, Net Loans and Leases, 59.91, 57.85, 58.56, 59.34, 58.93
86,Debt Securities Over 1 Year, 19.26, 19.18, 19.67, 18.00, 16.22
87,Mutual Funds and Equity Securities, 0.32,0.39,0.36,0.40,0.49
88, Subtotal, 80.74, 78.55, 79.75, 78.91, 76.68
89,Interest-Bearing Bank Balances, 0.73,0.78,0.70,0.63,1.07
90,Federal Funds Sold & Reverse Repos, 2.02,2.60,1.88,2.31,2.86
91,Debt Securities 1 Year or Less, 1.47,1.76,1.99,1.91,1.88
92,Trading Assets, 1.37,1.61,1.64,1.69,1.86
93, Total Earning Assets, 88.37, 87.25, 88.19, 87.55, 86.95
94,Non-Int Cash and Due From Dep Inst, 2.71,3.40,2.85,3.38,3.52
95,Acceptances,0.03,0.03,0.03,0.03,0.03
96,Other Real Estate Owned,0.06,0.06,0.06,0.06,0.05
97,U.S. Treasury Securities, 0.66,0.73,0.78,0.45,0.40
98,U.S. Agency Securities (excl MBS),3.92,3.38,4.15,3.25,2.56
99,Municipal Securities, 0.80,0.83,0.75,0.78,0.84
100,Mortgage-Backed Securities,12.60, 12.77, 12.92, 12.07, 11.44
101,Asset-Backed Securities,0.36,0.40,0.41,0.49,0.55
102,Other Debt Securities,0.72,0.99,0.85,0.74,0.69
103,RE Loans Secured by 1-4 Family,18.46, 17.31, 17.22, 17.21, 17.20
104,Revolving,4.78,3.66,4.16,3.58,2.80
105,"Closed-End, Sec by First Liens",12.11, 11.87, 11.43, 11.65, 12.20
106,"Closed-End, Sec by Junior Liens",1.19,1.23,1.16,1.50,1.75
107,Commercial Real Estate Loans,15.44, 14.34, 14.48, 14.61, 12.94
108,Construction and Land Dev,4.11,3.42,3.82,3.67,3.48
109,Multifamily,1.25,1.42,1.26,1.27,1.08
110,Nonfarm Nonresidential, 9.46,8.58,8.84,8.96,8.00
111,RE Loans Secured by Farmland, 0.22,0.20,0.19,0.22,0.16
112,"LOAN MIX, % OF GROSS LOANS & LEASES:", , , , , 
113,Real Estate Loans, 59.65, 56.55, 57.27, 55.08, 52.56
114,RE Loans Secured by 1-4 Family,30.29, 28.75, 28.40, 27.93, 28.02
115,Revolving,7.62,5.97,6.71,5.75,4.47
116,Closed-End,22.27, 22.07, 21.13, 21.66, 23.14
117,Commercial Real Estate Loans,24.61, 23.51, 23.43, 23.13, 20.47
118,Construction and Land Dev,6.53,5.57,6.13,5.78,5.51
119,Multifamily,1.99,2.30,2.03,1.99,1.73
120,Nonfarm Nonresidential,15.22, 14.15, 14.45, 14.23, 12.66
121,RE Loans Secured by Farmland, 0.33,0.31,0.29,0.32,0.24
122,Loans to Depository Institutions, 0.32,0.40,0.25,0.34,0.36
123,Commercial and Industrial Loans, 18.63, 19.92, 19.18, 21.41, 22.66
124,Loans to Individuals,10.16, 10.14, 10.34, 10.73, 10.42
125,Credit Card Loans,1.02,1.04,1.12,1.17,1.00
126,Agricultural Loans, 0.35,0.33,0.33,0.35,0.32
127,Loans to Foreign Govts and Inst,0.02,0.02,0.02,0.03,0.04
128,Other Loans and Leases, 7.67,8.58,8.80,8.30,9.61
129,PERCENT OF TOTAL ASSETS,06/30/2004,06/30/2003,12/31/2003,12/31/2002,12/31/2001
130,Short-Term Investments, 4.73,5.94,5.38,5.50,6.52
131,Liquid Assets, 25.51, 26.90, 26.54, 25.43, 25.12
132,Investment Securities, 21.54, 22.00, 22.80, 20.88, 19.21
133,Net Loans and Leases,59.91, 57.85, 58.56, 59.34, 58.93
134,"Net Lns, Ls & Stdby Ltrs of Credit",63.34, 60.99, 61.74, 62.70, 62.24
135,Core Deposits, 50.04, 52.09, 50.22, 52.60, 50.01
136,Noncore Funding, 34.28, 30.89, 33.26, 30.89, 32.17
137,Time Deposits of $100K or More, 7.45,6.82,7.17,7.39,7.34
138,Foreign Deposits, 2.91,2.64,3.01,2.98,2.80
139,Fed Funds Purchased and Repos,8.60,7.97,8.63,7.58,8.08
140,Net Fed Funds Purchased (Sold), 5.88,5.08,6.14,4.92,5.17
141,Int-Bearing Liab Repr in 1 Year, 14.48, 14.96, 15.09, 15.89, 18.85
142,Long-Term Debt Repr in 1 Year,2.27,2.11,2.02,1.90,2.03
143,Net ST Noncore Funding Dependence, 20.42, 18.14, 19.99, 18.72, 20.90
144,Short-Term Inv/ST Noncore Funding, 23.28, 29.65, 25.35, 27.11, 25.78
145,Liq Asts-ST Noncore Fndg/Nonliq Asts, 5.37, 10.75,7.19,8.49,4.46
146,Net Loans and Leases/Total Deposits, 97.65, 93.57, 94.49, 92.92, 97.44
147,Net Loans and Leases/Core Deposits, 138.61,122.11,130.66,118.07,126.99
148,Held-To-Mat Sec Appr(Depr)/Eq Cap, -0.47,0.77,0.13,0.82,0.46
149,Avail-For-Sale Sec Appr(Depr)/Eq Cap,-2.39,4.69,1.39,4.73,1.71
150,Available-For-Sale Securities, 93.37, 94.53, 93.52, 94.02, 93.46
151,U.S. Treasury Securities, 3.30,3.64,3.56,2.65,2.49
152,U.S. Agency Securities (excl MBS), 17.01, 15.19, 16.79, 15.93, 12.49
153,Municipal Securities, 3.72,3.92,3.50,3.99,4.57
154,Mortgage-Backed Securities,59.76, 58.99, 58.53, 59.83, 62.17
155,Asset-Backed Securities,2.05,2.19,2.21,2.62,2.94
156,Other Debt Securities,4.42,5.78,5.21,4.54,5.08
157,Debt Securities Over 5 Years,65.25, 65.14, 64.88, 60.37, 62.73
158,Pledged Securities,57.17, 51.69, 53.79, 54.48, 49.52
159,"Structured Notes, Fair Value", 0.59,0.11,0.23,0.03,0.02
160,ANALYSIS RATIOS,06/30/2004,06/30/2003,12/31/2003,12/31/2002,12/31/2001
161,Provision for Ln&Ls Losses/Avg Assets,0.22,0.32,0.30,0.42,0.42
162,Provision for Ln&Ls Losses/Avg Lns&Ls,0.37,0.55,0.51,0.73,0.72
163,ALLL/Nonaccrual Assets, 296.45,243.63,271.61,250.00,229.74
164,Net Losses/Avg Loans and Leases,0.36,0.52,0.54,0.68,0.58
165,"Write-downs, Trans Lns HFS/Avg Lns&Ls",0.00,0.01,0.02,0.01, N/A
166,Recoveries/Prior Year-End Losses,11.04,8.51, 17.72, 18.80, 24.91
167,Earnings Coverage of Net Losses (X), 15.50, 10.76, 10.06, 10.14,9.73NET LOAN AND LEASE LOSSES BY TYPE---------------------------------
168,Real Estate Loans,0.09,0.09,0.11,0.11,0.13
169,RE Loans Secured By 1-4 Family, 0.10,0.11,0.12,0.11,0.12
170,Revolving,0.10,0.10,0.11,0.10,0.11
171,Closed-End, 0.11,0.11,0.13,0.12,0.11
172,Commercial Real Estate Loans, 0.05,0.05,0.08,0.09,0.10
173,Construction and Land Dev,0.03,0.04,0.06,0.09,0.06
174,Multifamily,0.02,0.01,0.01,0.03,0.01
175,Nonfarm Nonresidential, 0.06,0.06,0.09,0.09,0.11
176,Other Loans and Leases, 0.26,0.51,0.47,0.62,0.45
177,PERCENT OF LOANS AND LEASES,06/30/2004,06/30/2003,12/31/2003,12/31/2002,12/31/2001
178,30-89 Days PD Loans and Leases, 0.66,0.75,0.79,0.93,1.11
179,90+ Days PD Loans and Leases, 0.15,0.17,0.17,0.20,0.22
