,Column1,Value1,Value2,Value3,Value4,Value5
0, , 06/30/2010,06/30/2009,12/31/2009,12/31/2008,12/31/2007
1,Number of BHCs in Peer Group, 72,71,73,69,66EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.03,2.77,2.85,2.91,3.00
4,+ Non-interest Income,1.82,1.84,1.92,1.58,1.64
5,- Overhead Expense, 3.14,3.23,3.28,3.29,2.96
6,- Provision for Losses, 1.32,1.89,1.96,1.20,0.36
7,+ Securities Gains (Losses),0.05,0.03,0.02, -0.12, -0.02
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),0.59, -0.43, -0.40, -0.16,1.31
10,Net Operating Income, 0.36, -0.37, -0.40, -0.25,0.86
11,Net Income, 0.36, -0.45, -0.38, -0.27,0.87
12,Interest Expense, 1.13,1.67,1.52,2.41,3.44
13,Net Interest Income (TE), 3.38,3.06,3.16,3.25,3.34
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,2.10,2.00,2.33,1.10,0.38
16,Earnings Coverage of Net Losses (X),2.48,1.83,1.67,2.25, 13.40
17,Ln&Ls Allowance/Total Loans & Leases, 2.83,2.48,2.80,1.84,1.22
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,4.00,3.68,4.26,2.45,1.08
19,30-89 Days Past Due Loans and Leases, 1.30,1.45,1.52,1.58,1.03
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,26.29, 35.53, 30.32, 37.21, 41.09
22,Net ST Noncore Funding Dependence,5.97, 15.40,9.88, 22.32, 26.17
23,Net Loans and Leases/Total Assets, 58.71, 62.32, 59.27, 63.39, 63.85
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,9.13,8.56,8.71,8.43,7.42
26,Equity Capital/Total Assets, 10.85, 10.02, 10.02,9.42,9.31
27,Equity Capital+Minority Int/Total Assets,10.98, 10.17, 10.23,9.70,9.42
28,Net Loans&Ls/Equity Capital (X),5.48,6.38,6.29,7.08,7.17
29,Cash Dividends/Net Income, 34.06, 90.86, 59.69, 81.15, 50.49
30,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
31,Retained Earnings/Avg Equity Cap, 1.62, -8.71, -7.10, -8.12,3.67
32,PARENT COMPANY RATIOS:, , , , , 
33,Short-Term Debt/Equity Capital, 3.23,4.32,3.30,3.22,3.73
34,Long-Term Debt/Equity Capital, 15.30, 16.55, 15.74, 11.65, 11.89
35,Equity Investment in Subs/Equity Cap, 107.03,106.98,108.81,105.00,112.58
36,Cash FR Oper+Noncash+Op Exp/Op Exp+Div,75.30, 87.89, 98.42, 96.96,138.88
37,PERCENT OF AVERAGE ASSETS,06/30/2010,06/30/2009,12/31/2009,12/31/2008,12/31/2007
38,Interest Income (TE), 4.12,4.31,4.26,5.11,6.13
39,Less: Interest Expense, 1.02,1.52,1.38,2.16,3.08
40,Equals: Net Interest Income (TE), 3.03,2.77,2.85,2.91,3.00
41,Plus: Non-Interest Income,1.82,1.84,1.92,1.58,1.64
42,Equals: Adj Operating Income (TE),4.86,4.59,4.75,4.55,4.68
43,Less: Overhead Expense, 3.14,3.23,3.28,3.29,2.96
44,Less: Provision for Loan and Lease Losses,1.32,1.89,1.96,1.20,0.36
45,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
46,Plus: Realized G/L on AFS Sec,0.06,0.03,0.03, -0.10, -0.02
47,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
48,Memo: Net Income (Last Four Qtrs),0.13, -0.75, -0.38, -0.27,0.85
49,MARGIN ANALYSIS:, , , , , 
50,Avg Earning Assets / Avg Assets, 90.03, 90.35, 90.59, 89.81, 89.70
51,Avg Int-Bearing Funds / Avg Assets,73.51, 74.99, 75.27, 77.63, 76.48
52,Int Income (TE) / Avg Earning Assets, 4.59,4.78,4.70,5.70,6.82
53,Int Expense / Avg Earning Assets, 1.13,1.67,1.52,2.41,3.44
54,Interest-Bearing Bank Balances, 0.31,0.73,0.46,2.18,5.42
55,Fed Funds Sold & Reverse Repos, 0.37,0.70,0.48,2.41,5.19
56,Trading Assets, 1.15,1.56,1.42,2.55,3.45
57,Mortgage-Backed Securities, 4.07,4.77,4.53,4.84,4.89
58,Time Deposits < $100K,1.85,2.87,2.58,3.53,4.47
