,Column1,Value1,Value2,Value3,Value4,Value5
0, , 06/30/2008,06/30/2007,12/31/2007,12/31/2006,12/31/2005
1,Number of BHCs in Peer Group, 67,68,66,68,69EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 2.87,3.01,3.00,3.09,3.08
4,+ Non-interest Income,1.69,1.95,1.64,1.91,2.03
5,- Overhead Expense, 2.99,3.03,2.96,2.97,3.07
6,- Provision for Losses, 0.90,0.22,0.36,0.15,0.15
7,+ Securities Gains (Losses),0.00,0.00, -0.02, -0.01,0.01
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),0.74,1.70,1.32,1.83,1.93
10,Net Operating Income, 0.47,1.11,0.87,1.18,1.24
11,Net Income, 0.47,1.11,0.87,1.21,1.25
12,Interest Expense, 2.64,3.48,3.44,3.16,2.21
13,Net Interest Income (TE), 3.21,3.34,3.34,3.42,3.45
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.79,0.26,0.38,0.23,0.28
16,Earnings Coverage of Net Losses (X),6.30, 24.99, 13.40, 33.33, 22.73
17,Ln&Ls Allowance/Total Loans & Leases, 1.47,1.12,1.22,1.11,1.13
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,1.65,0.69,1.08,0.57,0.48
19,30-89 Days Past Due Loans and Leases, 1.09,0.75,1.03,0.81,0.69
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,42.76, 37.97, 40.36, 37.63, 37.84
22,Net ST Noncore Funding Dependence, 26.49, 24.12, 26.14, 23.42, 23.55
23,Net Loans and Leases/Total Assets, 64.38, 63.03, 63.88, 62.66, 60.09
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.58,7.63,7.44,7.79,7.44
26,Equity Capital/Total Assets,9.31,9.19,9.32,9.22,8.88
27,Net Loans&Ls/Equity Capital (X),7.32,7.10,7.17,6.97,6.97
28,Cash Dividends/Net Income, 64.04, 45.07, 50.48, 36.79, 39.81
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 0.03,6.74,3.68,8.58,8.40
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 4.32,3.68,3.73,3.12,2.55
33,Long-Term Debt/Equity Capital, 11.76, 12.89, 11.89, 11.77, 12.45
34,Equity Investment in Subs/Equity Cap, 111.29,111.98,112.63,110.24,108.78
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div,99.48,154.42,140.11,134.43,147.51
36,PERCENT OF AVERAGE ASSETS,06/30/2008,06/30/2007,12/31/2007,12/31/2006,12/31/2005
37,Interest Income (TE), 5.26,6.14,6.13,5.95,5.08
38,Less: Interest Expense, 2.36,3.13,3.08,2.85,1.98
39,Equals: Net Interest Income (TE), 2.87,3.01,3.00,3.09,3.08
40,Plus: Non-Interest Income,1.69,1.95,1.64,1.91,2.03
41,Equals: Adj Operating Income (TE),4.63,5.00,4.69,4.97,5.15
42,Less: Overhead Expense, 2.99,3.03,2.96,2.97,3.07
43,Less: Provision for Loan and Lease Losses,0.90,0.22,0.36,0.15,0.15
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.00,0.00, -0.02, -0.01,0.01
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),0.54,1.13,0.86,1.21,1.25
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 89.61, 89.93, 89.70, 90.22, 89.84
50,Avg Int-Bearing Funds / Avg Assets,77.13, 76.06, 76.48, 75.80, 74.48
51,Int Income (TE) / Avg Earning Assets, 5.88,6.81,6.82,6.60,5.66
52,Int Expense / Avg Earning Assets, 2.64,3.48,3.44,3.16,2.21
53,Interest-Bearing Bank Balances, 3.54,5.23,5.42,5.07,3.49
54,Fed Funds Sold & Reverse Repos, 2.89,5.34,5.20,5.08,3.24
55,Trading Assets, 2.89,3.60,3.45,2.87,2.44
56,Mortgage-Backed Securities, 4.88,4.91,4.89,4.71,4.31
57,Time Deposits < $100K,3.94,4.47,4.47,3.96,2.90
58,Other Domestic Deposits,1.59,2.58,2.49,2.26,1.41
59,All Interest-Bearing Funds, 3.08,4.11,4.04,3.77,2.65
60, , 06/30/2008,06/30/2007,12/31/2007,12/31/2006,12/31/2005
61,Avg Personnel Exp Per Employee ($000),40,39,75,74,73
62,Avg Assets per Employee ($000),"5,640"," 5,209"," 5,301"," 5,057"," 4,727"
63,ANALYSIS RATIOS, , , , , 
64,Personnel Expense,1.49,1.65,1.52,1.61,1.65
65,Net Occupancy Expense,0.39,0.42,0.39,0.40,0.42
66,Personnel Expense, 32.16, 32.74, 32.34, 32.03, 31.93
67,Net Occupancy Expense,8.49,8.24,8.54,8.03,8.01
68,Serv Charges on Deposit Accts - Domestic, 7.73,7.20,7.59,6.77,7.11
69,Trading Revenue,0.66,1.16,0.20,1.15,1.03
70,Investment Banking Fees & Commissions,3.28,3.14,3.28,3.04,3.71
71,Venture Capital Revenue,0.01,0.20,0.23,0.19,0.18
72,Net Servicing Fees, 1.10,0.70,0.82,0.68,1.12
73,Net Securitization Income,0.13,0.35,0.31,0.37,0.24
74,Insurance Activities Revenue, 1.06,1.26,1.21,1.24,1.49
75,"Net Gain (Loss) - Sales Loans, OREO, Oth", 0.50,1.58,1.04,1.36,1.60
76,Appl Inc Taxes/Pretax NOI (TE),28.25, 30.83, 29.08, 30.50, 31.62
77,Appl Inc Tax+TE/Pretax NOI+TE, 33.15, 34.28, 32.95, 34.13, 34.72
78,PERCENT OF TOTAL ASSETS,06/30/2008,06/30/2007,12/31/2007,12/31/2006,12/31/2005
79,Real Estate Loans, 41.21, 40.21, 40.85, 39.85, 37.12
80,Commercial and Industrial Loans, 13.17, 12.51, 12.81, 11.89, 11.36
81,Loans to Individuals, 5.17,5.33,5.33,5.36,5.62
82,Loans to Depository Institutions, 0.12,0.09,0.09,0.11,0.11
83,Agricultural Loans, 0.20,0.22,0.21,0.21,0.20
84,Other Loans and Leases, 3.31,3.08,3.26,3.17,3.45
85, Net Loans and Leases, 64.38, 63.03, 63.88, 62.66, 60.09
86,Debt Securities Over 1 Year, 12.85, 13.12, 13.06, 13.87, 17.30
87,Mutual Funds and Equity Securities, 0.21,0.21,0.24,0.26,0.24
88, Subtotal, 78.11, 77.39, 78.03, 77.54, 79.60
89,Interest-Bearing Bank Balances, 0.70,0.64,0.50,0.55,0.69
90,Federal Funds Sold & Reverse Repos, 1.79,3.23,2.24,2.68,2.18
91,Debt Securities 1 Year or Less, 3.03,2.85,3.08,3.12,1.65
92,Trading Assets, 1.33,1.43,1.34,1.15,1.51
93, Total Earning Assets, 87.20, 87.95, 87.60, 88.10, 87.92
94,Non-Int Cash and Due From Dep Inst, 2.14,2.13,2.28,2.38,2.74
95,Other Real Estate Owned,0.16,0.07,0.10,0.06,0.04
96,U.S. Treasury Securities, 0.12,0.17,0.14,0.32,0.46
97,U.S. Agency Securities (excl MBS),1.97,2.95,2.38,3.46,3.19
98,Municipal Securities, 1.10,1.12,1.13,1.07,0.89
99,Mortgage-Backed Securities,10.33,9.62,9.64,9.68, 11.62
100,Asset-Backed Securities,0.37,0.21,0.35,0.22,0.25
101,Other Debt Securities,0.67,0.57,0.75,0.60,0.74
102,RE Loans Secured by 1-4 Family,16.36, 16.48, 16.28, 16.64, 17.72
103,Revolving,3.88,3.76,3.71,3.86,4.51
104,"Closed-End, Sec by First Liens",10.46, 10.67, 10.54, 10.76, 11.62
105,"Closed-End, Sec by Junior Liens",1.67,1.76,1.76,1.67,1.38
106,Commercial Real Estate Loans,22.43, 21.41, 22.22, 20.91, 17.20
107,Construction and Land Dev,7.85,7.80,8.03,7.45,5.51
108,Multifamily,1.48,1.35,1.35,1.55,1.22
109,Nonfarm Nonresidential,12.20, 11.35, 11.85, 11.02,9.86
110,RE Loans Secured by Farmland, 0.27,0.27,0.27,0.23,0.21
111,"LOAN MIX, % OF GROSS LOANS & LEASES:", , , , , 
112,Real Estate Loans, 61.72, 61.70, 61.95, 61.98, 60.26
113,RE Loans Secured by 1-4 Family,25.10, 26.26, 25.69, 26.62, 29.55
114,Revolving,5.82,5.68,5.63,5.88,7.07
115,Closed-End,18.75, 20.13, 19.66, 20.25, 21.93
116,Commercial Real Estate Loans,33.07, 32.13, 33.36, 31.92, 27.42
117,Construction and Land Dev, 11.46, 11.61, 11.89, 11.10,8.61
118,Multifamily,2.21,2.08,2.04,2.44,2.00
119,Nonfarm Nonresidential,17.89, 17.03, 17.80, 16.60, 15.76
120,RE Loans Secured by Farmland, 0.39,0.40,0.40,0.34,0.31
121,Loans to Depository Institutions, 0.25,0.20,0.20,0.18,0.21
122,Commercial and Industrial Loans, 20.22, 19.70, 19.92, 18.82, 18.75
123,Loans to Individuals, 8.11,8.46,8.38,8.68,9.50
124,Credit Card Loans,1.17,1.19,1.26,1.18,1.33
125,Agricultural Loans, 0.30,0.34,0.31,0.33,0.32
126,Loans to Foreign Govts and Inst,0.00,0.00,0.00,0.01,0.01
127,Other Loans and Leases, 5.54,5.73,5.47,6.21,7.24
128,PERCENT OF TOTAL ASSETS,06/30/2008,06/30/2007,12/31/2007,12/31/2006,12/31/2005
129,Short-Term Investments, 6.54,7.83,6.88,8.04,5.73
130,Liquid Assets, 19.31, 21.47, 19.70, 22.47, 23.89
131,Investment Securities, 16.82, 16.89, 16.99, 18.55, 20.03
132,Net Loans and Leases,64.38, 63.03, 63.88, 62.66, 60.09
133,"Net Lns, Ls & Stdby Ltrs of Credit",67.44, 66.19, 66.91, 65.82, 63.42
134,Core Deposits, 44.94, 48.48, 46.94, 48.23, 49.27
135,Noncore Funding, 39.32, 35.76, 37.39, 36.10, 34.96
136,Time Deposits of $100K or More, 9.60, 10.58, 10.08, 11.73,9.25
137,Foreign Deposits, 2.72,2.82,3.12,2.70,2.55
138,Fed Funds Purchased and Repos,6.92,7.13,7.29,7.72,8.72
139,Net Fed Funds Purchased (Sold), 4.95,3.90,4.95,4.92,5.91
140,Int-Bearing Liab Repr in 1 Year, 21.98, 22.42, 22.78, 22.38, 17.46
141,Long-Term Debt Repr in 1 Year,2.28,2.36,2.17,2.14,2.13
142,Net ST Noncore Funding Dependence, 26.49, 24.12, 26.14, 23.42, 23.55
143,Short-Term Inv/ST Noncore Funding, 23.10, 27.64, 24.90, 26.53, 23.69
144,Liq Asts-ST Noncore Fndg/Nonliq Asts,-8.89, -5.16, -7.99, -3.25,1.72
145,Net Loans and Leases/Total Deposits,104.85, 98.36,101.89, 97.38, 97.41
146,Net Loans and Leases/Core Deposits, 159.43,153.08,150.98,156.68,146.04
147,Held-To-Mat Sec Appr(Depr)/T1 Cap, -0.33, -0.77, -0.09, -0.59, -0.70
148,Avail-For-Sale Sec Appr(Depr)/T1 Cap,-4.96, -3.27, -1.37, -1.93, -3.11
149,Available-For-Sale Securities, 95.67, 92.93, 93.93, 92.47, 91.79
150,U.S. Treasury Securities, 1.00,1.37,1.15,2.12,2.93
151,U.S. Agency Securities (excl MBS), 11.48, 16.46, 14.07, 17.97, 15.52
152,Municipal Securities, 6.70,6.66,6.71,5.90,4.29
153,Mortgage-Backed Securities,63.85, 61.53, 60.61, 59.23, 60.53
154,Asset-Backed Securities,2.93,1.52,2.79,1.59,1.64
155,Other Debt Securities,4.85,4.03,5.41,3.89,4.62
156,Debt Securities Over 5 Years,59.73, 60.00, 58.04, 56.17, 62.90
157,Pledged Securities,67.38, 61.69, 63.64, 61.87, 59.46
158,"Structured Notes, Fair Value", 0.29,0.21,0.32,0.20,0.27
