,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
2, Number of BHCs in Peer Group, 90,90,90,70,70
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.88,2.84,2.90,3.04,3.04
6, + Non-interest Income,1.51,1.74,1.88,1.61,1.89
7, - Overhead Expense, 2.93,3.15,3.34,3.16,3.19
8, - Provision for Losses, 0.14,0.19,0.33,0.49,1.10
9, + Securities Gains (Losses),0.02,0.02,0.04,0.05,0.06
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.42,1.40,1.28,1.12,0.77
12, Net Operating Income, 0.96,0.94,0.88,0.72,0.51
13, Net Income, 0.96,0.94,0.87,0.72,0.51
14, Net Income (Sub S Adjusted), N/A, N/A,0.17, N/A, N/A
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 3.71,3.82,4.08,4.32,4.54
17, Interest Expense, 0.49,0.60,0.74,0.88,1.07
18, Net Interest Income (TE), 3.18,3.17,3.28,3.37,3.39
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.30,0.44,0.74,1.17,2.04
21, Earnings Coverage of Net Losses (X), 32.62, 19.55,8.80,3.51,2.53
22, Ln&Ls Allowance/Total Loans & Leases, 1.23,1.40,1.61,2.11,2.63
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,1.09,1.40,1.94,2.74,3.75
24, 30-89 Days Past Due Loans and Leases, 0.60,0.68,0.87,0.96,1.20
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,17.28, 17.98, 19.34, 20.15, 25.33
27, Net ST Noncore Funding Dependence,4.06,3.61,3.44,4.17,6.24
28, Net Loans and Leases/Total Assets, 61.49, 60.31, 57.97, 57.65, 57.51
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.82,9.63,9.38,9.27,9.03
31, Equity Capital/Total Assets, 11.73, 11.59, 11.30, 10.91, 10.66
32, Equity Capital+Minority Int/Total Assets,11.90, 11.78, 11.59, 11.12, 10.81
33, Tier 1 Common Eq Cap / T RWA,11.97, 11.79, 11.43, 11.32, 10.46
34, Net Loans&Ls/Equity Capital (X),5.27,5.30,5.20,5.26,5.41
35, Cash Dividends/Net Income, 28.01, 27.33, 25.15, 24.90, 35.74
