,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
2, Number of BHCs in Peer Group, 90,90,70,70,73
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.84,2.90,3.04,3.04,2.85
6, + Non-interest Income,1.74,1.88,1.61,1.89,1.92
7, - Overhead Expense, 3.15,3.34,3.16,3.19,3.28
8, - Provision for Losses, 0.19,0.33,0.49,1.10,1.96
9, + Securities Gains (Losses),0.02,0.04,0.05,0.06,0.02
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.40,1.28,1.12,0.77, -0.39
12, Net Operating Income, 0.94,0.88,0.72,0.51, -0.40
13, Net Income, 0.94,0.87,0.72,0.51, -0.38
14, Net Income (Sub S Adjusted), N/A,0.17, N/A, N/A, N/A
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 3.82,4.08,4.32,4.54,4.70
17, Interest Expense, 0.59,0.74,0.88,1.07,1.52
18, Net Interest Income (TE), 3.17,3.28,3.37,3.39,3.16
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.45,0.74,1.17,2.04,2.33
21, Earnings Coverage of Net Losses (X), 19.61,8.80,3.51,2.53,1.67
22, Ln&Ls Allowance/Total Loans & Leases, 1.41,1.61,2.11,2.63,2.80
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,1.42,1.95,2.74,3.75,4.24
24, 30-89 Days Past Due Loans and Leases, 0.68,0.87,0.96,1.20,1.51
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,17.84, 19.34, 20.15, 25.33, 30.25
27, Net ST Noncore Funding Dependence,3.71,3.44,4.17,6.24, 10.25
28, Net Loans and Leases/Total Assets, 60.15, 57.97, 57.65, 57.51, 59.71
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.64,9.37,9.26,9.03,8.69
31, Equity Capital/Total Assets, 11.58, 11.30, 10.91, 10.66, 10.01
32, Equity Capital+Minority Int/Total Assets,11.78, 11.59, 11.12, 10.81, 10.22
33, Tier 1 Common Eq Cap / T RWA,11.79, 11.43, 11.32, 10.46,8.36
34, Net Loans&Ls/Equity Capital (X),5.30,5.20,5.26,5.41,6.29
35, Cash Dividends/Net Income, 27.33, 25.15, 24.90, 35.74, 59.69
36, Cash Dividends/Net Income (Sub S Adjusted),N/A,-19.73, N/A, N/A, N/A
37, Retained Earnings/Avg Equity Cap, 5.83,5.49,4.71,3.00, -7.11
38, PARENT COMPANY RATIOS: , , , , , 
39,Short-Term Debt/Equity Capital, 2.95,2.47,3.85,2.78,3.30
40, Long-Term Debt/Equity Capital, 12.70, 13.81, 14.07, 16.28, 15.74
41, Equity Investment in Subs/Equity Cap, 104.36,106.52,107.31,108.44,108.82
42, Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 166.30,160.13,126.35,115.83, 99.52
43, , , , , , 
44, 2 , , , , , 
45,PERCENT OF AVERAGE ASSETS,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
46, Interest Income (TE), 3.41,3.59,3.90,4.07,4.26
47, Less: Interest Expense, 0.53,0.65,0.80,0.96,1.38
48, Equals: Net Interest Income (TE), 2.84,2.90,3.04,3.04,2.85
49, Plus: Non-Interest Income,1.74,1.88,1.61,1.89,1.92
50, Equals: Adj Operating Income (TE),4.73,4.89,4.66,4.92,4.75
51, Less: Overhead Expense, 3.15,3.34,3.16,3.19,3.28
52, Less: Provision for Loan and Lease Losses,0.19,0.33,0.49,1.10,1.96
53, Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
54, Plus: Realized G/L on AFS Sec,0.02,0.04,0.05,0.06,0.03
55, Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
56, Equals: Pretax Net Oper Inc (TE), 1.40,1.28,1.12,0.77, -0.39
57,Less: Applicable Income Taxes (TE), 0.44,0.42,0.39,0.29,0.03
58, Less: Minority Interest,0.00,0.01,0.01,0.00,0.00
59, Equals: Net Operating Income, 0.94,0.88,0.72,0.51, -0.40
60,Plus: Net Extraordinary Items,0.00,0.00,0.00,0.00,0.00
61, Equals: Net Income, 0.94,0.87,0.72,0.51, -0.38
62, Memo: Net Income (Last Four Qtrs),0.94,0.86,0.72,0.52, -0.38
63, MARGIN ANALYSIS: , , , , , 
64,Avg Earning Assets / Avg Assets, 90.56, 89.84, 90.30, 89.93, 90.59
65, Avg Int-Bearing Funds / Avg Assets,68.30, 68.66, 70.87, 72.85, 75.28
