,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 06/30/2015,06/30/2014,12/31/2014,12/31/2013,12/31/2012
2, Number of BHCs in Peer Group, 95,90,90,90,90
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.83,2.89,2.88,2.84,2.90
6, + Non-interest Income,1.46,1.52,1.51,1.74,1.88
7, - Overhead Expense, 2.83,2.93,2.93,3.15,3.34
8, - Provision for Losses, 0.14,0.14,0.14,0.19,0.33
9, + Securities Gains (Losses),0.02,0.02,0.02,0.02,0.04
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.37,1.42,1.42,1.40,1.28
12, Net Operating Income, 0.92,0.93,0.96,0.94,0.88
13, Net Income, 0.92,0.93,0.96,0.94,0.87
14, Net Income (Sub S Adjusted),1.58, N/A, N/A, N/A,0.17
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 3.60,3.74,3.71,3.82,4.08
17, Interest Expense, 0.45,0.49,0.49,0.60,0.74
18, Net Interest Income (TE), 3.12,3.20,3.18,3.17,3.28
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.25,0.30,0.30,0.44,0.74
21, Earnings Coverage of Net Losses (X), 17.40, 25.04, 32.43, 19.55,8.80
22, Ln&Ls Allowance/Total Loans & Leases, 1.17,1.30,1.23,1.40,1.61
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,1.07,1.25,1.09,1.40,1.94
24, 30-89 Days Past Due Loans and Leases, 0.52,0.59,0.60,0.68,0.87
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,16.90, 18.48, 17.28, 17.98, 19.34
27, Net ST Noncore Funding Dependence,4.57,4.92,4.06,3.61,3.44
28, Net Loans and Leases/Total Assets, 62.81, 61.26, 61.49, 60.31, 57.97
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.86,9.89,9.82,9.63,9.38
31, Equity Capital/Total Assets, 11.65, 11.81, 11.73, 11.61, 11.30
32, Equity Capital+Minority Int/Total Assets,11.87, 12.01, 11.90, 11.78, 11.59
33, Tier 1 Common Eq Cap / T RWA,12.14, 12.12, 11.97, 11.79, 11.43
34, Net Loans&Ls/Equity Capital (X),5.41,5.19,5.27,5.28,5.20
35, Cash Dividends/Net Income, 30.93, 26.72, 28.01, 27.33, 25.15
36, Cash Dividends/Net Income (Sub S Adjusted),13.34, N/A, N/A, N/A,-19.73
37, Retained Earnings/Avg Equity Cap, 5.34,5.70,5.63,5.83,5.49
38, PARENT COMPANY RATIOS: , , , , , 
39,Short-Term Debt/Equity Capital, 1.86,2.09,2.43,2.95,2.47
40, Long-Term Debt/Equity Capital, 10.30, 11.00, 10.76, 12.70, 13.81
41, Equity Investment in Subs/Equity Cap, 102.14,102.71,102.66,104.36,106.52
42, Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 150.17,143.85,149.64,169.33,160.13
43, , , , , , 
44, 2 , , , , , 
45,PERCENT OF AVERAGE ASSETS,06/30/2015,06/30/2014,12/31/2014,12/31/2013,12/31/2012
46, Interest Income (TE), 3.26,3.38,3.35,3.41,3.59
47, Less: Interest Expense, 0.41,0.44,0.44,0.53,0.65
48, Equals: Net Interest Income (TE), 2.83,2.89,2.88,2.84,2.90
49, Plus: Non-Interest Income,1.46,1.52,1.51,1.74,1.88
50, Equals: Adj Operating Income (TE),4.37,4.53,4.51,4.73,4.89
51, Less: Overhead Expense, 2.83,2.93,2.93,3.15,3.34
52, Less: Provision for Loan and Lease Losses,0.14,0.14,0.14,0.19,0.33
53, Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
54, Plus: Realized G/L on AFS Sec,0.02,0.02,0.02,0.02,0.04
55, Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
56, Equals: Pretax Net Oper Inc (TE), 1.37,1.42,1.42,1.40,1.28
57,Less: Applicable Income Taxes (TE), 0.46,0.48,0.47,0.44,0.42
58, Less: Minority Interest,0.00,0.00,0.00,0.00,0.01
59, Equals: Net Operating Income, 0.92,0.93,0.96,0.94,0.88
60,Plus: Net Extraordinary Items,0.00,0.00,0.00,0.00,0.00
61, Equals: Net Income, 0.92,0.93,0.96,0.94,0.87
62, Memo: Net Income (Last Four Qtrs),0.95,0.92,0.96,0.94,0.86
63, MARGIN ANALYSIS: , , , , , 
64,Avg Earning Assets / Avg Assets, 91.38, 91.05, 91.14, 90.56, 89.86
65, Avg Int-Bearing Funds / Avg Assets,67.42, 67.36, 67.00, 68.40, 68.67
66, Int Income (TE) / Avg Earning Assets, 3.60,3.74,3.71,3.82,4.08
67, Int Expense / Avg Earning Assets, 0.45,0.49,0.49,0.60,0.74
68, Net Int Inc (TE) / Avg Earn Assets, 3.12,3.20,3.18,3.17,3.28
69,YIELD OR COST: , , , , , 
70,Total Loans and Leases (TE),4.30,4.54,4.50,4.72,5.06
71, Interest-Bearing Bank Balances, 0.27,0.28,0.28,0.32,0.31
72, Fed Funds Sold & Reverse Repos, 0.49,0.41,0.43,0.39,0.40
73, Trading Assets, 1.00,1.23,1.04,1.19,1.25
74, Total Earning Assets, 3.53,3.68,3.65,3.77,4.03
75,Investment Securities (TE), 2.34,2.43,2.41,2.39,2.65
76, U.S. Treasury & Agency Sec (excl MBS),1.42,1.29,1.29,1.23,1.49
77, Mortgage-Backed Securities, 2.22,2.36,2.33,2.32,2.70
78, All Other Securities, 3.92,4.06,4.09,4.15,4.25
79,Interest-Bearing Deposits,0.35,0.35,0.35,0.42,0.53
80, Time Deposits of $100K or More, 0.81,0.81,0.82,0.95,1.12
81, Time Deposits < $100K,0.75,0.82,0.82,0.96,1.23
82, Other Domestic Deposits,0.23,0.21,0.21,0.24,0.28
83, Foreign Deposits, 0.25,0.29,0.28,0.37,0.46
84,Fed Funds Purchased and Repos,0.53,0.55,0.57,0.72,0.91
85, Other Borrowed Funds & Trading Liab,1.59,1.77,1.64,1.97,2.36
86, All Interest-Bearing Funds, 0.60,0.59,0.59,0.69,0.85
87, , , , , , 
88, 3 , , , , , 
89, , 06/30/2015,06/30/2014,12/31/2014,12/31/2013,12/31/2012
90, Avg Personnel Exp Per Employee ($000),52,49,99,98,97
91, Avg Assets per Employee ($000),"7,926"," 7,509"," 7,662"," 7,293"," 7,079"
92, ANALYSIS RATIOS , , , , , 
93,Mutual Fund Fee Inc / Non-Int Income, 3.30,3.14,3.11,2.95,2.84
94,Overhead Exp / NII + Non-Int Income, 65.81, 66.22, 66.42, 67.51, 69.11
95,PERCENT OF AVERAGE ASSETS: , , , , , 
96,Total Overhead Expense, 2.83,2.93,2.93,3.15,3.34
97, Personnel Expense,1.43,1.45,1.43,1.48,1.49
98, Net Occupancy Expense,0.32,0.33,0.33,0.34,0.34
99, Other Operating Expenses, 1.04,1.12,1.16,1.32,1.50
100,Overhead Less Non-Interest Income,1.33,1.32,1.35,1.32,1.37
101,PERCENT OF ADJUSTED OPERATING INCOME (TE): , , , , , 
102,Total Overhead Expense,64.98, 65.34, 65.64, 66.79, 68.50
103, Personnel Expense, 33.86, 32.66, 32.38, 31.92, 31.26
104, Net Occupancy Expense,7.58,7.67,7.59,7.52,7.36
105, Other Operating Expenses,23.35, 24.28, 24.99, 26.47, 29.46
106,Total Non-Interest Income, 32.20, 32.89, 32.70, 35.17, 36.31
107, Fiduciary Activities Income,2.69,2.71,2.67,2.42,2.18
108, Serv Charges on Deposit Accts - Domestic, 4.64,4.75,4.81,4.76,4.61
109, Trading Revenue,1.07,1.27,1.19,1.07,1.43
110, Investment Banking Fees & Commissions,2.77,2.67,2.67,2.55,2.81
111, Venture Capital Revenue,0.03,0.07,0.08,0.06,0.11
112, Net Servicing Fees, 0.77,0.57,0.56,1.02,0.60
113, Net Securitization Income,0.01,0.00,0.02,0.01,0.01
114, Insurance Activities Revenue, 0.80,0.83,0.79,0.96,1.11
115," Net Gain (Loss) - Sales Loans, OREO, Oth", 1.87,1.42,1.44,2.03,1.94
116, Other Non-Interest Income, 10.70, 10.28, 10.43, 11.41, 12.15
117,Overhead Less Non-Interest Income, 32.30, 32.16, 32.50, 31.19, 31.82
118, TAX RATIOS: , , , , , 
119,Appl Inc Taxes/Pretax NOI (TE),29.67, 29.36, 29.17, 28.74, 27.20
120, Appl Inc Tax+TE/Pretax NOI+TE, 33.80, 33.08, 33.08, 32.22, 30.97
121, , , , , , 
122, 4 , , , , , 
123,PERCENT OF TOTAL ASSETS,06/30/2015,06/30/2014,12/31/2014,12/31/2013,12/31/2012
124, Real Estate Loans, 34.50, 33.57, 33.06, 32.61, 32.01
125, Commercial and Industrial Loans, 13.83, 13.30, 13.64, 12.49, 11.64
126, Loans to Individuals, 4.61,4.99,5.05,5.25,4.94
127, Loans to Depository Institutions, 0.09,0.12,0.11,0.12,0.10
128, Agricultural Loans, 0.17,0.13,0.13,0.14,0.12
129, Other Loans and Leases, 5.07,4.51,4.82,4.53,4.16
130,Net Loans and Leases, 62.81, 61.26, 61.49, 60.31, 57.97
131, Debt Securities Over 1 Year, 15.57, 15.33, 15.72, 15.65, 15.91
132, Mutual Funds and Equity Securities, 0.09,0.13,0.10,0.13,0.12
133,Subtotal, 79.83, 78.36, 78.79, 77.00, 74.97
134, Interest-Bearing Bank Balances, 4.18,4.00,4.63,4.42,4.19
135, Federal Funds Sold & Reverse Repos, 0.68,0.68,0.68,0.85,1.13
136, Debt Securities 1 Year or Less, 2.04,2.25,2.08,2.67,3.05
137, Trading Assets, 0.66,0.82,0.77,0.80,0.98
138,Total Earning Assets, 89.73, 89.10, 89.59, 88.94, 87.84
139, Non-Int Cash and Due From Dep Inst, 1.20,1.52,1.24,1.38,1.53
140, Other Real Estate Owned,0.13,0.16,0.14,0.17,0.22
141, All Other Assets, 8.98,9.25,9.09,9.58, 10.45
142,MEMORANDA: , , , , , 
143,Short-Term Investments, 7.93,7.97,8.39,8.97,9.34
144, U.S. Treasury Securities, 0.97,0.75,1.06,0.54,0.56
145, U.S. Agency Securities (excl MBS),1.22,1.38,1.19,1.36,1.39
146, Municipal Securities, 1.32,1.23,1.31,1.14,1.13
147, Mortgage-Backed Securities,11.60, 11.69, 11.49, 11.94, 11.90
148, Asset-Backed Securities,0.38,0.43,0.43,0.59,0.65
149, Other Debt Securities,0.50,0.54,0.53,0.86,1.01
150, RE Loans Secured by 1-4 Family,15.46, 15.44, 15.21, 15.39, 16.04
151, Revolving,2.96,3.19,3.14,3.24,3.38
152," Closed-End, Sec by First Liens",11.60, 11.21, 11.10, 11.09, 11.60
153," Closed-End, Sec by Junior Liens",0.45,0.51,0.47,0.51,0.57
154, Commercial Real Estate Loans,17.00, 16.14, 15.88, 15.02, 13.72
155, Construction and Land Dev,2.27,2.01,2.01,1.69,1.62
156, Multifamily,2.28,2.12,2.13,1.99,1.65
157, Nonfarm Nonresidential,11.53, 11.02, 10.77, 10.63, 10.10
158, RE Loans Secured by Farmland, 0.28,0.24,0.22,0.24,0.22
159," LOAN MIX, % OF GROSS LOANS & LEASES: ", , , , , 
160,Real Estate Loans, 54.06, 53.96, 52.96, 54.24, 55.30
161, RE Loans Secured by 1-4 Family,24.76, 25.76, 25.22, 26.11, 27.79
162, Revolving,4.74,5.30,5.22,5.53,5.91
163, Closed-End,19.60, 19.88, 19.49, 20.02, 21.35
164, Commercial Real Estate Loans,25.91, 24.94, 24.50, 24.12, 23.25
165, Construction and Land Dev,3.55,3.22,3.20,2.71,2.76
166, Multifamily,3.45,3.26,3.27,3.29,2.89
167, Nonfarm Nonresidential,17.59, 17.05, 16.66, 17.07, 17.10
168, RE Loans Secured by Farmland, 0.48,0.41,0.37,0.41,0.39
169, Loans to Depository Institutions, 0.19,0.25,0.22,0.24,0.20
170, Commercial and Industrial Loans, 22.49, 21.96, 22.49, 20.62, 19.63
171, Loans to Individuals, 7.55,8.36,8.43,9.00,8.69
172, Credit Card Loans,1.19,1.73,1.78,2.51,2.44
173, Agricultural Loans, 0.29,0.22,0.23,0.24,0.23
174, Loans to Foreign Govts and Inst,0.01,0.01,0.01,0.02,0.00
175, Other Loans and Leases, 9.48,8.64,9.20,9.06,8.90
176, , , , , , 
177, 5 , , , , , 
178,PERCENT OF TOTAL ASSETS,06/30/2015,06/30/2014,12/31/2014,12/31/2013,12/31/2012
179, Short-Term Investments, 7.93,7.97,8.39,8.97,9.34
180, Liquid Assets, 23.81, 24.31, 24.24, 24.41, 24.99
181, Investment Securities, 18.33, 18.40, 18.50, 19.23, 20.19
182, Net Loans and Leases,62.81, 61.26, 61.49, 60.31, 57.97
183," Net Lns, Ls & Stdby Ltrs of Credit",64.40, 63.34, 63.49, 62.47, 60.13
184, Core Deposits, 61.01, 59.48, 59.99, 58.41, 55.65
185, Noncore Funding, 22.75, 23.57, 22.93, 23.92, 24.84
186, Time Deposits of $100K or More, 5.66,5.91,5.84,5.43,5.83
187, Foreign Deposits, 0.68,0.86,0.84,1.00,1.00
188, Fed Funds Purchased and Repos,2.27,2.71,2.40,2.56,2.65
189, Net Fed Funds Purchased (Sold), 1.35,1.81,1.51,1.55,1.51
190, Commercial Paper, 0.05,0.12,0.08,0.14,0.14
191,Oth Borrowings W/Rem Mat 1 Yr or Less,3.20,2.65,3.23,3.17,2.54
192, Earning Assets Repr in 1 Year, 39.49, 38.97, 39.53, 39.85, 39.71
193, Int-Bearing Liab Repr in 1 Year,9.56, 11.33, 10.44, 11.10, 12.42
194, Long-Term Debt Repr in 1 Year,1.39,1.29,1.23,1.26,1.31
195, Net Assets Repriceable in 1 Year,27.10, 25.16, 26.63, 25.23, 23.76
196,OTHER LIQUIDITY AND FUNDING RATIOS: , , , , , 
197,Net Noncore Funding Dependence,16.90, 18.48, 17.28, 17.98, 19.34
