,Column1,Value1,Value2,Value3,Value4,Value5
0,+ Non-interest Income,2.30,2.41,2.30,2.47,2.44
1,- Overhead Expense, 3.38,3.49,3.57,3.56,3.57
2,- Provision for Losses, 0.40,0.36,0.43,0.32,0.27
3,+ Securities Gains (Losses),0.04,0.08,0.06, -0.01,0.03
4,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
5,= Pretax Net Oper Income (TE),2.10,1.90,1.71,1.97,2.13
6,Net Operating Income, 1.33,1.18,1.06,1.22,1.33
7,Net Income, 1.32,1.17,1.02,1.22,1.33
8,Interest Expense, 2.20,4.23,3.42,4.49,3.76
9,Net Interest Income (TE), 3.93,3.68,3.75,3.81,3.89
10,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
11,Net Ln&Ls Losses/Avg Loans & Leases,0.58,0.47,0.58,0.43,0.40
12,Earnings Coverage of Net Losses (X), 10.82,9.67,9.73, 10.83, 11.74
13,Ln&Ls Allowance/Total Loans & Leases, 1.58,1.45,1.50,1.44,1.44
14,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.98,0.80,0.93,0.76,0.61
15,Net Loans and Leases/Total Assets, 60.39, 63.01, 59.34, 63.60, 61.78
16,CAPITALIZATION:, , , , , 
17,Tier 1 Leverage Ratio,7.51,7.31,7.36,7.37,7.09
18,Equity Capital/Total Assets,8.53,8.20,8.33,8.09,7.58
19,Net Loans&Ls/Equity Capital (X),7.20,7.67,7.26,7.79,7.93
20,Cash Dividends/Net Income, 27.51, 39.59, 39.37, 40.82, 35.55
21,Cash Dividends/Net Income (Sub S Adjusted), NA,NA,NA,NA,NA
22,Long-Term Debt/Equity Capital, 12.61, 13.97, 12.83, 13.78, 15.63
23,Equity Investment in Subs/Equity Cap, 109.98,110.21,109.12,109.76,110.30
24,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 146.83,128.99,168.45,150.79,145.12
25,Interest Income (TE), 5.48,7.17,6.47,7.44,6.88
26,Less: Interest Expense, 1.97,3.82,3.08,4.02,3.36
27,Equals: Net Interest Income (TE), 3.51,3.33,3.38,3.42,3.49
28,Less: Provision for Loan and Lease Losses,0.40,0.36,0.43,0.32,0.27
29,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
30,Plus: Realized G/L on AFS Sec,0.04,0.08,0.06, -0.01,0.03
31,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
32,Memo: Net Income (Last Four Qtrs),1.07,1.20,1.02,1.23,1.37
33,MARGIN ANALYSIS:, , , , , 
34,Avg Earning Assets / Avg Assets, 89.61, 90.45, 90.08, 89.89, 89.41
35,Avg Int-Bearing Funds / Avg Assets,75.68, 75.75, 75.16, 75.64, 74.94
36,Int Income (TE) / Avg Earning Assets, 6.13,7.93,7.20,8.31,7.69
37,Int Expense / Avg Earning Assets, 2.20,4.23,3.42,4.49,3.76
38,Trading Assets, 2.31,4.70,3.96,4.73,4.59
39,Mortgage-Backed Securities, 4.16,4.83,4.59,NA,NA
40,Time Deposits < $100K,3.78,5.87,5.28,5.71,4.97
41,Other Domestic Deposits,1.30,3.08,2.30,3.16,2.66
42,All Interest-Bearing Funds, 2.59,5.10,4.15,5.38,4.49
43, , MAR 2002,MAR 2001, 2001,2000,1999
44,Avg Personnel Exp Per Employee ($000),15,15,59,58,53
45,Avg Assets per Employee ($000),"3,696"," 3,547"," 3,524"," 3,430"," 3,090"
46,Personnel Expense,1.77,1.78,1.78,1.77,1.77
47,Net Occupancy Expense,0.47,0.48,0.48,0.49,0.49
48,Personnel Expense, 30.74, 31.59, 31.09, 30.14, 29.57
49,Net Occupancy Expense,8.28,8.57,8.67,8.43,8.22
50,Serv Charges on Deposit Accts - Domestic, 8.04,7.99,7.91,7.47,6.92
51,Trading Revenue,1.45,3.15,2.16,NA,NA
52,Net Securitization Income,0.28,0.54,0.54,NA,NA
53,Insurance Comm & Fees (Incl Premiums),1.08,0.94,1.03,NA,NA
54,"Net Gain (Loss) - Sales Loans, OREO, Oth", 1.28,1.05,1.23,NA,NA
55,Appl Inc Taxes/Pretax NOI (TE),32.39, 33.12, 33.22, 33.08, 33.73
56,Appl Inc Tax+TE/Pretax NOI+TE, 35.34, 36.75, 37.15, 36.38, 36.48
57,PERCENT OF TOTAL ASSETS, MAR 2002,MAR 2001, 2001,2000,1999-----------------------
58,Real Estate Loans, 33.19, 32.37, 32.45, 32.15, 30.38
59,Commercial and Industrial Loans, 13.57, 15.81, 12.91, 16.06, 15.76
60,Other Loans and Leases, 4.89,5.36,5.11,5.54,5.18
61, Net Loans and Leases, 60.39, 63.01, 59.34, 63.60, 61.78
62,Debt Securities Over 1 Year, 17.08, 14.49, 16.22, 14.31, 15.42
63,Mutual Funds and Equity Securities, 0.47,0.43,0.49,1.08,1.08
