,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 09/30/2012,09/30/2011,12/31/2011,12/31/2010,12/31/2009
2, Number of BHCs in Peer Group, 90,69,70,70,73
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.93,3.04,3.04,3.04,2.85
6, + Non-interest Income,1.74,1.67,1.61,1.89,1.92
7, - Overhead Expense, 3.22,3.16,3.16,3.19,3.28
8, - Provision for Losses, 0.32,0.50,0.49,1.10,1.96
9, + Securities Gains (Losses),0.04,0.06,0.05,0.06,0.02
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.28,1.18,1.12,0.77, -0.39
12, Net Operating Income, 0.85,0.76,0.72,0.51, -0.40
13, Net Income, 0.85,0.76,0.72,0.51, -0.38
14, Net Income (Sub S Adjusted),0.11, N/A, N/A, N/A, N/A
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 4.15,4.34,4.32,4.54,4.70
17, Interest Expense, 0.75,0.90,0.88,1.07,1.52
18, Net Interest Income (TE), 3.33,3.37,3.37,3.39,3.16
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.76,1.22,1.17,2.04,2.33
21, Earnings Coverage of Net Losses (X),7.83,3.74,3.51,2.53,1.67
22, Ln&Ls Allowance/Total Loans & Leases, 1.67,2.23,2.11,2.63,2.80
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,2.17,2.93,2.74,3.75,4.24
24, 30-89 Days Past Due Loans and Leases, 0.86,0.97,0.96,1.20,1.51
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,19.78, 20.37, 20.15, 25.33, 30.25
27, Net ST Noncore Funding Dependence,3.24,2.12,4.17,6.24, 10.25
28, Net Loans and Leases/Total Assets, 57.47, 56.77, 57.64, 57.51, 59.71
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.55,9.20,9.26,9.03,8.69
31, Equity Capital/Total Assets, 11.30, 10.80, 10.91, 10.66, 10.01
32, Equity Capital+Minority Int/Total Assets,11.60, 11.02, 11.12, 10.80, 10.22
