,Column1,Value1,Value2,Value3,Value4,Value5
0, , 03/31/2007,03/31/2006,12/31/2006,12/31/2005,12/31/2004
1,Number of BHCs in Peer Group, 67,66,68,69,66EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 2.99,3.09,3.09,3.08,3.16
4,+ Non-interest Income,1.91,2.00,1.91,2.04,2.13
5,- Overhead Expense, 3.01,3.04,2.97,3.06,3.24
6,- Provision for Losses, 0.17,0.13,0.15,0.15,0.18
7,+ Securities Gains (Losses),0.02,0.00, -0.01,0.01,0.03
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.71,1.87,1.83,1.93,1.94
10,Net Operating Income, 1.11,1.20,1.18,1.25,1.26
11,Net Income, 1.11,1.23,1.21,1.26,1.28
12,Interest Expense, 3.43,2.76,3.16,2.21,1.48
13,Net Interest Income (TE), 3.33,3.45,3.42,3.44,3.54
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.24,0.21,0.23,0.28,0.35
16,Earnings Coverage of Net Losses (X), 15.68, 21.81, 33.33, 22.75, 18.87
17,Ln&Ls Allowance/Total Loans & Leases, 1.11,1.13,1.11,1.13,1.28
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.60,0.51,0.57,0.48,0.58
19,30-89 Days Past Due Loans and Leases, 0.75,0.64,0.81,0.69,0.64
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,37.73, 36.73, 37.53, 37.84, 35.51
22,Net ST Noncore Funding Dependence, 23.63, 23.05, 23.42, 23.54, 19.41
23,Net Loans and Leases/Total Assets, 63.18, 62.05, 62.64, 60.09, 59.70
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.67,7.52,7.89,7.44,7.57
26,Equity Capital/Total Assets,9.25,8.98,9.22,8.88,9.05
27,Net Loans&Ls/Equity Capital (X),7.02,7.03,6.97,6.97,6.80
28,Cash Dividends/Net Income, 38.81, 32.35, 36.79, 39.51, 33.11
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 7.15,8.97,8.58,8.47,9.27
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 3.13,3.18,3.12,2.55,3.47
33,Long-Term Debt/Equity Capital, 12.03, 12.43, 11.77, 12.45, 12.04
34,Equity Investment in Subs/Equity Cap, 111.14,108.92,110.23,108.78,109.21
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 137.44,121.69,134.43,147.51,136.30
36,PERCENT OF AVERAGE ASSETS,03/31/2007,03/31/2006,12/31/2006,12/31/2005,12/31/2004
37,Interest Income (TE), 6.10,5.57,5.95,5.07,4.46
38,Less: Interest Expense, 3.08,2.47,2.85,1.98,1.32
39,Equals: Net Interest Income (TE), 2.99,3.09,3.09,3.08,3.16
40,Plus: Non-Interest Income,1.91,2.00,1.91,2.04,2.13
41,Equals: Adj Operating Income (TE),4.93,5.05,4.98,5.14,5.31
42,Less: Overhead Expense, 3.01,3.04,2.97,3.06,3.24
43,Less: Provision for Loan and Lease Losses,0.17,0.13,0.15,0.15,0.18
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.02,0.00, -0.01,0.01,0.03
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),1.16,1.24,1.21,1.26,1.30
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 90.07, 89.81, 90.18, 89.84, 89.69
50,Avg Int-Bearing Funds / Avg Assets,76.23, 75.13, 75.81, 74.48, 73.82
51,Int Income (TE) / Avg Earning Assets, 6.77,6.20,6.60,5.65,5.01
52,Int Expense / Avg Earning Assets, 3.43,2.76,3.16,2.21,1.48
53,Interest-Bearing Bank Balances, 5.07,3.83,5.07,3.49,2.01
54,Fed Funds Sold & Reverse Repos, 5.31,4.44,5.08,3.24,1.49
55,Trading Assets, 3.27,2.85,2.87,2.47,3.33
56,Mortgage-Backed Securities, 4.99,4.53,4.70,4.31,4.17
57,Time Deposits < $100K,4.39,3.45,3.99,2.90,2.42
58,Other Domestic Deposits,2.50,1.88,2.26,1.41,0.79
59,All Interest-Bearing Funds, 4.06,3.30,3.77,2.64,1.82
60, , 03/31/2007,03/31/2006,12/31/2006,12/31/2005,12/31/2004
61,Avg Personnel Exp Per Employee ($000),20,19,74,73,68
62,Avg Assets per Employee ($000),"5,238"," 4,915"," 5,056"," 4,727"," 4,581"
63,ANALYSIS RATIOS, , , , , 
64,Personnel Expense,1.65,1.69,1.61,1.65,1.65
65,Net Occupancy Expense,0.41,0.41,0.40,0.42,0.43
66,Personnel Expense, 33.36, 33.08, 32.05, 31.93, 31.43
67,Net Occupancy Expense,8.31,8.22,8.03,8.03,8.10
68,Serv Charges on Deposit Accts - Domestic, 6.81,7.15,6.77,7.26,7.62
69,Trading Revenue,1.32,1.39,1.15,1.03,1.05
70,Investment Banking Fees & Commissions,3.09,3.15,2.97,3.72,4.06
71,Venture Capital Revenue,0.17,0.16,0.19,0.18,0.18
72,Net Servicing Fees, 0.72,1.19,0.76,1.12,0.99
73,Net Securitization Income,0.31,0.26,0.33,0.24,0.29
74,Insurance Activities Revenue, 1.33,1.68,1.43,1.49,1.84
75,"Net Gain (Loss) - Sales Loans, OREO, Oth", 1.38,1.20,1.36,1.60,1.52
76,Appl Inc Taxes/Pretax NOI (TE),30.95, 31.25, 30.56, 31.62, 31.18
77,Appl Inc Tax+TE/Pretax NOI+TE, 34.39, 35.05, 34.16, 34.64, 34.68
