,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
2, Number of BHCs in Peer Group, 93,90,90,90,70
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.81,2.88,2.84,2.90,3.04
6, + Non-interest Income,1.45,1.51,1.74,1.88,1.61
7, - Overhead Expense, 2.83,2.93,3.15,3.34,3.16
8, - Provision for Losses, 0.17,0.14,0.19,0.33,0.49
9, + Securities Gains (Losses),0.01,0.02,0.02,0.04,0.05
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.34,1.42,1.40,1.28,1.12
12, Net Operating Income, 0.92,0.96,0.94,0.88,0.72
13, Net Income, 0.92,0.96,0.94,0.87,0.72
14, Net Income (Sub S Adjusted),1.41, N/A, N/A,0.17, N/A
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 3.59,3.71,3.82,4.08,4.32
17, Interest Expense, 0.46,0.49,0.60,0.74,0.88
18, Net Interest Income (TE), 3.10,3.18,3.17,3.28,3.37
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.31,0.30,0.44,0.74,1.17
21, Earnings Coverage of Net Losses (X), 15.92, 32.42, 19.55,8.80,3.51
22, Ln&Ls Allowance/Total Loans & Leases, 1.14,1.23,1.40,1.61,2.11
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.97,1.09,1.40,1.94,2.74
24, 30-89 Days Past Due Loans and Leases, 0.58,0.60,0.68,0.87,0.96
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,18.17, 17.28, 17.98, 19.34, 20.15
27, Net ST Noncore Funding Dependence,4.31,4.06,3.61,3.44,4.17
