,Column1,Value1,Value2,Value3,Value4,Value5
0, , 09/30/2010,09/30/2009,12/31/2009,12/31/2008,12/31/2007
1,Number of BHCs in Peer Group, 72,73,73,69,66EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.05,2.80,2.85,2.91,3.00
4,+ Non-interest Income,1.83,1.87,1.92,1.58,1.64
5,- Overhead Expense, 3.13,3.32,3.28,3.29,2.96
6,- Provision for Losses, 1.23,1.97,1.96,1.20,0.36
7,+ Securities Gains (Losses),0.06,0.01,0.02, -0.12, -0.02
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),0.68, -0.49, -0.39, -0.16,1.31
10,Net Operating Income, 0.43, -0.47, -0.40, -0.26,0.86
11,Net Income, 0.43, -0.54, -0.38, -0.27,0.87
12,Interest Expense, 1.11,1.59,1.52,2.41,3.44
13,Net Interest Income (TE), 3.39,3.10,3.16,3.25,3.34
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,2.09,2.23,2.33,1.10,0.38
16,Earnings Coverage of Net Losses (X),2.50,1.60,1.67,2.24, 13.40
17,Ln&Ls Allowance/Total Loans & Leases, 2.81,2.69,2.80,1.84,1.22
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,4.11,4.17,4.23,2.45,1.08
19,30-89 Days Past Due Loans and Leases, 1.25,1.46,1.51,1.58,1.03
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,25.48, 31.83, 30.34, 37.21, 41.10
22,Net ST Noncore Funding Dependence,5.73, 11.71,9.95, 22.32, 26.17
23,Net Loans and Leases/Total Assets, 58.28, 60.80, 59.72, 63.39, 63.84
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,9.23,8.64,8.69,8.43,7.40
26,Equity Capital/Total Assets, 10.86, 10.06, 10.01,9.42,9.30
27,Equity Capital+Minority Int/Total Assets,10.99, 10.24, 10.23,9.70,9.41
28,Net Loans&Ls/Equity Capital (X),5.38,6.25,6.29,7.08,7.18
29,Cash Dividends/Net Income, 32.80, 80.78, 59.69, 74.27, 50.49
30,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
31,Retained Earnings/Avg Equity Cap, 2.32, -9.53, -7.11, -8.15,3.64
32,PARENT COMPANY RATIOS:, , , , , 
33,Short-Term Debt/Equity Capital, 3.41,3.91,3.30,3.22,3.73
34,Long-Term Debt/Equity Capital, 16.22, 16.24, 15.74, 11.65, 11.89
35,Equity Investment in Subs/Equity Cap, 107.82,111.30,108.81,105.00,112.58
36,Cash FR Oper+Noncash+Op Exp/Op Exp+Div,92.28, 99.50, 98.42, 96.96,138.88
37,PERCENT OF AVERAGE ASSETS,09/30/2010,09/30/2009,12/31/2009,12/31/2008,12/31/2007
38,Interest Income (TE), 4.12,4.27,4.26,5.11,6.13
39,Less: Interest Expense, 1.00,1.44,1.38,2.16,3.08
40,Equals: Net Interest Income (TE), 3.05,2.80,2.85,2.91,3.00
41,Plus: Non-Interest Income,1.83,1.87,1.92,1.58,1.64
42,Equals: Adj Operating Income (TE),4.88,4.65,4.75,4.55,4.68
43,Less: Overhead Expense, 3.13,3.32,3.28,3.29,2.96
44,Less: Provision for Loan and Lease Losses,1.23,1.97,1.96,1.20,0.36
45,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
46,Plus: Realized G/L on AFS Sec,0.06,0.02,0.03, -0.10, -0.02
