,Column1,Value1,Value2,Value3,Value4,Value5
0, , 12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
1,Number of BHCs in Peer Group, 67,65,62,59,59EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,- Provision for Losses, 0.43,0.43,0.32,0.27,0.27
4,+ Securities Gains (Losses),0.06,0.06, -0.01,0.03,0.06
5,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
6,= Pretax Net Oper Income (TE),2.05,1.71,1.97,2.13,1.98
7,Net Operating Income, 1.31,1.06,1.22,1.33,1.24
8,Net Income, 1.31,1.02,1.22,1.33,1.24
9,Interest Expense, 2.10,3.42,4.49,3.76,4.08
10,Net Interest Income (TE), 3.93,3.76,3.81,3.89,4.05
11,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
12,Net Ln&Ls Losses/Avg Loans & Leases,0.68,0.58,0.43,0.40,0.41
13,Earnings Coverage of Net Losses (X), 10.15,9.73, 10.83, 11.74, 10.79
14,Ln&Ls Allowance/Total Loans & Leases, 1.56,1.50,1.44,1.44,1.53
15,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.94,0.93,0.76,0.61,0.60
16,30-89 Days Past Due Loans and Leases, 0.93,1.11,1.10,0.95,1.15
17,LIQUIDITY AND FUNDING:, , , , , 
18,Net Noncore Funding Dependence,32.53, 34.38, 37.24, 37.89, 32.90
19,Net ST Noncore Funding Dependence, 18.58, 20.81, 24.66, 25.88, 22.63
20,Equity Capital/Total Assets,8.61,8.33,8.09,7.58,7.96
21,Net Loans&Ls/Equity Capital (X),7.07,7.26,7.79,7.93,7.63
22,Cash Dividends/Net Income, 29.24, 39.37, 40.82, 35.55, 41.63
23,Cash Dividends/Net Income (Sub S Adjusted), NA,NA,NA,NA,NA
24,Retained Earnings/Avg Equity Cap,10.11,7.08,9.03, 10.19,8.96
25,PARENT COMPANY RATIOS:, , , , , 
26,Short-Term Debt/Equity Capital, 4.41,5.02,7.07,6.45,7.01
27,Long-Term Debt/Equity Capital, 13.36, 14.08, 13.78, 15.63, 17.67
28,Equity Investment in Subs/Equity Cap, 109.93,109.13,109.76,110.30,109.83
29,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 181.02,166.05,150.79,145.12,139.98
