,Column1,Value1,Value2,Value3,Value4,Value5
0, , 06/30/2006,06/30/2005,12/31/2005,12/31/2004,12/31/2003
1,Number of BHCs in Peer Group, 67,68,69,66,69EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.09,3.08,3.08,3.16,3.18
4,+ Non-interest Income,1.97,2.04,2.04,2.14,2.30
5,- Overhead Expense, 2.99,3.06,3.06,3.24,3.29
6,- Provision for Losses, 0.13,0.13,0.15,0.18,0.30
7,+ Securities Gains (Losses),0.00,0.02,0.01,0.03,0.06
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.89,1.98,1.93,1.94,1.97
10,Net Operating Income, 1.22,1.28,1.25,1.26,1.26
11,Net Income, 1.25,1.28,1.26,1.28,1.26
12,Interest Expense, 2.89,1.96,2.21,1.48,1.58
13,Net Interest Income (TE), 3.44,3.44,3.44,3.54,3.55
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.20,0.24,0.28,0.35,0.53
16,Earnings Coverage of Net Losses (X), 19.94, 23.66, 22.76, 18.87, 10.06
17,Ln&Ls Allowance/Total Loans & Leases, 1.10,1.21,1.14,1.28,1.45
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.49,0.50,0.48,0.58,0.77
19,30-89 Days Past Due Loans and Leases, 0.62,0.57,0.69,0.64,0.79
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,37.64, 37.63, 37.80, 35.52, 35.42
22,Net ST Noncore Funding Dependence, 23.64, 22.32, 23.48, 19.41, 19.84
23,Net Loans and Leases/Total Assets, 62.65, 59.58, 60.09, 59.70, 58.53
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.56,7.43,7.44,7.57,7.55
26,Equity Capital/Total Assets,8.93,8.91,8.88,9.05,8.59
27,Net Loans&Ls/Equity Capital (X),7.14,6.82,6.90,6.80,6.98
