,Column1,Value1,Value2,Value3,Value4,Value5
0, , 09/30/2004,09/30/2003,12/31/2003,12/31/2002,12/31/2001
1,Number of BHCs in Peer Group, 65,68,69,67,65EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.15,3.19,3.18,3.48,3.34
4,+ Non-interest Income,2.07,2.31,2.31,2.31,2.39
5,- Overhead Expense, 3.11,3.31,3.29,3.48,3.64
6,- Provision for Losses, 0.18,0.32,0.30,0.42,0.42
7,+ Securities Gains (Losses),0.04,0.07,0.06,0.06,0.06
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.99,1.97,1.98,2.04,1.70
10,Net Operating Income, 1.27,1.26,1.26,1.30,1.05
11,Net Income, 1.28,1.25,1.26,1.30,1.01
12,Interest Expense, 1.40,1.63,1.58,2.11,3.43
13,Net Interest Income (TE), 3.50,3.56,3.55,3.90,3.72
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.30,0.53,0.54,0.68,0.58
16,Earnings Coverage of Net Losses (X), 20.20, 11.14, 10.06, 10.14,9.73
17,Ln&Ls Allowance/Total Loans & Leases, 1.33,1.48,1.45,1.57,1.51
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.62,0.86,0.77,0.94,0.94
19,30-89 Days Past Due Loans and Leases, 0.65,0.73,0.79,0.93,1.11
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,36.57, 35.22, 35.57, 32.89, 34.71
22,Net ST Noncore Funding Dependence, 20.47, 19.55, 19.99, 18.72, 20.90
23,Net Loans and Leases/Total Assets, 60.55, 58.75, 58.56, 59.34, 58.93
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.53,7.42,7.55,7.43,7.34
26,Equity Capital/Total Assets,8.86,8.42,8.59,8.58,8.31
