,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 09/30/2013,09/30/2012,12/31/2012,12/31/2011,12/31/2010
2, Number of BHCs in Peer Group, 93,90,90,70,70
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.81,2.91,2.90,3.04,3.04
6, + Non-interest Income,1.81,1.74,1.88,1.61,1.89
7, - Overhead Expense, 3.19,3.22,3.34,3.16,3.19
8, - Provision for Losses, 0.19,0.32,0.33,0.49,1.10
9, + Securities Gains (Losses),0.02,0.04,0.04,0.05,0.06
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.41,1.28,1.28,1.12,0.77
12, Net Operating Income, 0.95,0.85,0.88,0.72,0.51
13, Net Income, 0.95,0.85,0.87,0.72,0.51
14, Net Income (Sub S Adjusted), N/A,0.11,0.17, N/A, N/A
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 3.83,4.13,4.07,4.32,4.54
17, Interest Expense, 0.61,0.75,0.74,0.88,1.07
18, Net Interest Income (TE), 3.17,3.31,3.28,3.37,3.39
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.47,0.76,0.74,1.17,2.04
21, Earnings Coverage of Net Losses (X), 18.54,7.83,8.80,3.51,2.53
22, Ln&Ls Allowance/Total Loans & Leases, 1.48,1.67,1.61,2.11,2.63
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,1.63,2.17,1.95,2.74,3.75
24, 30-89 Days Past Due Loans and Leases, 0.68,0.86,0.87,0.96,1.20
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,17.78, 19.68, 19.34, 20.15, 25.33
27, Net ST Noncore Funding Dependence,3.00,3.08,3.44,4.17,6.24
28, Net Loans and Leases/Total Assets, 59.09, 57.47, 57.96, 57.64, 57.51
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.67,9.55,9.37,9.26,9.03
31, Equity Capital/Total Assets, 11.54, 11.30, 11.30, 10.91, 10.66
32, Equity Capital+Minority Int/Total Assets,11.81, 11.60, 11.59, 11.12, 10.80
33, Tier 1 Common Eq Cap / T RWA,11.90, 11.68, 11.43, 11.32, 10.46
34, Net Loans&Ls/Equity Capital (X),5.22,5.10,5.20,5.26,5.41
35, Cash Dividends/Net Income, 25.36, 23.38, 25.15, 24.90, 35.74
36, Cash Dividends/Net Income (Sub S Adjusted),N/A,-28.63,-19.73, N/A, N/A
37, Retained Earnings/Avg Equity Cap, 6.04,5.55,5.49,4.71,3.00
38, PARENT COMPANY RATIOS: , , , , , 
39,Short-Term Debt/Equity Capital, 2.80,3.04,2.47,3.85,2.78
40, Long-Term Debt/Equity Capital, 12.29, 13.53, 13.81, 14.07, 16.28
41, Equity Investment in Subs/Equity Cap, 104.76,106.97,106.52,107.31,108.44
42, Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 188.63,152.21,160.13,126.35,115.83
43, , , , , , 
44, 2 , , , , , 
45,PERCENT OF AVERAGE ASSETS,09/30/2013,09/30/2012,12/31/2012,12/31/2011,12/31/2010
46, Interest Income (TE), 3.39,3.64,3.59,3.90,4.07
47, Less: Interest Expense, 0.53,0.67,0.65,0.79,0.96
48, Equals: Net Interest Income (TE), 2.81,2.91,2.90,3.04,3.04
49, Plus: Non-Interest Income,1.81,1.74,1.88,1.61,1.89
50, Equals: Adj Operating Income (TE),4.77,4.74,4.89,4.66,4.92
51, Less: Overhead Expense, 3.19,3.22,3.34,3.16,3.19
52, Less: Provision for Loan and Lease Losses,0.19,0.32,0.33,0.49,1.10
53, Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
54, Plus: Realized G/L on AFS Sec,0.02,0.04,0.04,0.05,0.06
55, Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
56, Equals: Pretax Net Oper Inc (TE), 1.41,1.28,1.28,1.12,0.77
57,Less: Applicable Income Taxes (TE), 0.45,0.43,0.42,0.39,0.29
58, Less: Minority Interest,0.00,0.00,0.01,0.01,0.00
59, Equals: Net Operating Income, 0.95,0.85,0.88,0.72,0.51
60,Plus: Net Extraordinary Items,0.00,0.00,0.00,0.00,0.00
61, Equals: Net Income, 0.95,0.85,0.87,0.72,0.51
62, Memo: Net Income (Last Four Qtrs),0.94,0.79,0.86,0.72,0.52
63, MARGIN ANALYSIS: , , , , , 
64,Avg Earning Assets / Avg Assets, 90.23, 89.96, 89.85, 90.30, 89.93
65, Avg Int-Bearing Funds / Avg Assets,68.27, 68.85, 68.65, 70.86, 72.85
66, Int Income (TE) / Avg Earning Assets, 3.83,4.13,4.07,4.32,4.54
67, Int Expense / Avg Earning Assets, 0.61,0.75,0.74,0.88,1.07
68, Net Int Inc (TE) / Avg Earn Assets, 3.17,3.31,3.28,3.37,3.39
69,YIELD OR COST: , , , , , 
70,Total Loans and Leases (TE),4.74,5.12,5.06,5.34,5.44
71, Interest-Bearing Bank Balances, 0.30,0.31,0.31,0.34,0.35
72, Fed Funds Sold & Reverse Repos, 0.42,0.37,0.40,0.38,0.45
73, Trading Assets, 1.23,1.37,1.25,1.43,1.37
74, Total Earning Assets, 3.78,4.07,4.03,4.26,4.46
75,Investment Securities (TE), 2.41,2.70,2.65,2.99,3.49
76, U.S. Treasury & Agency Sec (excl MBS),1.31,1.55,1.48,1.74,2.23
77, Mortgage-Backed Securities, 2.30,2.73,2.69,3.16,3.82
