,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 03/31/2012,03/31/2011,12/31/2011,12/31/2010,12/31/2009
2, Number of BHCs in Peer Group, 88,70,69,70,73
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.94,3.02,3.04,3.04,2.85
6, + Non-interest Income,1.73,1.85,1.63,1.89,1.92
7, - Overhead Expense, 3.16,3.18,3.18,3.19,3.28
8, - Provision for Losses, 0.33,0.58,0.49,1.10,1.96
9, + Securities Gains (Losses),0.03,0.03,0.05,0.06,0.02
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.27,1.17,1.12,0.77, -0.39
12, Net Operating Income, 0.83,0.76,0.72,0.51, -0.40
13, Net Income, 0.83,0.76,0.72,0.51, -0.38
14, Net Income (Sub S Adjusted),0.11, N/A, N/A, N/A, N/A
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 4.16,4.36,4.31,4.54,4.70
17, Interest Expense, 0.77,0.95,0.87,1.07,1.52
18, Net Interest Income (TE), 3.34,3.36,3.38,3.39,3.16
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.78,1.49,1.17,2.04,2.33
21, Earnings Coverage of Net Losses (X),7.57,3.20,3.52,2.54,1.67
22, Ln&Ls Allowance/Total Loans & Leases, 1.84,2.62,2.11,2.63,2.80
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,2.44,3.46,2.71,3.75,4.24
24, 30-89 Days Past Due Loans and Leases, 0.89,1.15,0.96,1.20,1.51
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,19.82, 23.75, 19.39, 25.33, 30.25
27, Net ST Noncore Funding Dependence,3.92,3.94,3.94,6.24, 10.25
28, Net Loans and Leases/Total Assets, 56.51, 56.57, 57.60, 57.51, 59.71
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.57,9.15,9.34,9.03,8.69
