,Column1,Value1,Value2,Value3,Value4,Value5
0, , 09/30/2009,09/30/2008,12/31/2008,12/31/2007,12/31/2006
1,Number of BHCs in Peer Group, 77,68,71,66,68EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 2.72,2.88,2.88,3.00,3.09
4,+ Non-interest Income,1.91,1.68,1.60,1.64,1.91
5,- Overhead Expense, 3.31,3.02,3.29,2.96,2.97
6,- Provision for Losses, 1.86,0.97,1.17,0.36,0.15
7,+ Securities Gains (Losses),0.00, -0.09, -0.12, -0.02, -0.01
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE), -0.46,0.51, -0.14,1.31,1.83
10,Net Operating Income,-0.42,0.31, -0.23,0.86,1.18
11,Net Income,-0.48,0.28, -0.25,0.87,1.21
12,Interest Expense, 1.56,2.50,2.41,3.44,3.16
13,Net Interest Income (TE), 3.03,3.23,3.23,3.34,3.42
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,2.18,0.89,1.10,0.38,0.23
16,Earnings Coverage of Net Losses (X),1.67,3.05,2.64, 13.40, 33.33
17,Ln&Ls Allowance/Total Loans & Leases, 2.63,1.62,1.82,1.22,1.11
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,4.25,1.94,2.42,1.08,0.57
19,30-89 Days Past Due Loans and Leases, 1.44,1.24,1.58,1.03,0.81
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,34.22, 43.55, 37.52, 41.09, 37.63
22,Net ST Noncore Funding Dependence, 11.62, 27.62, 22.45, 26.17, 23.42
23,Net Loans and Leases/Total Assets, 57.53, 63.36, 61.91, 63.85, 62.66
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,8.33,7.40,8.29,7.42,7.79
26,Equity Capital/Total Assets,9.73,8.84,9.24,9.31,9.22
27,Equity Capital+Minority Int/Total Assets, 9.96,9.04,9.52,9.42,9.34
28,Net Loans&Ls/Equity Capital (X),6.11,7.39,6.96,7.17,6.97
29,Cash Dividends/Net Income, 63.90, 73.92, 71.23, 50.49, 36.79
30,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
31,Retained Earnings/Avg Equity Cap,-8.87, -2.04, -7.64,3.67,8.58
32,PARENT COMPANY RATIOS:, , , , , 
33,Short-Term Debt/Equity Capital, 4.12,4.48,3.65,3.73,3.12
34,Long-Term Debt/Equity Capital, 18.45, 13.78, 11.95, 11.89, 11.77
35,Equity Investment in Subs/Equity Cap, 113.26,113.29,105.96,112.58,110.24
36,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 100.75, 98.89, 95.72,138.88,134.43
37,PERCENT OF AVERAGE ASSETS,09/30/2009,09/30/2008,12/31/2008,12/31/2007,12/31/2006
38,Interest Income (TE), 4.15,5.12,5.06,6.13,5.95
39,Less: Interest Expense, 1.41,2.24,2.16,3.08,2.85
40,Equals: Net Interest Income (TE), 2.72,2.88,2.88,3.00,3.09
41,Plus: Non-Interest Income,1.91,1.68,1.60,1.64,1.91
42,Equals: Adj Operating Income (TE),4.61,4.63,4.54,4.68,4.97
43,Less: Overhead Expense, 3.31,3.02,3.29,2.96,2.97
44,Less: Provision for Loan and Lease Losses,1.86,0.97,1.17,0.36,0.15
45,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
46,Plus: Realized G/L on AFS Sec,0.01, -0.09, -0.10, -0.02, -0.01
47,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
48,Memo: Net Income (Last Four Qtrs), -0.84,0.28, -0.25,0.85,1.21
49,MARGIN ANALYSIS:, , , , , 
50,Avg Earning Assets / Avg Assets, 90.18, 89.45, 89.65, 89.70, 90.22
51,Avg Int-Bearing Funds / Avg Assets,74.34, 76.96, 77.39, 76.48, 75.80
52,Int Income (TE) / Avg Earning Assets, 4.62,5.75,5.67,6.82,6.60
53,Int Expense / Avg Earning Assets, 1.56,2.50,2.41,3.44,3.16
54,Interest-Bearing Bank Balances, 0.60,3.29,2.23,5.42,5.07
55,Fed Funds Sold & Reverse Repos, 0.60,2.66,2.40,5.19,5.08
56,Trading Assets, 1.61,2.66,2.64,3.45,2.87
57,Mortgage-Backed Securities, 4.62,4.93,4.84,4.89,4.71
58,Time Deposits < $100K,2.75,3.67,3.54,4.47,3.96
59,Other Domestic Deposits,0.76,1.53,1.47,2.50,2.26
60,All Interest-Bearing Funds, 1.91,2.95,2.83,4.04,3.77
61, , 09/30/2009,09/30/2008,12/31/2008,12/31/2007,12/31/2006
62,Avg Personnel Exp Per Employee ($000),65,60,77,75,74
63,Avg Assets per Employee ($000),"6,765"," 5,934"," 5,926"," 5,301"," 5,057"
64,ANALYSIS RATIOS, , , , , 
65,Personnel Expense,1.45,1.45,1.43,1.52,1.61
66,Net Occupancy Expense,0.36,0.38,0.38,0.39,0.40
67,Personnel Expense, 31.76, 32.09, 32.11, 32.37, 32.03
68,Net Occupancy Expense,8.13,8.51,8.68,8.55,8.03
69,Serv Charges on Deposit Accts - Domestic, 6.95,7.47,7.53,7.59,6.77
70,Trading Revenue,2.50,0.10,0.00,0.20,1.15
71,Investment Banking Fees & Commissions,3.25,3.66,3.28,3.28,3.04
72,Venture Capital Revenue, -0.09,0.05, -0.02,0.23,0.19
73,Net Servicing Fees, 1.38,0.96,0.77,0.82,0.68
74,Net Securitization Income,0.11,0.15,0.17,0.31,0.37
75,Insurance Activities Revenue, 1.15,1.04,1.05,1.21,1.24
76,"Net Gain (Loss) - Sales Loans, OREO, Oth", 0.20,0.36,0.25,0.97,1.36
77,Appl Inc Taxes/Pretax NOI (TE),19.86, 28.38, 24.76, 28.98, 30.50
78,Appl Inc Tax+TE/Pretax NOI+TE, 31.14, 33.01, 31.86, 32.86, 34.13
79,PERCENT OF TOTAL ASSETS,09/30/2009,09/30/2008,12/31/2008,12/31/2007,12/31/2006
80,Real Estate Loans, 36.08, 40.26, 39.94, 40.85, 39.85
81,Commercial and Industrial Loans, 11.79, 13.02, 12.88, 12.72, 11.89
82,Loans to Individuals, 5.20,5.09,4.82,5.33,5.36
83,Loans to Depository Institutions, 0.05,0.10,0.07,0.09,0.11
84,Agricultural Loans, 0.16,0.19,0.19,0.21,0.21
85,Other Loans and Leases, 3.08,3.29,2.95,3.26,3.17
86, Net Loans and Leases, 57.53, 63.36, 61.91, 63.85, 62.66
87,Debt Securities Over 1 Year, 14.24, 12.65, 13.43, 13.05, 13.87
88,Mutual Funds and Equity Securities, 0.22,0.16,0.17,0.24,0.26
89, Subtotal, 73.39, 77.28, 76.41, 77.94, 77.54
