,Column1,Value1,Value2,Value3,Value4,Value5
0, , 12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
1,Number of BHCs in Peer Group, 69,66,68,69,66EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 2.92,3.00,3.09,3.08,3.16
4,+ Non-interest Income,1.58,1.64,1.91,2.03,2.13
5,- Overhead Expense, 3.24,2.96,2.97,3.07,3.24
6,- Provision for Losses, 1.18,0.36,0.15,0.15,0.18
7,+ Securities Gains (Losses), -0.11, -0.02, -0.01,0.01,0.03
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE), -0.09,1.31,1.83,1.93,1.94
10,Net Operating Income,-0.19,0.86,1.18,1.24,1.26
11,Net Income,-0.21,0.87,1.21,1.25,1.28
12,Interest Expense, 2.42,3.44,3.16,2.21,1.48
13,Net Interest Income (TE), 3.26,3.34,3.42,3.45,3.54
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,1.09,0.38,0.23,0.28,0.35
16,Earnings Coverage of Net Losses (X),2.44, 13.40, 33.33, 22.73, 18.87
17,Ln&Ls Allowance/Total Loans & Leases, 1.82,1.22,1.11,1.13,1.28
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,2.41,1.08,0.57,0.48,0.58
19,30-89 Days Past Due Loans and Leases, 1.59,1.03,0.81,0.69,0.64
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,37.37, 40.68, 37.63, 37.84, 35.51
22,Net ST Noncore Funding Dependence, 22.53, 26.24, 23.42, 23.55, 19.43
23,Net Loans and Leases/Total Assets, 63.31, 63.88, 62.66, 60.09, 59.72
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,8.46,7.42,7.79,7.44,7.57
26,Equity Capital/Total Assets,9.51,9.31,9.22,8.88,9.05
27,Net Loans&Ls/Equity Capital (X),7.02,7.17,6.97,6.97,6.81
28,Cash Dividends/Net Income, 75.54, 50.49, 36.79, 39.81, 33.11
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap,-7.26,3.67,8.58,8.40,9.27
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 3.03,3.73,3.12,2.55,3.47
33,Long-Term Debt/Equity Capital, 11.64, 11.89, 11.77, 12.45, 12.04
34,Equity Investment in Subs/Equity Cap, 104.95,112.58,110.24,108.78,109.21
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div,95.73,138.88,134.43,147.51,136.30
36,PERCENT OF AVERAGE ASSETS,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
37,Interest Income (TE), 5.12,6.13,5.95,5.08,4.46
38,Less: Interest Expense, 2.16,3.08,2.85,1.98,1.32
39,Equals: Net Interest Income (TE), 2.92,3.00,3.09,3.08,3.16
40,Plus: Non-Interest Income,1.58,1.64,1.91,2.03,2.13
41,Equals: Adj Operating Income (TE),4.56,4.68,4.97,5.15,5.31
42,Less: Overhead Expense, 3.24,2.96,2.97,3.07,3.24
43,Less: Provision for Loan and Lease Losses,1.18,0.36,0.15,0.15,0.18
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec, -0.09, -0.02, -0.01,0.01,0.03
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs), -0.21,0.85,1.21,1.25,1.30
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 89.79, 89.70, 90.22, 89.84, 89.69
50,Avg Int-Bearing Funds / Avg Assets,77.75, 76.48, 75.80, 74.48, 73.82
51,Int Income (TE) / Avg Earning Assets, 5.71,6.82,6.60,5.66,5.00
52,Int Expense / Avg Earning Assets, 2.42,3.44,3.16,2.21,1.48
53,Interest-Bearing Bank Balances, 2.26,5.42,5.07,3.49,2.01
54,Fed Funds Sold & Reverse Repos, 2.41,5.20,5.08,3.24,1.49
55,Trading Assets, 2.55,3.45,2.87,2.44,3.33
