,Column1,Value1,Value2,Value3,Value4,Value5
0, , 03/31/2006,03/31/2005,12/31/2005,12/31/2004,12/31/2003
1,Number of BHCs in Peer Group, 66,65,69,66,69EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.09,3.04,3.08,3.16,3.18
4,+ Non-interest Income,2.00,2.06,2.04,2.14,2.30
5,- Overhead Expense, 3.04,3.03,3.06,3.24,3.29
6,- Provision for Losses, 0.13,0.15,0.15,0.18,0.30
7,+ Securities Gains (Losses),0.00,0.02,0.01,0.03,0.06
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.87,1.96,1.93,1.94,1.97
10,Net Operating Income, 1.20,1.26,1.25,1.26,1.26
11,Net Income, 1.23,1.26,1.26,1.28,1.26
12,Interest Expense, 2.76,1.85,2.20,1.48,1.58
13,Net Interest Income (TE), 3.45,3.39,3.43,3.54,3.55
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.21,0.26,0.28,0.35,0.53
16,Earnings Coverage of Net Losses (X), 21.81, 16.49, 22.76, 18.87, 10.06
17,Ln&Ls Allowance/Total Loans & Leases, 1.13,1.26,1.14,1.28,1.45
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.51,0.52,0.48,0.58,0.77
19,30-89 Days Past Due Loans and Leases, 0.64,0.61,0.69,0.64,0.79
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,36.71, 38.02, 37.80, 35.52, 35.42
22,Net ST Noncore Funding Dependence, 23.01, 21.49, 23.48, 19.41, 19.84
23,Net Loans and Leases/Total Assets, 62.05, 59.36, 60.09, 59.70, 58.53
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.52,7.39,7.44,7.57,7.55
26,Equity Capital/Total Assets,8.98,8.88,8.88,9.05,8.59
27,Net Loans&Ls/Equity Capital (X),7.03,6.81,6.90,6.80,6.98
28,Cash Dividends/Net Income, 32.35, 32.14, 39.47, 33.10, 32.26
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 8.97,9.10,8.47,9.28,9.60
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 3.18,3.55,2.55,3.47,4.00
33,Long-Term Debt/Equity Capital, 12.43, 12.45, 12.45, 12.04, 15.42
34,Equity Investment in Subs/Equity Cap, 108.91,110.88,108.78,109.22,110.52
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 123.30,124.35,147.51,136.27,149.20
36,PERCENT OF AVERAGE ASSETS,03/31/2006,03/31/2005,12/31/2005,12/31/2004,12/31/2003
37,Interest Income (TE), 5.57,4.72,5.07,4.46,4.62
38,Less: Interest Expense, 2.47,1.66,1.98,1.33,1.42
39,Equals: Net Interest Income (TE), 3.09,3.04,3.08,3.16,3.18
40,Plus: Non-Interest Income,2.00,2.06,2.04,2.14,2.30
41,Equals: Adj Operating Income (TE),5.05,5.13,5.14,5.31,5.49
42,Less: Overhead Expense, 3.04,3.03,3.06,3.24,3.29
43,Less: Provision for Loan and Lease Losses,0.13,0.15,0.15,0.18,0.30
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.00,0.02,0.01,0.03,0.06
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),1.24,1.26,1.26,1.30,1.28
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 89.81, 89.78, 89.96, 89.69, 89.80
50,Avg Int-Bearing Funds / Avg Assets,75.14, 74.13, 74.48, 73.85, 74.79
51,Int Income (TE) / Avg Earning Assets, 6.20,5.27,5.64,5.01,5.17
52,Int Expense / Avg Earning Assets, 2.76,1.85,2.20,1.48,1.58
53,Interest-Bearing Bank Balances, 3.83,2.66,3.38,1.96,2.04
54,Fed Funds Sold & Reverse Repos, 4.44,2.50,3.24,1.49,1.36
55,Trading Assets, 2.85,2.40,2.48,3.33,2.60
56,Mortgage-Backed Securities, 4.53,4.19,4.31,4.17,4.20
57,Time Deposits < $100K,3.45,2.52,2.90,2.41,2.66
58,Other Domestic Deposits,1.87,1.09,1.40,0.79,0.87
59,All Interest-Bearing Funds, 3.30,2.23,2.64,1.82,1.90
60, , 03/31/2006,03/31/2005,12/31/2005,12/31/2004,12/31/2003
61,Avg Personnel Exp Per Employee ($000),19,18,73,68,66
62,Avg Assets per Employee ($000),"4,915"," 4,735"," 4,727"," 4,581"," 4,348"
63,ANALYSIS RATIOS, , , , , 
64,Personnel Expense,1.69,1.64,1.65,1.65,1.68
65,Net Occupancy Expense,0.41,0.42,0.42,0.43,0.45
66,Personnel Expense, 33.08, 31.79, 31.93, 31.42, 30.62
67,Net Occupancy Expense,8.22,8.16,8.03,8.10,8.17
68,Serv Charges on Deposit Accts - Domestic, 7.15,7.06,7.26,7.62,7.97
69,Trading Revenue,1.39,1.50,1.02,1.05,1.41
