,Column1,Value1,Value2,Value3,Value4,Value5
0, , 09/30/2005,09/30/2004,12/31/2004,12/31/2003,12/31/2002
1,Number of BHCs in Peer Group, 68,65,66,69,67EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.08,3.15,3.16,3.18,3.48
4,+ Non-interest Income,2.09,2.08,2.13,2.30,2.31
5,- Overhead Expense, 3.10,3.11,3.24,3.29,3.48
6,- Provision for Losses, 0.15,0.18,0.18,0.30,0.42
7,+ Securities Gains (Losses),0.02,0.04,0.03,0.06,0.06
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.97,1.99,1.94,1.97,2.04
10,Net Operating Income, 1.27,1.27,1.26,1.26,1.30
11,Net Income, 1.27,1.28,1.28,1.26,1.30
12,Interest Expense, 2.07,1.41,1.48,1.58,2.11
13,Net Interest Income (TE), 3.43,3.50,3.54,3.55,3.90
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.25,0.30,0.35,0.53,0.68
16,Earnings Coverage of Net Losses (X), 25.56, 20.20, 18.87, 10.06, 10.14
17,Ln&Ls Allowance/Total Loans & Leases, 1.20,1.33,1.28,1.45,1.57
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.49,0.62,0.58,0.77,0.94
19,30-89 Days Past Due Loans and Leases, 0.62,0.65,0.64,0.79,0.93
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,37.26, 36.57, 35.53, 35.42, 32.89
22,Net ST Noncore Funding Dependence, 22.49, 20.46, 19.42, 19.84, 18.72
23,Net Loans and Leases/Total Assets, 59.82, 60.55, 59.69, 58.53, 59.34
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.42,7.53,7.58,7.55,7.43
26,Equity Capital/Total Assets,8.89,8.84,9.05,8.59,8.58
27,Net Loans&Ls/Equity Capital (X),6.82,6.98,6.80,6.98,7.07
28,Cash Dividends/Net Income, 35.45, 33.35, 33.09, 32.26, 29.58
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 8.78,9.53,9.28,9.60, 10.01
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 2.57,3.62,3.47,4.01,4.41
33,Long-Term Debt/Equity Capital, 12.97, 13.92, 12.04, 15.42, 13.73
34,Equity Investment in Subs/Equity Cap, 109.70,110.60,109.23,110.54,110.46
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 142.51,134.71,136.25,149.30,180.56
36,PERCENT OF AVERAGE ASSETS,09/30/2005,09/30/2004,12/31/2004,12/31/2003,12/31/2002
37,Interest Income (TE), 4.94,4.41,4.46,4.62,5.36
38,Less: Interest Expense, 1.86,1.26,1.32,1.42,1.88
39,Equals: Net Interest Income (TE), 3.08,3.15,3.16,3.18,3.48
40,Plus: Non-Interest Income,2.09,2.08,2.13,2.30,2.31
41,Equals: Adj Operating Income (TE),5.20,5.21,5.31,5.49,5.81
42,Less: Overhead Expense, 3.10,3.11,3.24,3.29,3.48
43,Less: Provision for Loan and Lease Losses,0.15,0.18,0.18,0.30,0.42
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.02,0.04,0.03,0.06,0.06
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),1.26,1.31,1.30,1.28,1.30
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 89.89, 89.98, 89.69, 89.80, 89.35
50,Avg Int-Bearing Funds / Avg Assets,74.39, 74.72, 73.88, 74.82, 75.57
51,Int Income (TE) / Avg Earning Assets, 5.50,4.92,5.00,5.17,6.01
52,Int Expense / Avg Earning Assets, 2.07,1.41,1.48,1.58,2.11
53,Interest-Bearing Bank Balances, 3.01,1.73,1.96,2.04,2.31
54,Fed Funds Sold & Reverse Repos, 2.98,1.30,1.50,1.37,1.91
55,Trading Assets, 2.24,2.37,3.33,2.60,2.35
56,Mortgage-Backed Securities, 4.29,4.21,4.17,4.20,5.25
57,Time Deposits < $100K,2.84,2.36,2.41,2.67,3.55
58,Other Domestic Deposits,1.31,0.74,0.79,0.87,1.29
59,All Interest-Bearing Funds, 2.49,1.69,1.82,1.90,2.49
60, , 09/30/2005,09/30/2004,12/31/2004,12/31/2003,12/31/2002
61,Avg Personnel Exp Per Employee ($000),55,51,68,66,62
62,Avg Assets per Employee ($000),"4,733"," 4,446"," 4,581"," 4,348"," 3,771"
63,ANALYSIS RATIOS, , , , , 
64,Personnel Expense,1.67,1.64,1.65,1.68,1.75
65,Net Occupancy Expense,0.42,0.43,0.43,0.45,0.48
66,Personnel Expense, 31.99, 31.67, 31.43, 30.63, 30.38
67,Net Occupancy Expense,7.96,8.21,8.10,8.17,8.25
68,Serv Charges on Deposit Accts - Domestic, 7.46,8.08,7.62,7.98,8.19
69,Trading Revenue,1.14,1.18,1.04,1.41,1.16
70,Investment Banking Fees & Commissions,3.83,4.09,4.06,4.61,4.68
71,Venture Capital Revenue,0.21,0.13,0.18,0.02, -0.22
