,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 06/30/2016,06/30/2015,12/31/2015,12/31/2014,12/31/2013
2, Number of BHCs in Peer Group, 97,95,93,90,90
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.89,2.83,2.81,2.88,2.84
6, + Non-interest Income,1.36,1.46,1.45,1.51,1.74
7, - Overhead Expense, 2.75,2.82,2.85,2.93,3.15
8, - Provision for Losses, 0.22,0.14,0.17,0.14,0.19
9, + Securities Gains (Losses),0.02,0.02,0.01,0.02,0.02
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.35,1.37,1.33,1.42,1.40
12, Net Operating Income, 0.88,0.92,0.92,0.96,0.94
13, Net Income, 0.88,0.92,0.92,0.96,0.94
14, Net Income (Sub S Adjusted),0.99,1.58,1.41, N/A, N/A
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 3.63,3.58,3.57,3.71,3.82
17, Interest Expense, 0.46,0.45,0.46,0.49,0.60
18, Net Interest Income (TE), 3.16,3.11,3.09,3.18,3.17
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.28,0.25,0.31,0.30,0.44
21, Earnings Coverage of Net Losses (X), 26.37, 17.40, 15.90, 32.42, 19.55
22, Ln&Ls Allowance/Total Loans & Leases, 1.13,1.17,1.14,1.23,1.40
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.98,1.07,0.97,1.09,1.40
24, 30-89 Days Past Due Loans and Leases, 0.50,0.52,0.58,0.60,0.68
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,17.89, 16.91, 18.17, 17.28, 17.98
27, Net ST Noncore Funding Dependence,4.74,4.57,4.31,4.06,3.61
28, Net Loans and Leases/Total Assets, 63.71, 62.81, 62.73, 61.48, 60.31
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.64,9.86,9.68,9.82,9.63
31, Equity Capital/Total Assets, 11.66, 11.65, 11.65, 11.73, 11.61
32, Equity Capital+Minority Int/Total Assets,11.74, 11.87, 11.75, 11.90, 11.78
33, Tier 1 Common Eq Cap / T RWA,11.88, 12.14, 12.09, 11.92, 11.79
34, Net Loans&Ls/Equity Capital (X),5.48,5.41,5.42,5.27,5.28
35, Cash Dividends/Net Income, 30.46, 30.11, 28.05, 27.42, 27.33
36, Cash Dividends/Net Income (Sub S Adjusted),54.16, 13.34, 15.95, N/A, N/A
37, Retained Earnings/Avg Equity Cap, 5.13,5.42,5.30,5.68,5.83
38, PARENT COMPANY RATIOS: , , , , , 
39,Short-Term Debt/Equity Capital, 1.16,1.86,1.23,2.43,2.95
40, Long-Term Debt/Equity Capital, 12.29, 10.27, 12.95, 10.76, 12.70
41, Equity Investment in Subs/Equity Cap, 102.79,102.14,102.41,102.66,104.36
42, Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 163.19,148.91,143.71,149.64,169.33
43, , , , , , 
44, 2 , , , , , 
45,PERCENT OF AVERAGE ASSETS,06/30/2016,06/30/2015,12/31/2015,12/31/2014,12/31/2013
46, Interest Income (TE), 3.32,3.26,3.24,3.35,3.41
47, Less: Interest Expense, 0.42,0.41,0.42,0.44,0.53
48, Equals: Net Interest Income (TE), 2.89,2.83,2.81,2.88,2.84
49, Plus: Non-Interest Income,1.36,1.46,1.45,1.51,1.74
50, Equals: Adj Operating Income (TE),4.32,4.37,4.39,4.51,4.73
51, Less: Overhead Expense, 2.75,2.82,2.85,2.93,3.15
52, Less: Provision for Loan and Lease Losses,0.22,0.14,0.17,0.14,0.19
53, Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
54, Plus: Realized G/L on AFS Sec,0.02,0.02,0.01,0.02,0.02
55, Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
56, Equals: Pretax Net Oper Inc (TE), 1.35,1.37,1.33,1.42,1.40
57,Less: Applicable Income Taxes (TE), 0.46,0.45,0.44,0.47,0.44
58, Less: Minority Interest,0.00,0.00,0.00,0.00,0.00
59, Equals: Net Operating Income, 0.88,0.92,0.92,0.96,0.94
60,Plus: Net Extraordinary Items,0.00,0.00,0.00,0.00,0.00
61, Equals: Net Income, 0.88,0.92,0.92,0.96,0.94
62, Memo: Net Income (Last Four Qtrs),0.90,0.95,0.93,0.96,0.94
63, MARGIN ANALYSIS: , , , , , 
64,Avg Earning Assets / Avg Assets, 91.65, 91.40, 91.39, 91.14, 90.56
65, Avg Int-Bearing Funds / Avg Assets,66.97, 67.43, 66.63, 67.00, 68.40
66, Int Income (TE) / Avg Earning Assets, 3.63,3.58,3.57,3.71,3.82
67, Int Expense / Avg Earning Assets, 0.46,0.45,0.46,0.49,0.60
68, Net Int Inc (TE) / Avg Earn Assets, 3.16,3.11,3.09,3.18,3.17
69,YIELD OR COST: , , , , , 
70,Total Loans and Leases (TE),4.32,4.30,4.30,4.50,4.72
71, Interest-Bearing Bank Balances, 0.47,0.27,0.28,0.28,0.32
72, Fed Funds Sold & Reverse Repos, 0.72,0.49,0.48,0.43,0.39
73, Trading Assets, 0.89,1.00,0.94,1.04,1.19
74, Total Earning Assets, 3.56,3.52,3.50,3.65,3.77
75,Investment Securities (TE), 2.40,2.33,2.32,2.41,2.39
76, U.S. Treasury & Agency Sec (excl MBS),1.50,1.42,1.41,1.29,1.23
77, Mortgage-Backed Securities, 2.22,2.22,2.25,2.32,2.32
78, All Other Securities, 3.66,3.93,3.74,4.10,4.15
79,Interest-Bearing Deposits,0.38,0.35,0.35,0.35,0.42
80, Time Deposits of $100K or More, 0.83,0.81,0.77,0.82,0.95
81, Time Deposits < $100K,0.77,0.75,0.77,0.82,0.96
82, Other Domestic Deposits,0.26,0.23,0.23,0.21,0.24
83, Foreign Deposits, 0.29,0.25,0.26,0.28,0.37
84,Fed Funds Purchased and Repos,0.55,0.53,0.48,0.57,0.72
85, Other Borrowed Funds & Trading Liab,1.59,1.58,1.56,1.64,1.97
86, All Interest-Bearing Funds, 0.62,0.60,0.62,0.59,0.69
87, , , , , , 
88, 3 , , , , , 
89, , 06/30/2016,06/30/2015,12/31/2015,12/31/2014,12/31/2013
90, Avg Personnel Exp Per Employee ($000),53,52, 101,99,98
91, Avg Assets per Employee ($000),"8,189"," 7,923"," 7,825"," 7,662"," 7,292"
92, ANALYSIS RATIOS , , , , , 
93,Mutual Fund Fee Inc / Non-Int Income, 3.08,3.30,3.34,3.11,2.95
94,Overhead Exp / NII + Non-Int Income, 64.30, 65.79, 66.98, 66.44, 67.52
95,PERCENT OF AVERAGE ASSETS: , , , , , 
96,Total Overhead Expense, 2.75,2.82,2.85,2.93,3.15
97, Personnel Expense,1.42,1.43,1.40,1.43,1.48
98, Net Occupancy Expense,0.30,0.32,0.32,0.33,0.34
99, Other Operating Expenses, 0.99,1.03,1.09,1.16,1.32
100,Overhead Less Non-Interest Income,1.36,1.33,1.35,1.35,1.32
101,PERCENT OF ADJUSTED OPERATING INCOME (TE): , , , , , 
102,Total Overhead Expense,63.42, 64.96, 66.10, 65.66, 66.80
103, Personnel Expense, 33.37, 33.86, 33.65, 32.38, 31.92
104, Net Occupancy Expense,7.26,7.58,7.48,7.59,7.51
105, Other Operating Expenses,22.14, 23.31, 24.47, 25.00, 26.49
106,Total Non-Interest Income, 30.70, 32.17, 33.40, 32.70, 35.18
107, Fiduciary Activities Income,2.50,2.69,2.53,2.67,2.42
108, Serv Charges on Deposit Accts - Domestic, 4.57,4.64,4.66,4.81,4.76
109, Trading Revenue,1.34,1.07,0.99,1.19,1.07
110, Investment Banking Fees & Commissions,2.35,2.77,2.86,2.67,2.55
111, Venture Capital Revenue,0.01,0.03,0.05,0.08,0.06
112, Net Servicing Fees, 0.09,0.77,0.73,0.56,1.02
113, Net Securitization Income,0.00,0.01,0.01,0.02,0.01
114, Insurance Activities Revenue, 0.83,0.80,0.91,0.79,0.96
115," Net Gain (Loss) - Sales Loans, OREO, Oth", 2.00,1.87,2.00,1.44,2.03
116, Other Non-Interest Income, 10.99, 10.66, 11.39, 10.43, 11.42
117,Overhead Less Non-Interest Income, 32.23, 32.31, 32.65, 32.51, 31.19
118, TAX RATIOS: , , , , , 
119,Appl Inc Taxes/Pretax NOI (TE),29.89, 29.62, 28.10, 29.18, 28.74
120, Appl Inc Tax+TE/Pretax NOI+TE, 34.51, 33.76, 32.75, 33.09, 32.22
121, , , , , , 
122, 4 , , , , , 
123,PERCENT OF TOTAL ASSETS,06/30/2016,06/30/2015,12/31/2015,12/31/2014,12/31/2013
124, Real Estate Loans, 34.90, 34.50, 33.17, 33.06, 32.61
125, Commercial and Industrial Loans, 13.43, 13.79, 13.80, 13.65, 12.50
126, Loans to Individuals, 5.08,4.61,5.19,5.05,5.25
127, Loans to Depository Institutions, 0.07,0.09,0.08,0.11,0.12
128, Agricultural Loans, 0.19,0.17,0.16,0.13,0.14
129, Other Loans and Leases, 5.21,5.13,5.25,4.81,4.53
130,Net Loans and Leases, 63.71, 62.81, 62.73, 61.48, 60.31
131, Debt Securities Over 1 Year, 15.11, 15.57, 15.34, 15.72, 15.65
132, Mutual Funds and Equity Securities, 0.08,0.09,0.10,0.10,0.13
133,Subtotal, 80.19, 79.83, 79.49, 78.79, 77.00
134, Interest-Bearing Bank Balances, 3.93,4.18,4.02,4.63,4.41
135, Federal Funds Sold & Reverse Repos, 0.77,0.68,0.84,0.68,0.85
136, Debt Securities 1 Year or Less, 2.12,2.04,2.20,2.08,2.67
137, Trading Assets, 0.83,0.66,0.74,0.77,0.80
138,Total Earning Assets, 90.14, 89.73, 89.84, 89.59, 88.94
139, Non-Int Cash and Due From Dep Inst, 1.12,1.20,1.15,1.24,1.38
140, Other Real Estate Owned,0.09,0.13,0.10,0.14,0.17
141, All Other Assets, 8.72,8.98,8.99,9.09,9.58
142,MEMORANDA: , , , , , 
143,Short-Term Investments, 8.15,7.94,8.39,8.39,8.97
144, U.S. Treasury Securities, 1.00,0.97,1.12,1.06,0.54
145, U.S. Agency Securities (excl MBS),0.89,1.21,1.07,1.19,1.36
146, Municipal Securities, 1.55,1.32,1.38,1.31,1.14
