,Column1,Value1,Value2,Value3,Value4,Value5
0, , 03/31/2005,03/31/2004,12/31/2004,12/31/2003,12/31/2002
1,Number of BHCs in Peer Group, 65,70,66,69,67EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.04,3.17,3.16,3.18,3.48
4,+ Non-interest Income,2.06,2.21,2.15,2.31,2.31
5,- Overhead Expense, 3.03,3.26,3.24,3.29,3.48
6,- Provision for Losses, 0.15,0.21,0.18,0.30,0.42
7,+ Securities Gains (Losses),0.02,0.07,0.03,0.06,0.06
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.97,2.03,1.95,1.98,2.04
10,Net Operating Income, 1.26,1.31,1.26,1.26,1.30
11,Net Income, 1.27,1.35,1.28,1.26,1.30
12,Interest Expense, 1.85,1.39,1.48,1.58,2.11
13,Net Interest Income (TE), 3.39,3.54,3.54,3.55,3.90
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.26,0.36,0.36,0.54,0.68
16,Earnings Coverage of Net Losses (X), 16.47, 13.98, 18.87, 10.06, 10.14
17,Ln&Ls Allowance/Total Loans & Leases, 1.26,1.45,1.29,1.45,1.57
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.52,0.76,0.58,0.77,0.94
19,30-89 Days Past Due Loans and Leases, 0.61,0.70,0.64,0.79,0.93
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,36.64, 34.57, 34.15, 35.40, 32.89
22,Net ST Noncore Funding Dependence, 20.48, 18.57, 18.53, 19.82, 18.72
23,Net Loans and Leases/Total Assets, 59.41, 58.69, 59.73, 58.56, 59.34
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.45,7.63,7.58,7.55,7.43
26,Equity Capital/Total Assets,9.01,8.69,9.19,8.59,8.58
27,Net Loans&Ls/Equity Capital (X),6.71,6.92,6.71,6.99,7.07
28,Cash Dividends/Net Income, 32.02, 32.34, 32.98, 32.23, 29.58
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 9.15, 10.16,9.28,9.62, 10.01
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 3.55,4.09,3.47,4.01,4.41
33,Long-Term Debt/Equity Capital, 12.01, 14.25, 11.53, 15.42, 13.73
34,Equity Investment in Subs/Equity Cap, 110.69,110.69,109.00,110.55,110.46
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 124.71,103.87,136.35,149.30,180.56
36,PERCENT OF AVERAGE ASSETS,03/31/2005,03/31/2004,12/31/2004,12/31/2003,12/31/2002
