,Column1,Value1,Value2,Value3,Value4,Value5
0, , 03/31/2003,03/31/2002,12/31/2002,12/31/2001,12/31/2000
1,Number of BHCs in Peer Group, 67,63,67,65,62EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,- Provision for Losses, 0.34,0.40,0.42,0.43,0.32
4,+ Securities Gains (Losses),0.09,0.04,0.06,0.06, -0.01
5,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
6,= Pretax Net Oper Income (TE),2.04,2.10,2.05,1.70,1.96
7,Net Operating Income, 1.31,1.32,1.31,1.05,1.22
8,Net Income, 1.30,1.32,1.30,1.01,1.22
9,Interest Expense, 1.69,2.20,2.10,3.43,4.50
10,Net Interest Income (TE), 3.69,3.91,3.91,3.74,3.78
11,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
12,Net Ln&Ls Losses/Avg Loans & Leases,0.54,0.58,0.68,0.58,0.43
13,Earnings Coverage of Net Losses (X), 13.23, 10.82, 10.15,9.73, 10.82
14,Ln&Ls Allowance/Total Loans & Leases, 1.56,1.59,1.57,1.51,1.44
15,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.97,0.99,0.94,0.94,0.76
16,30-89 Days Past Due Loans and Leases, 0.85,1.03,0.93,1.12,1.10
17,LIQUIDITY AND FUNDING:, , , , , 
18,Net Noncore Funding Dependence,32.09, 33.34, 32.84, 34.65, 37.54
19,Net ST Noncore Funding Dependence, 17.94, 19.36, 18.69, 20.87, 24.70
20,Equity Capital/Total Assets,8.61,8.52,8.59,8.31,8.07
21,Net Loans&Ls/Equity Capital (X),6.98,7.20,7.07,7.25,7.78
22,Cash Dividends/Net Income, 29.82, 27.70, 29.42, 37.30, 41.19
23,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
24,Retained Earnings/Avg Equity Cap,10.05, 10.46, 10.06,7.03,9.00
25,PARENT COMPANY RATIOS:, , , , , 
26,Short-Term Debt/Equity Capital, 4.40,5.45,4.41,5.07,7.09
27,Long-Term Debt/Equity Capital, 14.33, 13.33, 13.72, 14.08, 13.78
28,Equity Investment in Subs/Equity Cap, 110.37,110.03,110.06,109.16,109.77
29,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 115.06,149.06,180.60,166.05,150.79
30,PERCENT OF AVERAGE ASSETS,03/31/2003,03/31/2002,12/31/2002,12/31/2001,12/31/2000
31,Interest Income (TE), 4.80,5.46,5.37,6.44,7.42
32,Less: Interest Expense, 1.51,1.97,1.88,3.09,4.03
33,Equals: Net Interest Income (TE), 3.30,3.48,3.50,3.36,3.40
34,Plus: Non-Interest Income,2.34,2.36,2.28,2.35,2.52
35,Equals: Adj Operating Income (TE),5.62,5.82,5.78,5.71,5.90
36,Plus: Realized G/L on AFS Sec,0.09,0.04,0.06,0.06, -0.01
37,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
38,Memo: Net Income (Last Four Qtrs),1.29,1.06,1.30,1.02,1.22
39,MARGIN ANALYSIS:, , , , , 
40,Avg Earning Assets / Avg Assets, 89.63, 89.39, 89.52, 89.86, 89.77
41,Avg Int-Bearing Funds / Avg Assets,74.73, 75.74, 75.62, 75.19, 75.68
42,Int Income (TE) / Avg Earning Assets, 5.38,6.13,6.01,7.20,8.30
43,Int Expense / Avg Earning Assets, 1.69,2.20,2.10,3.43,4.50
44,Interest-Bearing Bank Balances, 2.05,2.63,2.30,4.65,7.59
45,Mortgage-Backed Securities, 4.37,5.54,5.24,5.91, N/A
46,Time Deposits < $100K,2.87,3.82,3.55,5.29,5.71
47,Other Domestic Deposits,0.97,1.30,1.29,2.30,3.16
48,All Interest-Bearing Funds, 2.03,2.59,2.49,4.15,5.38
49, , 03/31/2003,03/31/2002,12/31/2002,12/31/2001,12/31/2000
50,Avg Personnel Exp Per Employee ($000),16,15,62,59,58
51,Avg Assets per Employee ($000),"3,956"," 3,692"," 3,771"," 3,523"," 3,437"
52,ANALYSIS RATIOS, , , , , 
53,Personnel Expense,1.77,1.77,1.75,1.78,1.77
54,Net Occupancy Expense,0.47,0.47,0.48,0.48,0.49
55,Personnel Expense, 31.74, 30.54, 30.47, 30.93, 30.03
56,Net Occupancy Expense,8.27,8.23,8.27,8.64,8.40
57,Serv Charges on Deposit Accts - Domestic, 8.14,7.90,8.22,7.88,7.44
58,Trading Revenue,1.64,1.44,1.16,2.15, N/A
59,Investment Banking Fees & Commissions,4.18,4.61,4.68,5.02, N/A
60,Venture Capital Revenue, -0.08, -0.10, -0.22, -0.41, N/A
61,Net Servicing Fees, 0.47,1.26,0.94,1.09, N/A
62,Appl Inc Taxes/Pretax NOI (TE),31.72, 32.40, 31.65, 33.17, 33.08
63,Appl Inc Tax+TE/Pretax NOI+TE, 34.84, 35.35, 34.73, 37.17, 36.38
64,PERCENT OF TOTAL ASSETS,03/31/2003,03/31/2002,12/31/2002,12/31/2001,12/31/2000
65,Real Estate Loans, 34.21, 33.17, 34.29, 32.43, 32.12
66,Commercial and Industrial Loans, 12.06, 13.55, 12.34, 12.89, 16.03
67,Loans to Individuals, 6.29,6.32,6.43,6.23,7.24
68,Loans to Depository Institutions, 0.15,0.21,0.14,0.18,0.24
69,Agricultural Loans, 0.22,0.22,0.22,0.21,0.23
70,Mutual Funds and Equity Securities, 0.38,0.47,0.40,0.49,1.08
71, Subtotal, 78.69, 78.99, 79.03, 76.85, 79.58
72,Interest-Bearing Bank Balances, 0.69,0.78,0.63,1.07,0.75
73,Federal Funds Sold & Reverse Repos, 2.80,2.38,2.31,2.86,2.39
74,Debt Securities 1 Year or Less, 1.83,1.72,1.91,1.88,1.92
75,Trading Assets, 1.66,1.62,1.69,1.86,1.83
76, Total Earning Assets, 87.67, 87.89, 87.67, 87.12, 88.52
77,Non-Int Cash and Due From Dep Inst, 3.17,2.81,3.38,3.52,3.58
78,Acceptances,0.03,0.03,0.03,0.03,0.06
79,Other Real Estate Owned,0.06,0.06,0.06,0.05,0.04
80,U.S. Treasury Securities, 0.49,0.36,0.45,0.40,0.67
