,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 03/31/2016,03/31/2015,12/31/2015,12/31/2014,12/31/2013
2, Number of BHCs in Peer Group, 93,93,93,90,90
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.90,2.78,2.81,2.88,2.84
6, + Non-interest Income,1.33,1.43,1.45,1.51,1.74
7, - Overhead Expense, 2.75,2.80,2.85,2.93,3.15
8, - Provision for Losses, 0.24,0.13,0.17,0.14,0.19
9, + Securities Gains (Losses),0.02,0.02,0.01,0.02,0.02
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.30,1.36,1.33,1.42,1.40
12, Net Operating Income, 0.86,0.89,0.92,0.96,0.94
13, Net Income, 0.86,0.90,0.92,0.96,0.94
14, Net Income (Sub S Adjusted),0.97,1.19,1.41, N/A, N/A
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 3.65,3.56,3.59,3.71,3.82
17, Interest Expense, 0.46,0.46,0.46,0.49,0.60
18, Net Interest Income (TE), 3.18,3.08,3.09,3.18,3.17
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.28,0.23,0.31,0.30,0.44
21, Earnings Coverage of Net Losses (X), 12.61, 16.67, 15.90, 32.42, 19.55
22, Ln&Ls Allowance/Total Loans & Leases, 1.16,1.22,1.14,1.23,1.40
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,1.03,1.11,0.97,1.09,1.40
24, 30-89 Days Past Due Loans and Leases, 0.53,0.56,0.58,0.60,0.68
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,17.01, 16.59, 18.17, 17.28, 17.98
27, Net ST Noncore Funding Dependence,3.76,3.35,4.31,4.06,3.61
28, Net Loans and Leases/Total Assets, 63.18, 62.05, 62.73, 61.48, 60.31
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.64,9.78,9.68,9.82,9.63
31, Equity Capital/Total Assets, 11.62, 11.68, 11.65, 11.73, 11.61
32, Equity Capital+Minority Int/Total Assets,11.71, 11.80, 11.75, 11.90, 11.78
33, Tier 1 Common Eq Cap / T RWA,11.91, 12.30, 12.09, 11.92, 11.79
34, Net Loans&Ls/Equity Capital (X),5.45,5.32,5.42,5.27,5.28
35, Cash Dividends/Net Income, 30.28, 28.99, 28.05, 27.42, 27.33
36, Cash Dividends/Net Income (Sub S Adjusted), 124.72, 47.68, 15.95, N/A, N/A
37, Retained Earnings/Avg Equity Cap, 4.93,5.23,5.30,5.68,5.83
38, PARENT COMPANY RATIOS: , , , , , 
39,Short-Term Debt/Equity Capital, 0.95,2.22,1.23,2.43,2.95
40, Long-Term Debt/Equity Capital, 12.62, 10.18, 12.95, 10.76, 12.70
41, Equity Investment in Subs/Equity Cap, 102.77,102.34,102.41,102.66,104.36
42, Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 147.59,119.14,143.71,149.64,169.33
43, , , , , , 
44, 2 , , , , , 
45,PERCENT OF AVERAGE ASSETS,03/31/2016,03/31/2015,12/31/2015,12/31/2014,12/31/2013
46, Interest Income (TE), 3.34,3.23,3.25,3.35,3.41
47, Less: Interest Expense, 0.43,0.42,0.42,0.44,0.53
48, Equals: Net Interest Income (TE), 2.90,2.78,2.81,2.88,2.84
49, Plus: Non-Interest Income,1.33,1.43,1.45,1.51,1.74
50, Equals: Adj Operating Income (TE),4.30,4.31,4.39,4.51,4.73
51, Less: Overhead Expense, 2.75,2.80,2.85,2.93,3.15
52, Less: Provision for Loan and Lease Losses,0.24,0.13,0.17,0.14,0.19
53, Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
54, Plus: Realized G/L on AFS Sec,0.02,0.02,0.01,0.02,0.02
55, Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
56, Equals: Pretax Net Oper Inc (TE), 1.30,1.36,1.33,1.42,1.40
57,Less: Applicable Income Taxes (TE), 0.44,0.46,0.44,0.47,0.44
58, Less: Minority Interest,0.00,0.00,0.00,0.00,0.00
59, Equals: Net Operating Income, 0.86,0.89,0.92,0.96,0.94
60,Plus: Net Extraordinary Items,0.00,0.00,0.00,0.00,0.00
61, Equals: Net Income, 0.86,0.90,0.92,0.96,0.94
62, Memo: Net Income (Last Four Qtrs),0.91,0.93,0.93,0.96,0.94
63, MARGIN ANALYSIS: , , , , , 
64,Avg Earning Assets / Avg Assets, 91.65, 91.43, 91.37, 91.14, 90.56
65, Avg Int-Bearing Funds / Avg Assets,66.89, 67.49, 66.63, 67.00, 68.40
66, Int Income (TE) / Avg Earning Assets, 3.65,3.56,3.59,3.71,3.82
67, Int Expense / Avg Earning Assets, 0.46,0.46,0.46,0.49,0.60
68, Net Int Inc (TE) / Avg Earn Assets, 3.18,3.08,3.09,3.18,3.17
69,YIELD OR COST: , , , , , 
70,Total Loans and Leases (TE),4.36,4.29,4.30,4.50,4.72
71, Interest-Bearing Bank Balances, 0.48,0.28,0.28,0.28,0.32
72, Fed Funds Sold & Reverse Repos, 0.65,0.50,0.48,0.43,0.39
