,Column1,Value1,Value2,Value3,Value4,Value5
0, 1 , , , , , 
1, , 12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
2, Number of BHCs in Peer Group, 90,70,70,73,69
3,EARNINGS AND PROFITABILITY , , , , , 
4,PERCENT OF AVERAGE ASSETS: , , , , , 
5,Net Interest Income (TE), 2.90,3.04,3.04,2.85,2.91
6, + Non-interest Income,1.88,1.61,1.89,1.92,1.58
7, - Overhead Expense, 3.34,3.16,3.19,3.28,3.29
8, - Provision for Losses, 0.33,0.49,1.10,1.96,1.20
9, + Securities Gains (Losses),0.04,0.05,0.06,0.02, -0.12
10, + Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
11, = Pretax Net Oper Income (TE),1.28,1.12,0.77, -0.39, -0.16
12, Net Operating Income, 0.88,0.72,0.51, -0.40, -0.26
13, Net Income, 0.87,0.72,0.51, -0.38, -0.27
14, Net Income (Sub S Adjusted),0.17, N/A, N/A, N/A, N/A
15,PERCENT OF AVG EARNING ASSETS: , , , , , 
16,Interest Income (TE), 4.07,4.32,4.54,4.70,5.70
17, Interest Expense, 0.74,0.88,1.07,1.52,2.41
18, Net Interest Income (TE), 3.28,3.37,3.39,3.16,3.25
19," LOSSES, ALLOW, AND PAST DUE+NONACCR: ", , , , , 
20,Net Ln&Ls Losses/Avg Loans & Leases,0.74,1.17,2.04,2.33,1.10
21, Earnings Coverage of Net Losses (X),8.80,3.51,2.53,1.67,2.24
22, Ln&Ls Allowance/Total Loans & Leases, 1.61,2.11,2.63,2.80,1.84
23, Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,1.95,2.74,3.75,4.24,2.45
24, 30-89 Days Past Due Loans and Leases, 0.87,0.96,1.20,1.51,1.58
25, LIQUIDITY AND FUNDING: , , , , , 
26,Net Noncore Funding Dependence,19.36, 20.15, 25.33, 30.25, 37.21
27, Net ST Noncore Funding Dependence,3.44,4.17,6.24, 10.25, 22.32
28, Net Loans and Leases/Total Assets, 57.96, 57.64, 57.51, 59.71, 63.39
29, CAPITALIZATION: , , , , , 
30,Tier 1 Leverage Ratio,9.37,9.26,9.03,8.69,8.43
31, Equity Capital/Total Assets, 11.30, 10.91, 10.66, 10.01,9.42
32, Equity Capital+Minority Int/Total Assets,11.59, 11.12, 10.80, 10.22,9.70
33, Tier 1 Common Eq Cap / T RWA,11.46, 11.33, 10.47,8.37, N/A
34, Net Loans&Ls/Equity Capital (X),5.20,5.26,5.41,6.29,7.08
35, Cash Dividends/Net Income, 25.15, 24.89, 35.74, 59.69, 74.27
36, Cash Dividends/Net Income (Sub S Adjusted), -19.73, N/A, N/A, N/A, N/A
37, Retained Earnings/Avg Equity Cap, 5.49,4.71,3.00, -7.11, -8.15
38, PARENT COMPANY RATIOS: , , , , , 
39,Short-Term Debt/Equity Capital, 2.53,3.85,2.78,3.30,3.22
40, Long-Term Debt/Equity Capital, 13.74, 14.07, 16.28, 15.74, 11.65
41, Equity Investment in Subs/Equity Cap, 106.52,107.31,108.44,108.82,105.00
42, Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 160.44,126.32,115.83, 99.52, 96.96
43, , , , , , 
44, 2 , , , , , 
45,PERCENT OF AVERAGE ASSETS,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
46, Interest Income (TE), 3.59,3.90,4.07,4.26,5.11
47, Less: Interest Expense, 0.65,0.79,0.96,1.38,2.16
48, Equals: Net Interest Income (TE), 2.90,3.04,3.04,2.85,2.91
49, Plus: Non-Interest Income,1.88,1.61,1.89,1.92,1.58
50, Equals: Adj Operating Income (TE),4.89,4.66,4.92,4.75,4.55
51, Less: Overhead Expense, 3.34,3.16,3.19,3.28,3.29
52, Less: Provision for Loan and Lease Losses,0.33,0.49,1.10,1.96,1.20
53, Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
54, Plus: Realized G/L on AFS Sec,0.04,0.05,0.06,0.03, -0.10
55, Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
56, Equals: Pretax Net Oper Inc (TE), 1.28,1.12,0.77, -0.39, -0.16
57,Less: Applicable Income Taxes (TE), 0.42,0.39,0.29,0.03,0.09
58, Less: Minority Interest,0.01,0.01,0.00,0.00,0.00
59, Equals: Net Operating Income, 0.88,0.72,0.51, -0.40, -0.26
60,Plus: Net Extraordinary Items,0.00,0.00,0.00,0.00,0.00
61, Equals: Net Income, 0.87,0.72,0.51, -0.38, -0.27
62, Memo: Net Income (Last Four Qtrs),0.86,0.72,0.52, -0.38, -0.27
63, MARGIN ANALYSIS: , , , , , 
64,Avg Earning Assets / Avg Assets, 89.86, 90.30, 89.93, 90.59, 89.81
65, Avg Int-Bearing Funds / Avg Assets,68.68, 70.86, 72.85, 75.28, 77.65
66, Int Income (TE) / Avg Earning Assets, 4.07,4.32,4.54,4.70,5.70
67, Int Expense / Avg Earning Assets, 0.74,0.88,1.07,1.52,2.41
68, Net Int Inc (TE) / Avg Earn Assets, 3.28,3.37,3.39,3.16,3.25
69,YIELD OR COST: , , , , , 
70,Total Loans and Leases (TE),5.06,5.34,5.44,5.29,6.10
71, Interest-Bearing Bank Balances, 0.31,0.34,0.35,0.46,2.18
72, Fed Funds Sold & Reverse Repos, 0.40,0.38,0.45,0.50,2.41
73, Trading Assets, 1.26,1.43,1.37,1.42,2.55
74, Total Earning Assets, 4.03,4.26,4.46,4.64,5.65
75,Investment Securities (TE), 2.65,2.99,3.49,4.18,4.98
76, U.S. Treasury & Agency Sec (excl MBS),1.48,1.74,2.23,2.52,4.27
77, Mortgage-Backed Securities, 2.69,3.16,3.82,4.53,4.84
78, All Other Securities, 4.28,4.73,4.79,5.72,6.71
79,Interest-Bearing Deposits,0.53,0.67,0.88,1.48,2.43
80, Time Deposits of $100K or More, 1.12,1.30,1.55,2.36,3.56
81, Time Deposits < $100K,1.23,1.47,1.76,2.58,3.53
82, Other Domestic Deposits,0.28,0.38,0.53,0.75,1.46
83, Foreign Deposits, 0.45,0.50,0.48,0.72,2.20
84,Fed Funds Purchased and Repos,0.91,0.86,0.82,1.09,2.37
85, Other Borrowed Funds & Trading Liab,2.36,2.41,2.48,2.45,3.32
86, All Interest-Bearing Funds, 0.85,1.11,1.31,1.82,2.80
87, , , , , , 
88, 3 , , , , , 
89, , 12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
90, Avg Personnel Exp Per Employee ($000),97,90,89,82,76
91, Avg Assets per Employee ($000),"7,080"," 6,503"," 6,303"," 6,201"," 5,749"
92, ANALYSIS RATIOS , , , , , 
93,Mutual Fund Fee Inc / Non-Int Income, 2.84,3.12,2.86,2.66,3.67
94,Overhead Exp / NII + Non-Int Income, 69.09, 68.43, 65.92, 73.71, 74.49
95,PERCENT OF AVERAGE ASSETS: , , , , , 
96,Total Overhead Expense, 3.34,3.16,3.19,3.28,3.29
97, Personnel Expense,1.49,1.51,1.53,1.45,1.46
98, Net Occupancy Expense,0.34,0.36,0.38,0.38,0.39
99, Other Operating Expenses, 1.50,1.23,1.24,1.40,1.36
100,Overhead Less Non-Interest Income,1.37,1.49,1.28,1.30,1.59
101,PERCENT OF ADJUSTED OPERATING INCOME (TE): , , , , , 
102,Total Overhead Expense,68.49, 67.63, 65.03, 72.69, 73.74
103, Personnel Expense, 31.26, 32.51, 31.04, 31.47, 32.35
104, Net Occupancy Expense,7.39,7.92,7.84,8.42,8.80
105, Other Operating Expenses,29.41, 26.22, 25.37, 32.61, 32.19
106,Total Non-Interest Income, 36.31, 33.59, 36.35, 36.93, 31.80
107, Fiduciary Activities Income,2.18,2.81,3.28,3.21,4.61
108, Serv Charges on Deposit Accts - Domestic, 4.62,5.74,6.22,7.38,7.75
109, Trading Revenue,1.35,1.58,1.80,1.69,0.31
110, Investment Banking Fees & Commissions,2.80,2.86,3.07,3.00,3.10
111, Venture Capital Revenue,0.11,0.12,0.12, -0.06, -0.02
112, Net Servicing Fees, 0.64,0.67,0.92,1.75,0.71
113, Net Securitization Income,0.01,0.01,0.00,0.13,0.17
114, Insurance Activities Revenue, 1.11,1.03,1.00,1.08,0.98
115," Net Gain (Loss) - Sales Loans, OREO, Oth", 2.00,0.42,0.49, -0.18,0.25
116, Other Non-Interest Income, 12.10, 12.01, 12.94, 14.89, 11.68
117,Overhead Less Non-Interest Income, 31.81, 33.69, 28.72, 34.78, 41.37
118, TAX RATIOS: , , , , , 
119,Appl Inc Taxes/Pretax NOI (TE),27.17, 27.79, 21.65, 23.39, 24.01
120, Appl Inc Tax+TE/Pretax NOI+TE, 30.96, 32.83, 29.75, 30.98, 31.44
121, , , , , , 
122, 4 , , , , , 
123,PERCENT OF TOTAL ASSETS,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
124, Real Estate Loans, 32.33, 32.56, 34.18, 37.26, 40.98
125, Commercial and Industrial Loans, 11.71, 11.70, 11.77, 12.18, 13.26
126, Loans to Individuals, 4.94,6.00,5.68,5.34,4.89
127, Loans to Depository Institutions, 0.10,0.14,0.07,0.05,0.08
128, Agricultural Loans, 0.12,0.15,0.17,0.17,0.19
129, Other Loans and Leases, 4.07,3.49,3.40,3.20,3.01
130,Net Loans and Leases, 57.96, 57.64, 57.51, 59.71, 63.39
131, Debt Securities Over 1 Year, 15.92, 16.67, 16.23, 15.06, 13.34
132, Mutual Funds and Equity Securities, 0.12,0.12,0.18,0.19,0.17
