,Column1,Value1,Value2,Value3,Value4,Value5
0, , 09/30/2007,09/30/2006,12/31/2006,12/31/2005,12/31/2004
1,Number of BHCs in Peer Group, 66,66,68,69,66EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.00,3.06,3.09,3.08,3.16
4,+ Non-interest Income,1.80,1.97,1.91,2.04,2.13
5,- Overhead Expense, 2.93,2.98,2.97,3.06,3.24
6,- Provision for Losses, 0.24,0.14,0.15,0.15,0.18
7,+ Securities Gains (Losses),0.01,0.00, -0.01,0.01,0.03
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.61,1.86,1.83,1.93,1.94
10,Net Operating Income, 1.04,1.21,1.18,1.25,1.26
11,Net Income, 1.03,1.24,1.21,1.26,1.28
12,Interest Expense, 3.46,3.05,3.16,2.21,1.48
13,Net Interest Income (TE), 3.34,3.41,3.42,3.44,3.54
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.30,0.21,0.23,0.28,0.35
16,Earnings Coverage of Net Losses (X), 22.53, 20.57, 33.33, 22.75, 18.87
17,Ln&Ls Allowance/Total Loans & Leases, 1.14,1.10,1.11,1.13,1.28
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.83,0.52,0.57,0.48,0.58
19,30-89 Days Past Due Loans and Leases, 0.95,0.73,0.81,0.69,0.64
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,39.89, 38.52, 37.63, 37.84, 35.51
22,Net ST Noncore Funding Dependence, 25.51, 24.31, 23.41, 23.54, 19.41
23,Net Loans and Leases/Total Assets, 63.33, 62.75, 62.65, 60.09, 59.70
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.63,7.62,7.79,7.44,7.57
26,Equity Capital/Total Assets,9.65,9.22,9.22,8.88,9.05
27,Net Loans&Ls/Equity Capital (X),6.93,6.92,6.97,6.97,6.80
28,Cash Dividends/Net Income, 43.71, 36.87, 36.79, 39.51, 33.11
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 5.85,8.58,8.58,8.47,9.27
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 3.27,3.06,3.12,2.55,3.47
33,Long-Term Debt/Equity Capital, 11.89, 12.77, 11.77, 12.45, 12.04
34,Equity Investment in Subs/Equity Cap, 111.52,109.49,110.24,108.78,109.21
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 151.79,127.60,134.43,147.51,136.30
36,PERCENT OF AVERAGE ASSETS,09/30/2007,09/30/2006,12/31/2006,12/31/2005,12/31/2004
37,Interest Income (TE), 6.15,5.83,5.95,5.07,4.46
38,Less: Interest Expense, 3.10,2.74,2.85,1.98,1.32
39,Equals: Net Interest Income (TE), 3.00,3.06,3.09,3.08,3.16
40,Plus: Non-Interest Income,1.80,1.97,1.91,2.04,2.13
41,Equals: Adj Operating Income (TE),4.83,5.01,4.98,5.14,5.31
42,Less: Overhead Expense, 2.93,2.98,2.97,3.06,3.24
43,Less: Provision for Loan and Lease Losses,0.24,0.14,0.15,0.15,0.18
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.01,0.00, -0.01,0.01,0.03
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),1.04,1.23,1.21,1.26,1.30
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 89.68, 89.90, 90.22, 89.84, 89.69
50,Avg Int-Bearing Funds / Avg Assets,75.94, 75.17, 75.81, 74.48, 73.82
51,Int Income (TE) / Avg Earning Assets, 6.84,6.48,6.60,5.65,5.01
52,Int Expense / Avg Earning Assets, 3.46,3.05,3.16,2.21,1.48
53,Interest-Bearing Bank Balances, 5.34,4.44,5.07,3.49,2.01
54,Fed Funds Sold & Reverse Repos, 5.32,4.97,5.08,3.24,1.49
55,Trading Assets, 3.39,2.77,2.87,2.47,3.33
56,Mortgage-Backed Securities, 4.91,4.68,4.70,4.31,4.17
57,Time Deposits < $100K,4.48,3.80,3.99,2.90,2.42
58,Other Domestic Deposits,2.55,2.17,2.26,1.41,0.79
