,Column1,Value1,Value2,Value3,Value4,Value5
0, , 09/30/2003,09/30/2002,12/31/2002,12/31/2001,12/31/2000
1,Number of BHCs in Peer Group, 68,66,67,65,62EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.19,3.51,3.49,3.34,3.38
4,+ Non-interest Income,2.31,2.30,2.32,2.39,2.56
5,- Overhead Expense, 3.32,3.46,3.48,3.65,3.62
6,- Provision for Losses, 0.32,0.43,0.42,0.42,0.32
7,+ Securities Gains (Losses),0.07,0.05,0.06,0.06, -0.01
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.97,2.05,2.04,1.70,1.96
10,Net Operating Income, 1.25,1.30,1.30,1.05,1.22
11,Net Income, 1.25,1.30,1.30,1.01,1.22
12,Interest Expense, 1.63,2.17,2.11,3.43,4.50
13,Net Interest Income (TE), 3.56,3.93,3.91,3.72,3.77
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.53,0.70,0.68,0.58,0.43
16,Earnings Coverage of Net Losses (X), 11.15, 10.20, 10.15,9.73, 10.86
17,Ln&Ls Allowance/Total Loans & Leases, 1.49,1.54,1.57,1.51,1.44
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.86,0.99,0.94,0.94,0.76
19,30-89 Days Past Due Loans and Leases, 0.73,0.88,0.93,1.11,1.10
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,35.19, 33.04, 32.90, 34.71, 37.61
22,Net ST Noncore Funding Dependence, 19.48, 18.80, 18.72, 20.91, 24.74
23,Net Loans and Leases/Total Assets, 58.71, 59.16, 59.34, 58.93, 63.19
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.42,7.55,7.44,7.34,7.35
26,Equity Capital/Total Assets,8.41,8.56,8.59,8.31,8.07
27,Net Loans&Ls/Equity Capital (X),7.15,7.05,7.06,7.23,7.76
28,Cash Dividends/Net Income, 32.51, 29.23, 29.49, 37.77, 41.18
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 9.53, 10.01, 10.04,7.01,9.01
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 3.56,4.61,4.41,5.07,7.09
33,Long-Term Debt/Equity Capital, 15.04, 13.97, 13.72, 14.08, 13.77
34,Equity Investment in Subs/Equity Cap, 111.52,109.76,110.46,109.14,109.76
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 140.61,154.63,180.56,166.05,150.79
36,PERCENT OF AVERAGE ASSETS,09/30/2003,09/30/2002,12/31/2002,12/31/2001,12/31/2000
37,Interest Income (TE), 4.67,5.43,5.36,6.43,7.40
38,Less: Interest Expense, 1.46,1.93,1.88,3.08,4.03
39,Equals: Net Interest Income (TE), 3.19,3.51,3.49,3.34,3.38
40,Plus: Non-Interest Income,2.31,2.30,2.32,2.39,2.56
41,Equals: Adj Operating Income (TE),5.51,5.82,5.81,5.74,5.93
42,Less: Overhead Expense, 3.32,3.46,3.48,3.65,3.62
43,Less: Provision for Loan and Lease Losses,0.32,0.43,0.42,0.42,0.32
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.07,0.05,0.06,0.06, -0.01
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),1.27,1.17,1.30,1.02,1.22
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 89.78, 89.25, 89.35, 89.82, 89.73
50,Avg Int-Bearing Funds / Avg Assets,74.66, 75.78, 75.57, 75.19, 75.67
51,Int Income (TE) / Avg Earning Assets, 5.23,6.10,6.01,7.19,8.29
52,Int Expense / Avg Earning Assets, 1.63,2.17,2.11,3.43,4.50
53,Interest-Bearing Bank Balances, 2.19,2.28,2.31,4.65,7.59
54,Fed Funds Sold & Reverse Repos, 1.41,1.97,1.91,4.11,6.41
55,Trading Assets, 2.41,2.39,2.35,3.96,4.73
56,Mortgage-Backed Securities, 4.24,5.39,5.24,5.91, N/A
57,Time Deposits < $100K,2.77,3.64,3.55,5.29,5.71
58,Other Domestic Deposits,0.90,1.33,1.29,2.30,3.16
59,All Interest-Bearing Funds, 1.96,2.55,2.49,4.15,5.38
60, , 09/30/2003,09/30/2002,12/31/2002,12/31/2001,12/31/2000
61,Avg Personnel Exp Per Employee ($000),50,46,62,59,58
62,Avg Assets per Employee ($000),"4,315"," 3,719"," 3,771"," 3,523"," 3,437"
63,ANALYSIS RATIOS, , , , , 
64,Personnel Expense,1.70,1.76,1.75,1.78,1.77
65,Net Occupancy Expense,0.45,0.47,0.48,0.48,0.49
66,Personnel Expense, 30.96, 30.40, 30.38, 30.81, 29.92
67,Net Occupancy Expense,8.14,8.26,8.25,8.60,8.36
68,Serv Charges on Deposit Accts - Domestic, 7.90,8.16,8.18,7.84,7.40
69,Trading Revenue,1.49,1.24,1.15,2.15, N/A
70,Investment Banking Fees & Commissions,4.64,4.61,4.67,5.01, N/A
71,Venture Capital Revenue,0.00, -0.22, -0.22, -0.41, N/A
72,Net Servicing Fees, 0.47,1.08,0.94,1.09, N/A
73,Net Securitization Income,0.52,0.41,0.47,0.54, N/A
74,Insurance Activities Revenue, 1.15,1.14,1.15,1.02, N/A
75,"Net Gain (Loss) - Sales Loans, OREO, Oth", 3.04,1.24,1.84,1.22, N/A
76,Appl Inc Taxes/Pretax NOI (TE),31.47, 31.93, 31.64, 33.17, 33.08
