,Column1,Value1,Value2,Value3,Value4,Value5
0, , 12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
1,Number of BHCs in Peer Group, 66,69,67,65,62EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.16,3.18,3.48,3.34,3.38
4,+ Non-interest Income,2.15,2.31,2.31,2.39,2.56
5,- Overhead Expense, 3.24,3.29,3.48,3.64,3.62
6,- Provision for Losses, 0.18,0.30,0.42,0.42,0.32
7,+ Securities Gains (Losses),0.03,0.06,0.06,0.06, -0.01
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.94,1.98,2.04,1.70,1.96
10,Net Operating Income, 1.26,1.26,1.30,1.05,1.22
11,Net Income, 1.28,1.26,1.30,1.01,1.22
12,Interest Expense, 1.48,1.58,2.11,3.43,4.50
13,Net Interest Income (TE), 3.54,3.55,3.90,3.72,3.77
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.36,0.54,0.68,0.58,0.43
16,Earnings Coverage of Net Losses (X), 18.86, 10.06, 10.14,9.73, 10.85
17,Ln&Ls Allowance/Total Loans & Leases, 1.29,1.45,1.57,1.51,1.44
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.58,0.77,0.94,0.94,0.76
19,30-89 Days Past Due Loans and Leases, 0.64,0.79,0.93,1.11,1.10
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,34.15, 35.40, 32.89, 34.71, 37.61
22,Net ST Noncore Funding Dependence, 18.53, 19.82, 18.72, 20.90, 24.74
23,Net Loans and Leases/Total Assets, 59.73, 58.56, 59.34, 58.93, 63.19
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.58,7.55,7.43,7.34,7.35
26,Equity Capital/Total Assets,9.19,8.59,8.58,8.31,8.07
27,Net Loans&Ls/Equity Capital (X),6.71,6.99,7.07,7.23,7.76
28,Cash Dividends/Net Income, 32.98, 32.23, 29.58, 37.89, 41.21
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 9.28,9.62, 10.01,7.00,9.00
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 3.47,4.01,4.41,5.07,7.09
33,Long-Term Debt/Equity Capital, 11.53, 15.42, 13.73, 14.08, 13.78
34,Equity Investment in Subs/Equity Cap, 109.00,110.55,110.46,109.14,109.77
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 136.35,149.30,180.56,166.06,150.79
36,PERCENT OF AVERAGE ASSETS,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
37,Interest Income (TE), 4.46,4.62,5.36,6.43,7.40
38,Less: Interest Expense, 1.32,1.42,1.88,3.09,4.03
39,Equals: Net Interest Income (TE), 3.16,3.18,3.48,3.34,3.38
40,Plus: Non-Interest Income,2.15,2.31,2.31,2.39,2.56
41,Equals: Adj Operating Income (TE),5.33,5.49,5.81,5.74,5.92
42,Less: Overhead Expense, 3.24,3.29,3.48,3.64,3.62
43,Less: Provision for Loan and Lease Losses,0.18,0.30,0.42,0.42,0.32
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.03,0.06,0.06,0.06, -0.01
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
