,Column1,Value1,Value2,Value3,Value4,Value5
0, , 03/31/2010,03/31/2009,12/31/2009,12/31/2008,12/31/2007
1,Number of BHCs in Peer Group, 73,74,73,69,66EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.01,2.71,2.85,2.91,3.00
4,+ Non-interest Income,1.79,1.79,1.92,1.58,1.64
5,- Overhead Expense, 3.06,3.08,3.28,3.29,2.96
6,- Provision for Losses, 1.47,1.66,1.96,1.20,0.36
7,+ Securities Gains (Losses),0.05,0.03,0.02, -0.12, -0.02
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),0.37, -0.11, -0.39, -0.16,1.31
10,Net Operating Income, 0.22, -0.08, -0.40, -0.25,0.86
11,Net Income, 0.21, -0.08, -0.38, -0.27,0.87
12,Interest Expense, 1.19,1.79,1.52,2.41,3.44
13,Net Interest Income (TE), 3.35,3.00,3.16,3.25,3.34
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,2.31,1.68,2.33,1.10,0.38
16,Earnings Coverage of Net Losses (X),2.51,2.33,1.67,2.25, 13.40
17,Ln&Ls Allowance/Total Loans & Leases, 2.88,2.20,2.80,1.84,1.22
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,4.41,3.13,4.26,2.45,1.08
19,30-89 Days Past Due Loans and Leases, 1.50,1.73,1.52,1.58,1.03
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,27.44, 36.66, 30.21, 37.21, 41.09
22,Net ST Noncore Funding Dependence,7.32, 17.87,9.74, 22.32, 26.17
23,Net Loans and Leases/Total Assets, 58.93, 62.53, 59.27, 63.39, 63.85
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,8.87,8.59,8.71,8.43,7.42
26,Equity Capital/Total Assets, 10.40,9.86, 10.02,9.42,9.31
27,Equity Capital+Minority Int/Total Assets,10.54, 10.10, 10.23,9.70,9.42
28,Net Loans&Ls/Equity Capital (X),5.82,6.60,6.29,7.08,7.17
29,Cash Dividends/Net Income, 42.68, 68.78, 59.69, 81.15, 50.49
30,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
31,Retained Earnings/Avg Equity Cap, 0.25, -4.36, -7.09, -8.12,3.67
32,PARENT COMPANY RATIOS:, , , , , 
33,Short-Term Debt/Equity Capital, 3.17,4.41,3.30,3.22,3.73
34,Long-Term Debt/Equity Capital, 15.34, 15.87, 15.74, 11.65, 11.89
35,Equity Investment in Subs/Equity Cap, 108.96,104.56,108.81,105.00,112.58
36,Cash FR Oper+Noncash+Op Exp/Op Exp+Div,51.49, 70.73, 98.26, 96.96,138.88
37,PERCENT OF AVERAGE ASSETS,03/31/2010,03/31/2009,12/31/2009,12/31/2008,12/31/2007
38,Interest Income (TE), 4.17,4.35,4.26,5.11,6.13
39,Less: Interest Expense, 1.08,1.62,1.38,2.16,3.08
40,Equals: Net Interest Income (TE), 3.01,2.71,2.85,2.91,3.00
41,Plus: Non-Interest Income,1.79,1.79,1.92,1.58,1.64
42,Equals: Adj Operating Income (TE),4.81,4.49,4.75,4.55,4.68
43,Less: Overhead Expense, 3.06,3.08,3.28,3.29,2.96
44,Less: Provision for Loan and Lease Losses,1.47,1.66,1.96,1.20,0.36
45,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
46,Plus: Realized G/L on AFS Sec,0.06,0.03,0.03, -0.10, -0.02
47,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
48,Memo: Net Income (Last Four Qtrs), -0.20, -0.53, -0.38, -0.27,0.85
49,MARGIN ANALYSIS:, , , , , 
