,Column1,Value1,Value2,Value3,Value4,Value5
0, , 12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
1,Number of BHCs in Peer Group, 69,70,73,69,66EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.04,3.04,2.85,2.91,3.00
4,+ Non-interest Income,1.63,1.89,1.92,1.58,1.64
5,- Overhead Expense, 3.18,3.19,3.28,3.29,2.96
6,- Provision for Losses, 0.49,1.10,1.96,1.20,0.36
7,+ Securities Gains (Losses),0.05,0.06,0.02, -0.12, -0.02
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.12,0.77, -0.39, -0.16,1.31
10,Net Operating Income, 0.72,0.51, -0.40, -0.26,0.86
11,Net Income, 0.72,0.51, -0.38, -0.27,0.87
12,Interest Expense, 0.87,1.07,1.52,2.41,3.44
13,Net Interest Income (TE), 3.38,3.39,3.16,3.25,3.34
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,1.18,2.04,2.33,1.10,0.38
16,Earnings Coverage of Net Losses (X),3.52,2.54,1.67,2.24, 13.40
17,Ln&Ls Allowance/Total Loans & Leases, 2.11,2.63,2.80,1.84,1.22
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,2.71,3.75,4.24,2.45,1.08
19,30-89 Days Past Due Loans and Leases, 0.95,1.20,1.51,1.58,1.03
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,19.53, 25.40, 30.25, 37.21, 41.10
22,Net ST Noncore Funding Dependence,3.97,6.24, 10.25, 22.32, 26.17
23,Net Loans and Leases/Total Assets, 57.60, 57.51, 59.71, 63.39, 63.84
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,9.34,9.03,8.69,8.43,7.40
26,Equity Capital/Total Assets, 10.86, 10.66, 10.01,9.42,9.30
27,Equity Capital+Minority Int/Total Assets,11.07, 10.81, 10.22,9.70,9.41
