,Column1,Value1,Value2,Value3,Value4,Value5
0, , 06/30/2007,06/30/2006,12/31/2006,12/31/2005,12/31/2004
1,Number of BHCs in Peer Group, 67,67,68,69,66EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.00,3.09,3.09,3.08,3.16
4,+ Non-interest Income,1.96,1.97,1.91,2.04,2.13
5,- Overhead Expense, 3.03,2.99,2.97,3.06,3.24
6,- Provision for Losses, 0.22,0.13,0.15,0.15,0.18
7,+ Securities Gains (Losses),0.00,0.00, -0.01,0.01,0.03
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.71,1.89,1.83,1.93,1.94
10,Net Operating Income, 1.12,1.22,1.18,1.25,1.26
11,Net Income, 1.12,1.25,1.21,1.26,1.28
12,Interest Expense, 3.49,2.89,3.16,2.21,1.48
13,Net Interest Income (TE), 3.33,3.44,3.42,3.44,3.54
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.26,0.20,0.23,0.28,0.35
16,Earnings Coverage of Net Losses (X), 25.16, 19.99, 33.33, 22.75, 18.87
17,Ln&Ls Allowance/Total Loans & Leases, 1.12,1.10,1.11,1.13,1.28
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.68,0.49,0.57,0.48,0.58
19,30-89 Days Past Due Loans and Leases, 0.74,0.62,0.81,0.69,0.64
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,38.83, 37.65, 37.64, 37.84, 35.51
22,Net ST Noncore Funding Dependence, 24.46, 23.63, 23.42, 23.54, 19.41
23,Net Loans and Leases/Total Assets, 63.06, 62.65, 62.64, 60.09, 59.70
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.63,7.56,7.79,7.44,7.57
26,Equity Capital/Total Assets,9.07,8.93,9.22,8.88,9.05
27,Net Loans&Ls/Equity Capital (X),7.17,7.14,6.97,6.97,6.80
28,Cash Dividends/Net Income, 40.13, 34.96, 36.79, 39.51, 33.11
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 6.86,8.88,8.58,8.47,9.27
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 3.74,2.88,3.12,2.55,3.47
33,Long-Term Debt/Equity Capital, 13.07, 12.50, 11.77, 12.45, 12.04
34,Equity Investment in Subs/Equity Cap, 112.03,109.42,110.24,108.78,109.21
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 148.40,125.38,134.43,147.51,136.30
36,PERCENT OF AVERAGE ASSETS,06/30/2007,06/30/2006,12/31/2006,12/31/2005,12/31/2004
37,Interest Income (TE), 6.15,5.70,5.95,5.07,4.46
38,Less: Interest Expense, 3.14,2.59,2.85,1.98,1.32
39,Equals: Net Interest Income (TE), 3.00,3.09,3.09,3.08,3.16
40,Plus: Non-Interest Income,1.96,1.97,1.91,2.04,2.13
41,Equals: Adj Operating Income (TE),5.01,5.03,4.98,5.14,5.31
42,Less: Overhead Expense, 3.03,2.99,2.97,3.06,3.24
43,Less: Provision for Loan and Lease Losses,0.22,0.13,0.15,0.15,0.18
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.00,0.00, -0.01,0.01,0.03
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),1.13,1.24,1.21,1.26,1.30
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 90.04, 89.91, 90.22, 89.84, 89.69
50,Avg Int-Bearing Funds / Avg Assets,76.29, 75.02, 75.81, 74.48, 73.82
51,Int Income (TE) / Avg Earning Assets, 6.80,6.34,6.60,5.65,5.01
52,Int Expense / Avg Earning Assets, 3.49,2.89,3.16,2.21,1.48
53,Interest-Bearing Bank Balances, 5.36,4.10,5.07,3.49,2.01
54,Fed Funds Sold & Reverse Repos, 5.34,4.73,5.08,3.24,1.49
55,Trading Assets, 3.60,2.80,2.87,2.47,3.33
56,Mortgage-Backed Securities, 4.97,4.58,4.70,4.31,4.17
57,Time Deposits < $100K,4.49,3.63,3.99,2.90,2.42
58,Other Domestic Deposits,2.54,2.03,2.26,1.41,0.79
59,All Interest-Bearing Funds, 4.12,3.47,3.77,2.64,1.82
60, , 06/30/2007,06/30/2006,12/31/2006,12/31/2005,12/31/2004
61,Avg Personnel Exp Per Employee ($000),39,38,74,73,68
62,Avg Assets per Employee ($000),"5,211"," 4,977"," 5,056"," 4,727"," 4,581"
63,ANALYSIS RATIOS, , , , , 
64,Personnel Expense,1.66,1.65,1.61,1.65,1.65
65,Net Occupancy Expense,0.42,0.41,0.40,0.42,0.43
66,Personnel Expense, 32.76, 32.38, 32.05, 31.93, 31.43
67,Net Occupancy Expense,8.23,8.06,8.03,8.03,8.10
68,Serv Charges on Deposit Accts - Domestic, 7.06,7.19,6.77,7.26,7.62
69,Trading Revenue,1.18,1.19,1.15,1.03,1.05
70,Investment Banking Fees & Commissions,3.18,3.18,2.97,3.72,4.06
71,Venture Capital Revenue,0.21,0.15,0.19,0.18,0.18
72,Net Servicing Fees, 0.71,1.14,0.76,1.12,0.99
73,Net Securitization Income,0.35,0.25,0.33,0.24,0.29
74,Insurance Activities Revenue, 1.20,1.56,1.43,1.49,1.84
75,"Net Gain (Loss) - Sales Loans, OREO, Oth", 1.60,1.24,1.36,1.60,1.52
76,Appl Inc Taxes/Pretax NOI (TE),30.93, 31.47, 30.56, 31.62, 31.18
77,Appl Inc Tax+TE/Pretax NOI+TE, 34.43, 34.63, 34.16, 34.64, 34.68
78,PERCENT OF TOTAL ASSETS,06/30/2007,06/30/2006,12/31/2006,12/31/2005,12/31/2004
79,Real Estate Loans, 40.22, 39.57, 39.86, 37.12, 36.78
80,Commercial and Industrial Loans, 12.53, 11.80, 11.89, 11.37, 10.79
81,Loans to Individuals, 5.31,5.44,5.36,5.62,5.97
82,Loans to Depository Institutions, 0.09,0.10,0.11,0.11,0.16
83,Agricultural Loans, 0.22,0.21,0.21,0.20,0.20
84,Other Loans and Leases, 3.04,3.34,3.16,3.45,3.31
85, Net Loans and Leases, 63.06, 62.65, 62.64, 60.09, 59.70
86,Debt Securities Over 1 Year, 13.36, 15.16, 13.87, 17.30, 18.70
87,Mutual Funds and Equity Securities, 0.21,0.22,0.26,0.24,0.31
88, Subtotal, 77.70, 79.17, 77.53, 79.60, 80.29
89,Interest-Bearing Bank Balances, 0.65,0.58,0.55,0.69,0.79
90,Federal Funds Sold & Reverse Repos, 3.15,2.75,2.68,2.18,2.13
91,Debt Securities 1 Year or Less, 2.73,2.10,3.12,1.65,1.54
92,Trading Assets, 1.45,1.20,1.15,1.51,1.50
93, Total Earning Assets, 88.05, 87.97, 88.09, 87.92, 88.42
94,Non-Int Cash and Due From Dep Inst, 2.13,2.50,2.38,2.74,2.24
95,Other Real Estate Owned,0.07,0.05,0.06,0.04,0.05
