,Column1,Value1,Value2,Value3,Value4,Value5
0, , 06/30/2009,06/30/2008,12/31/2008,12/31/2007,12/31/2006
1,Number of BHCs in Peer Group, 75,69,71,66,68EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 2.69,2.85,2.88,3.00,3.09
4,+ Non-interest Income,1.88,1.73,1.60,1.64,1.91
5,- Overhead Expense, 3.26,3.00,3.29,2.96,2.97
6,- Provision for Losses, 1.79,0.87,1.17,0.36,0.15
7,+ Securities Gains (Losses),0.02,0.00, -0.12, -0.02, -0.01
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE), -0.42,0.75, -0.14,1.31,1.83
10,Net Operating Income,-0.35,0.48, -0.23,0.86,1.18
11,Net Income,-0.43,0.47, -0.25,0.87,1.21
12,Interest Expense, 1.64,2.64,2.41,3.44,3.16
13,Net Interest Income (TE), 3.00,3.20,3.23,3.34,3.42
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,1.96,0.79,1.10,0.38,0.23
16,Earnings Coverage of Net Losses (X),1.91,6.50,2.64, 13.40, 33.33
17,Ln&Ls Allowance/Total Loans & Leases, 2.43,1.45,1.82,1.22,1.11
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,3.73,1.64,2.42,1.08,0.57
19,30-89 Days Past Due Loans and Leases, 1.41,1.08,1.58,1.03,0.81
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,37.45, 42.99, 37.52, 41.09, 37.63
22,Net ST Noncore Funding Dependence, 15.64, 26.54, 22.48, 26.17, 23.42
23,Net Loans and Leases/Total Assets, 59.41, 62.79, 61.91, 63.85, 62.66
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,8.28,7.48,8.29,7.42,7.79
26,Equity Capital/Total Assets,9.71,9.13,9.24,9.31,9.22
27,Equity Capital+Minority Int/Total Assets, 9.92,9.46,9.52,9.42,9.34
28,Net Loans&Ls/Equity Capital (X),6.29,7.25,6.96,7.17,6.97
29,Cash Dividends/Net Income, 76.44, 56.44, 71.23, 50.49, 36.79
30,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
31,Retained Earnings/Avg Equity Cap,-8.24,0.33, -7.64,3.67,8.58
32,PARENT COMPANY RATIOS:, , , , , 
33,Short-Term Debt/Equity Capital, 4.55,4.54,3.65,3.73,3.12
34,Long-Term Debt/Equity Capital, 18.91, 11.85, 11.95, 11.89, 11.77
35,Equity Investment in Subs/Equity Cap, 108.82,112.09,105.96,112.58,110.24
36,Cash FR Oper+Noncash+Op Exp/Op Exp+Div,95.66,100.45, 95.72,138.88,134.43
37,PERCENT OF AVERAGE ASSETS,06/30/2009,06/30/2008,12/31/2008,12/31/2007,12/31/2006
38,Interest Income (TE), 4.19,5.22,5.06,6.13,5.95
39,Less: Interest Expense, 1.48,2.36,2.16,3.08,2.85
40,Equals: Net Interest Income (TE), 2.69,2.85,2.88,3.00,3.09
41,Plus: Non-Interest Income,1.88,1.73,1.60,1.64,1.91
42,Equals: Adj Operating Income (TE),4.54,4.62,4.54,4.68,4.97
43,Less: Overhead Expense, 3.26,3.00,3.29,2.96,2.97
44,Less: Provision for Loan and Lease Losses,1.79,0.87,1.17,0.36,0.15
45,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
46,Plus: Realized G/L on AFS Sec,0.02,0.00, -0.10, -0.02, -0.01
47,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
48,Memo: Net Income (Last Four Qtrs), -0.72,0.53, -0.25,0.85,1.21
49,MARGIN ANALYSIS:, , , , , 
50,Avg Earning Assets / Avg Assets, 89.84, 89.48, 89.65, 89.70, 90.22
51,Avg Int-Bearing Funds / Avg Assets,74.10, 76.79, 77.39, 76.48, 75.80
52,Int Income (TE) / Avg Earning Assets, 4.68,5.86,5.67,6.82,6.60
53,Int Expense / Avg Earning Assets, 1.64,2.64,2.41,3.44,3.16
54,Interest-Bearing Bank Balances, 0.80,3.58,2.23,5.42,5.07
55,Fed Funds Sold & Reverse Repos, 0.70,2.90,2.40,5.20,5.08
56,Trading Assets, 1.70,2.99,2.64,3.45,2.87
57,Mortgage-Backed Securities, 4.72,4.88,4.84,4.89,4.71
58,Time Deposits < $100K,2.88,3.93,3.54,4.47,3.96
59,Other Domestic Deposits,0.81,1.62,1.47,2.50,2.26
60,All Interest-Bearing Funds, 2.01,3.11,2.83,4.04,3.77
61, , 06/30/2009,06/30/2008,12/31/2008,12/31/2007,12/31/2006
62,Avg Personnel Exp Per Employee ($000),44,40,77,75,74
63,Avg Assets per Employee ($000),"6,838"," 5,871"," 5,926"," 5,301"," 5,057"
64,ANALYSIS RATIOS, , , , , 
65,Personnel Expense,1.44,1.46,1.43,1.52,1.61
66,Net Occupancy Expense,0.36,0.38,0.38,0.39,0.40
67,Personnel Expense, 32.07, 32.21, 32.09, 32.37, 32.03
68,Net Occupancy Expense,8.21,8.42,8.67,8.55,8.03
69,Serv Charges on Deposit Accts - Domestic, 6.73,7.25,7.53,7.59,6.77
70,Trading Revenue,2.38,0.42,0.00,0.20,1.15
71,Investment Banking Fees & Commissions,3.31,3.61,3.27,3.28,3.04
72,Venture Capital Revenue, -0.15,0.01, -0.02,0.23,0.19
73,Net Servicing Fees, 1.36,1.06,0.77,0.82,0.68
74,Net Securitization Income,0.14,0.20,0.17,0.31,0.37
75,Insurance Activities Revenue, 1.15,1.10,1.05,1.21,1.24
76,"Net Gain (Loss) - Sales Loans, OREO, Oth", 0.37,0.41,0.31,0.97,1.36
77,Appl Inc Taxes/Pretax NOI (TE),25.83, 28.42, 24.76, 28.98, 30.50
78,Appl Inc Tax+TE/Pretax NOI+TE, 32.73, 33.26, 31.86, 32.86, 34.13
79,PERCENT OF TOTAL ASSETS,06/30/2009,06/30/2008,12/31/2008,12/31/2007,12/31/2006
80,Real Estate Loans, 36.76, 40.15, 39.94, 40.85, 39.85
81,Commercial and Industrial Loans, 12.24, 12.66, 12.88, 12.72, 11.89
82,Loans to Individuals, 5.27,5.06,4.82,5.33,5.36
83,Loans to Depository Institutions, 0.06,0.11,0.07,0.09,0.11
84,Agricultural Loans, 0.16,0.20,0.19,0.21,0.21
85,Other Loans and Leases, 3.14,3.25,2.95,3.26,3.17
86, Net Loans and Leases, 59.41, 62.79, 61.91, 63.85, 62.66
87,Debt Securities Over 1 Year, 13.40, 12.93, 13.43, 13.05, 13.87
88,Mutual Funds and Equity Securities, 0.25,0.22,0.17,0.24,0.26
89, Subtotal, 74.45, 76.98, 76.41, 77.94, 77.54
90,Interest-Bearing Bank Balances, 3.20,0.71,2.87,0.50,0.55
91,Federal Funds Sold & Reverse Repos, 1.79,1.94,0.98,2.24,2.68
92,Debt Securities 1 Year or Less, 3.00,3.10,3.11,3.17,3.12
93,Trading Assets, 1.86,1.56,1.60,1.34,1.15
94, Total Earning Assets, 87.43, 87.19, 87.67, 87.60, 88.10
95,Non-Int Cash and Due From Dep Inst, 1.69,2.09,1.90,2.28,2.38
96,Other Real Estate Owned,0.25,0.17,0.23,0.10,0.06
97,U.S. Treasury Securities, 0.41,0.15,0.19,0.14,0.32
98,U.S. Agency Securities (excl MBS),1.60,1.94,1.81,2.38,3.46
99,Municipal Securities, 1.13,1.08,1.16,1.13,1.07
100,Mortgage-Backed Securities, 9.89, 10.22, 10.36,9.64,9.68
101,Asset-Backed Securities,0.65,0.42,0.40,0.35,0.22
102,Other Debt Securities,0.99,0.75,0.69,0.75,0.60
103,RE Loans Secured by 1-4 Family,14.27, 15.92, 15.33, 16.28, 16.64
104,Revolving,4.03,3.82,3.98,3.71,3.86
105,"Closed-End, Sec by First Liens", 8.93, 10.20,9.57, 10.54, 10.76
106,"Closed-End, Sec by Junior Liens",1.17,1.62,1.43,1.76,1.67
107,Commercial Real Estate Loans,20.36, 21.86, 22.33, 22.22, 20.91
108,Construction and Land Dev,6.15,7.58,7.28,8.05,7.45
109,Multifamily,1.58,1.44,1.53,1.35,1.55
110,Nonfarm Nonresidential,12.09, 11.98, 12.74, 11.82, 11.02
111,RE Loans Secured by Farmland, 0.35,0.29,0.33,0.27,0.23
112,"LOAN MIX, % OF GROSS LOANS & LEASES:", , , , , 
113,Real Estate Loans, 58.28, 62.27, 62.33, 62.08, 61.98
114,RE Loans Secured by 1-4 Family,23.14, 24.98, 24.29, 25.69, 26.62
115,Revolving,6.21,5.73,6.08,5.64,5.88
116,Closed-End,16.77, 18.81, 17.70, 19.66, 20.25
117,Commercial Real Estate Loans,31.42, 33.43, 34.36, 33.44, 31.92
118,Construction and Land Dev,9.07, 11.09, 10.73, 11.93, 11.10
119,Multifamily,2.63,2.15,2.33,2.05,2.44
120,Nonfarm Nonresidential,18.80, 18.57, 19.86, 17.83, 16.60
121,RE Loans Secured by Farmland, 0.51,0.42,0.49,0.40,0.34
122,Loans to Depository Institutions, 0.11,0.25,0.15,0.20,0.18
123,Commercial and Industrial Loans, 19.62, 19.60, 20.30, 19.89, 18.82
124,Loans to Individuals, 9.29,8.29,8.00,8.39,8.68
125,Credit Card Loans,1.65,1.36,1.39,1.26,1.18
126,Agricultural Loans, 0.24,0.29,0.29,0.31,0.33
127,Loans to Foreign Govts and Inst,0.01,0.00,0.00,0.00,0.01
128,Other Loans and Leases, 7.56,5.70,5.21,5.48,6.21
129,PERCENT OF TOTAL ASSETS,06/30/2009,06/30/2008,12/31/2008,12/31/2007,12/31/2006
130,Short-Term Investments, 9.85,7.19,8.53,6.96,8.04
131,Liquid Assets, 22.86, 19.78, 21.88, 19.49, 22.35
132,Investment Securities, 17.53, 16.99, 17.40, 17.00, 18.55
133,Net Loans and Leases,59.41, 62.79, 61.91, 63.85, 62.66
134,"Net Lns, Ls & Stdby Ltrs of Credit",62.33, 65.93, 64.94, 66.91, 65.82
135,Core Deposits, 45.00, 43.72, 45.36, 46.33, 48.23
136,Noncore Funding, 36.64, 39.55, 37.85, 37.91, 36.10
137,Time Deposits of $100K or More, 7.88,9.36,8.98, 10.08, 11.73
