,Column1,Value1,Value2,Value3,Value4,Value5
0, , 06/30/2005,06/30/2004,12/31/2004,12/31/2003,12/31/2002
1,Number of BHCs in Peer Group, 68,69,66,69,67EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.08,3.14,3.16,3.18,3.48
4,+ Non-interest Income,2.04,2.18,2.15,2.31,2.31
5,- Overhead Expense, 3.06,3.20,3.24,3.29,3.48
6,- Provision for Losses, 0.13,0.22,0.18,0.30,0.42
7,+ Securities Gains (Losses),0.02,0.05,0.03,0.06,0.06
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.98,1.97,1.95,1.98,2.04
10,Net Operating Income, 1.28,1.27,1.26,1.26,1.30
11,Net Income, 1.28,1.30,1.28,1.26,1.30
12,Interest Expense, 1.95,1.39,1.48,1.58,2.11
13,Net Interest Income (TE), 3.43,3.49,3.54,3.55,3.90
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.24,0.36,0.36,0.54,0.68
16,Earnings Coverage of Net Losses (X), 23.65, 15.50, 18.87, 10.06, 10.14
17,Ln&Ls Allowance/Total Loans & Leases, 1.21,1.38,1.29,1.45,1.57
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.50,0.65,0.58,0.77,0.94
19,30-89 Days Past Due Loans and Leases, 0.60,0.66,0.64,0.79,0.93
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,37.47, 36.80, 34.15, 35.40, 32.89
22,Net ST Noncore Funding Dependence, 22.15, 20.32, 18.53, 19.82, 18.72
23,Net Loans and Leases/Total Assets, 59.58, 59.91, 59.73, 58.56, 59.34
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.51,7.52,7.58,7.55,7.43
26,Equity Capital/Total Assets,8.91,8.40,9.05,8.59,8.58
27,Net Loans&Ls/Equity Capital (X),6.82,7.27,6.81,6.99,7.07
28,Cash Dividends/Net Income, 34.90, 33.72, 32.98, 32.23, 29.58
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 9.06,9.60,9.31,9.62, 10.01
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 2.80,3.39,3.47,4.01,4.41
33,Long-Term Debt/Equity Capital, 12.44, 14.76, 11.53, 15.42, 13.73
34,Equity Investment in Subs/Equity Cap, 109.69,110.90,108.99,110.55,110.46
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 136.06,128.33,136.33,149.30,180.56
36,PERCENT OF AVERAGE ASSETS,06/30/2005,06/30/2004,12/31/2004,12/31/2003,12/31/2002
37,Interest Income (TE), 4.84,4.40,4.46,4.62,5.36
38,Less: Interest Expense, 1.76,1.25,1.32,1.42,1.88
39,Equals: Net Interest Income (TE), 3.08,3.14,3.16,3.18,3.48
40,Plus: Non-Interest Income,2.04,2.18,2.15,2.31,2.31
41,Equals: Adj Operating Income (TE),5.14,5.31,5.32,5.49,5.81
42,Less: Overhead Expense, 3.06,3.20,3.24,3.29,3.48
43,Less: Provision for Loan and Lease Losses,0.13,0.22,0.18,0.30,0.42
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.02,0.05,0.03,0.06,0.06
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),1.29,1.29,1.31,1.28,1.30
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 89.96, 90.04, 89.69, 89.81, 89.35
50,Avg Int-Bearing Funds / Avg Assets,74.20, 75.18, 73.70, 74.82, 75.57
51,Int Income (TE) / Avg Earning Assets, 5.39,4.90,5.00,5.17,6.01
52,Int Expense / Avg Earning Assets, 1.95,1.39,1.48,1.58,2.11
53,Interest-Bearing Bank Balances, 2.88,1.57,1.96,2.04,2.31
54,Fed Funds Sold & Reverse Repos, 2.78,1.16,1.50,1.37,1.91
55,Trading Assets, 2.29,2.48,2.65,2.42,2.35
56,Mortgage-Backed Securities, 4.24,4.21,4.17,4.20,5.25
57,Time Deposits < $100K,2.63,2.34,2.41,2.67,3.55
58,Other Domestic Deposits,1.20,0.72,0.79,0.87,1.29
59,All Interest-Bearing Funds, 2.37,1.66,1.83,1.90,2.49
60, , 06/30/2005,06/30/2004,12/31/2004,12/31/2003,12/31/2002
61,Avg Personnel Exp Per Employee ($000),36,34,68,66,62
62,Avg Assets per Employee ($000),"4,739"," 4,493"," 4,581"," 4,348"," 3,771"
63,ANALYSIS RATIOS, , , , , 
64,Personnel Expense,1.64,1.66,1.65,1.68,1.75
65,Net Occupancy Expense,0.42,0.43,0.43,0.45,0.48
66,Personnel Expense, 31.81, 31.42, 31.38, 30.62, 30.38
67,Net Occupancy Expense,8.18,8.13,8.09,8.17,8.25
68,Serv Charges on Deposit Accts - Domestic, 7.32,8.10,7.61,7.97,8.19
69,Trading Revenue,1.16,1.36,1.04,1.41,1.16
70,Investment Banking Fees & Commissions,3.82,4.13,4.06,4.61,4.68
71,Venture Capital Revenue,0.21,0.12,0.18,0.02, -0.22
72,Net Servicing Fees, 0.98,1.15,1.00,0.58,0.92
73,Net Securitization Income,0.32,0.35,0.36,0.49,0.47
74,Insurance Activities Revenue, 1.59,1.73,1.83,1.17,1.15
75,"Net Gain (Loss) - Sales Loans, OREO, Oth", 1.48,1.95,1.52,2.89,1.73
76,Appl Inc Taxes/Pretax NOI (TE),31.88, 31.86, 31.18, 31.45, 31.58
