,Column1,Value1,Value2,Value3,Value4,Value5
0, , 09/30/2006,09/30/2005,12/31/2005,12/31/2004,12/31/2003
1,Number of BHCs in Peer Group, 66,69,69,66,69EARNINGS AND PROFITABILITY--------------------------
2,PERCENT OF AVERAGE ASSETS:, , , , , 
3,Net Interest Income (TE), 3.06,3.08,3.08,3.16,3.18
4,+ Non-interest Income,1.97,2.07,2.04,2.13,2.30
5,- Overhead Expense, 2.99,3.06,3.06,3.24,3.29
6,- Provision for Losses, 0.14,0.15,0.15,0.18,0.30
7,+ Securities Gains (Losses),0.00,0.02,0.01,0.03,0.06
8,+ Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
9,= Pretax Net Oper Income (TE),1.86,1.96,1.93,1.94,1.97
10,Net Operating Income, 1.21,1.26,1.25,1.26,1.26
11,Net Income, 1.24,1.26,1.26,1.28,1.26
12,Interest Expense, 3.05,2.09,2.21,1.48,1.58
13,Net Interest Income (TE), 3.41,3.43,3.44,3.54,3.55
14,"LOSSES, ALLOW, AND PAST DUE+NONACCR:", , , , , 
15,Net Ln&Ls Losses/Avg Loans & Leases,0.21,0.25,0.28,0.35,0.53
16,Earnings Coverage of Net Losses (X), 20.57, 25.23, 22.76, 18.87, 10.06
17,Ln&Ls Allowance/Total Loans & Leases, 1.10,1.20,1.14,1.28,1.45
18,Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq,0.52,0.50,0.48,0.58,0.77
19,30-89 Days Past Due Loans and Leases, 0.73,0.64,0.69,0.64,0.79
20,LIQUIDITY AND FUNDING:, , , , , 
21,Net Noncore Funding Dependence,38.41, 38.04, 37.80, 35.51, 35.42
22,Net ST Noncore Funding Dependence, 24.32, 22.97, 23.48, 19.41, 19.82
23,Net Loans and Leases/Total Assets, 62.75, 59.88, 60.09, 59.70, 58.53
24,CAPITALIZATION:, , , , , 
25,Tier 1 Leverage Ratio,7.62,7.42,7.44,7.57,7.55
26,Equity Capital/Total Assets,9.22,8.85,8.88,9.05,8.60
27,Net Loans&Ls/Equity Capital (X),6.92,6.87,6.90,6.80,6.98
28,Cash Dividends/Net Income, 36.82, 35.47, 39.47, 33.11, 32.28
29,Cash Dividends/Net Income (Sub S Adjusted),N/A, N/A, N/A, N/A, N/A
30,Retained Earnings/Avg Equity Cap, 8.59,8.78,8.47,9.27,9.60
31,PARENT COMPANY RATIOS:, , , , , 
32,Short-Term Debt/Equity Capital, 3.06,2.53,2.55,3.47,4.00
33,Long-Term Debt/Equity Capital, 12.77, 12.78, 12.45, 12.04, 15.42
34,Equity Investment in Subs/Equity Cap, 109.49,109.63,108.78,109.21,110.51
35,Cash FR Oper+Noncash+Op Exp/Op Exp+Div, 129.00,141.04,147.51,136.30,149.23
36,PERCENT OF AVERAGE ASSETS,09/30/2006,09/30/2005,12/31/2005,12/31/2004,12/31/2003
37,Interest Income (TE), 5.83,4.96,5.07,4.46,4.62
38,Less: Interest Expense, 2.74,1.88,1.98,1.32,1.42
39,Equals: Net Interest Income (TE), 3.06,3.08,3.08,3.16,3.18
40,Plus: Non-Interest Income,1.97,2.07,2.04,2.13,2.30
41,Equals: Adj Operating Income (TE),5.01,5.16,5.14,5.31,5.49
42,Less: Overhead Expense, 2.99,3.06,3.06,3.24,3.29
43,Less: Provision for Loan and Lease Losses,0.14,0.15,0.15,0.18,0.30
44,Plus: Realized G/L on HTM Sec,0.00,0.00,0.00,0.00,0.00
45,Plus: Realized G/L on AFS Sec,0.00,0.02,0.01,0.03,0.06
46,Plus: Other Tax Equiv Adjustments,0.00,0.00,0.00,0.00,0.00
47,Memo: Net Income (Last Four Qtrs),1.23,1.26,1.26,1.30,1.28
48,MARGIN ANALYSIS:, , , , , 
49,Avg Earning Assets / Avg Assets, 89.90, 89.90, 89.84, 89.69, 89.80
50,Avg Int-Bearing Funds / Avg Assets,75.18, 74.58, 74.48, 73.85, 74.79
51,Int Income (TE) / Avg Earning Assets, 6.48,5.52,5.65,5.01,5.17
52,Int Expense / Avg Earning Assets, 3.05,2.09,2.21,1.48,1.58
53,Interest-Bearing Bank Balances, 4.44,2.99,3.49,2.01,2.04
54,Fed Funds Sold & Reverse Repos, 4.97,2.99,3.24,1.49,1.36
55,Trading Assets, 2.91,2.24,2.47,3.33,2.60
56,Mortgage-Backed Securities, 4.68,4.31,4.31,4.17,4.20
57,Time Deposits < $100K,3.80,2.83,2.90,2.42,2.66
58,Other Domestic Deposits,2.17,1.30,1.41,0.79,0.87
59,All Interest-Bearing Funds, 3.65,2.51,2.64,1.82,1.90
60, , 09/30/2006,09/30/2005,12/31/2005,12/31/2004,12/31/2003
61,Avg Personnel Exp Per Employee ($000),56,55,73,68,66
62,Avg Assets per Employee ($000),"5,032"," 4,768"," 4,727"," 4,581"," 4,348"
63,ANALYSIS RATIOS, , , , , 
64,Personnel Expense,1.63,1.65,1.65,1.65,1.68
65,Net Occupancy Expense,0.41,0.42,0.42,0.43,0.45
66,Personnel Expense, 32.15, 31.78, 31.93, 31.43, 30.63
67,Net Occupancy Expense,8.05,7.98,8.03,8.10,8.17
68,Serv Charges on Deposit Accts - Domestic, 7.19,7.38,7.26,7.62,7.97
69,Trading Revenue,1.17,1.15,1.03,1.05,1.40
70,Investment Banking Fees & Commissions,3.03,3.77,3.71,4.06,4.61
71,Venture Capital Revenue,0.19,0.21,0.18,0.18,0.02
72,Net Servicing Fees, 0.89,1.07,1.12,0.99,0.58
73,Net Securitization Income,0.37,0.28,0.24,0.29,0.49
74,Insurance Activities Revenue, 1.49,1.55,1.49,1.84,1.17
75,"Net Gain (Loss) - Sales Loans, OREO, Oth", 1.29,1.55,1.60,1.52,2.89
76,Appl Inc Taxes/Pretax NOI (TE),30.99, 31.86, 31.63, 31.18, 31.44
77,Appl Inc Tax+TE/Pretax NOI+TE, 34.29, 34.78, 34.65, 34.68, 34.73
78,PERCENT OF TOTAL ASSETS,09/30/2006,09/30/2005,12/31/2005,12/31/2004,12/31/2003
79,Real Estate Loans, 39.33, 36.73, 37.09, 36.78, 34.78
80,Commercial and Industrial Loans, 11.85, 10.98, 11.37, 10.79, 11.27
81,Loans to Individuals, 5.60,5.99,5.62,5.97,6.16
82,Loans to Depository Institutions, 0.10,0.11,0.11,0.16,0.11
83,Agricultural Loans, 0.22,0.20,0.20,0.20,0.21
84,Other Loans and Leases, 3.34,3.50,3.44,3.31,4.33
85, Net Loans and Leases, 62.75, 59.88, 60.09, 59.70, 58.53
86,Debt Securities Over 1 Year, 14.79, 17.79, 17.25, 18.70, 19.67
87,Mutual Funds and Equity Securities, 0.27,0.24,0.24,0.31,0.36
88, Subtotal, 78.79, 79.97, 79.55, 80.29, 79.72
89,Interest-Bearing Bank Balances, 0.55,0.86,0.69,0.79,0.70
90,Federal Funds Sold & Reverse Repos, 2.52,2.55,2.18,2.13,1.88
91,Debt Securities 1 Year or Less, 2.43,1.70,1.70,1.54,1.98
92,Trading Assets, 1.12,1.55,1.51,1.50,1.66
93, Total Earning Assets, 88.19, 88.23, 87.91, 88.42, 88.18
94,Non-Int Cash and Due From Dep Inst, 2.20,2.53,2.74,2.24,2.85
95,Other Real Estate Owned,0.06,0.04,0.04,0.05,0.06
96,U.S. Treasury Securities, 0.34,0.47,0.46,0.58,0.77
97,U.S. Agency Securities (excl MBS),3.39,3.31,3.19,3.56,4.15
98,Municipal Securities, 0.94,0.86,0.89,0.83,0.75
99,Mortgage-Backed Securities,10.46, 11.94, 11.62, 12.02, 12.92
100,Asset-Backed Securities,0.20,0.26,0.25,0.32,0.41
101,Other Debt Securities,0.71,0.72,0.74,0.82,0.85
102,RE Loans Secured by 1-4 Family,17.34, 17.92, 17.66, 18.10, 17.23
103,Revolving,4.11,4.64,4.51,4.65,4.16
104,"Closed-End, Sec by First Liens",11.29, 11.70, 11.56, 11.74, 11.43
105,"Closed-End, Sec by Junior Liens",1.59,1.25,1.38,1.16,1.16
106,Commercial Real Estate Loans,19.56, 16.54, 17.19, 15.68, 14.47
107,Construction and Land Dev,6.79,4.71,5.51,4.30,3.82
108,Multifamily,1.31,1.29,1.21,1.33,1.25
109,Nonfarm Nonresidential,10.61,9.64,9.84,9.46,8.83
110,RE Loans Secured by Farmland, 0.22,0.21,0.21,0.21,0.19
111,"LOAN MIX, % OF GROSS LOANS & LEASES:", , , , , 
112,Real Estate Loans, 61.20, 59.58, 59.91, 60.42, 57.28
113,RE Loans Secured by 1-4 Family,27.89, 28.84, 28.66, 28.88, 28.42
114,Revolving,6.30,7.27,7.07,7.36,6.71
115,Closed-End,21.04, 21.10, 21.20, 20.82, 21.14
116,Commercial Real Estate Loans,29.89, 26.33, 27.07, 26.07, 23.42
117,Construction and Land Dev, 10.22,7.37,8.61,7.02,6.14
118,Multifamily,2.07,2.14,2.00,2.28,2.02
119,Nonfarm Nonresidential,16.27, 15.31, 15.38, 15.87, 14.44
120,RE Loans Secured by Farmland, 0.32,0.31,0.31,0.31,0.29
121,Loans to Depository Institutions, 0.21,0.22,0.21,0.39,0.25
122,Commercial and Industrial Loans, 18.81, 18.18, 18.76, 17.76, 19.20
